ident;lat;long;y_proj;x_proj
1.10.15-1; ; ;-1.516416327;20763369.87
1.10.15-1;-16.39949307;-71.49646774;-1941643.778;2842833.881
1.10.15-1;-16.39938548;-71.49649566;-1941630.784;2842832.122
1.10.15-1;-16.39922593;-71.49663372;-1941610.296;2842818.551
1.10.15-1;-16.39911468;-71.4967751;-1941595.441;2842803.973
1.10.15-1;-16.39905718;-71.49685942;-1941587.62;2842795.162
1.10.15-1;-16.39899674;-71.49695542;-1941579.307;2842785.066
1.10.15-1;-16.39899962;-71.49695542;-1941579.645;2842785.028
1.10.15-1;-16.39893059;-71.49710418;-1941569.658;2842769.059
1.10.15-1;-16.39884708;-71.49717741;-1941558.922;2842761.846
1.10.15-1;-16.39877513;-71.49720741;-1941550.09;2842759.385
1.10.15-1;-16.39843178;-71.49732723;-1941508.236;2842750.287
1.10.15-1;-16.39833437;-71.49738384;-1941496.078;2842745.142
1.10.15-1;-16.39822367;-71.49752575;-1941481.279;2842730.495
1.10.15-1;-16.39826094;-71.49763513;-1941484.278;2842717.604
1.10.15-1;-16.39808217;-71.49773088;-1941462.065;2842709.082
1.10.15-1;-16.39791921;-71.49771864;-1941443.074;2842712.602
1.10.15-1;-16.39782467;-71.49764859;-1941432.85;2842721.782
1.10.15-1;-16.39755132;-71.49741769;-1941403.649;2842751.543
1.10.15-1;-16.39742932;-71.49730006;-1941390.8;2842766.478
1.10.15-1;-16.39730091;-71.49731478;-1941375.528;2842766.489
1.10.15-1;-16.39727092;-71.49739503;-1941370.992;2842757.78
1.10.15-1;-16.3973575;-71.4974953;-1941379.897;2842745.276
1.10.15-1;-16.39770033;-71.49784008;-1941415.824;2842701.691
1.10.15-1;-16.39787051;-71.49798586;-1941433.979;2842682.933
1.10.15-1;-16.39818916;-71.49792107;-1941472.235;2842686.113
1.10.15-1;-16.39853301;-71.49780461;-1941514.103;2842694.824
1.10.15-1;-16.39870238;-71.49774676;-1941534.733;2842699.17
1.10.15-1;-16.39897576;-71.49752838;-1941569.609;2842720.361
1.10.15-1;-16.39916717;-71.49732391;-1941594.68;2842741.046
1.10.15-1;-16.39926956;-71.49713287;-1941609.121;2842761.373
1.10.15-1;-16.39936634;-71.49697742;-1941622.453;2842777.737
1.10.15-1;-16.39961376;-71.49679929;-1941653.772;2842794.701
1.10.15-1;-16.39990905;-71.49654143;-1941691.721;2842820.083
1.10.15-1;-16.39973637;-71.49632242;-1941674.198;2842847.179
1.10.15-2; ; ;-1.516416327;20763369.87
1.10.15-2;-16.39968228;-71.49626243;-1941668.601;2842854.691
1.10.15-2;-16.39943497;-71.49630729;-1941638.978;2842852.838
1.10.15-2;-16.39931419;-71.49639026;-1941623.74;2842845.007
1.10.15-2;-16.39919888;-71.49645195;-1941609.414;2842839.52
1.10.15-2;-16.399075;-71.49654916;-1941593.631;2842830.115
1.10.15-2;-16.39898461;-71.49666153;-1941581.592;2842818.554
1.10.15-2;-16.3989023;-71.49678702;-1941570.338;2842805.398
1.10.15-2;-16.39877831;-71.49697388;-1941553.411;2842785.829
1.10.15-2;-16.39867171;-71.49706859;-1941539.691;2842776.482
1.10.15-2;-16.39862216;-71.49692603;-1941535.669;2842793.297
1.10.15-2;-16.39852243;-71.49697708;-1941523.308;2842788.812
1.10.15-2;-16.3985452;-71.49704654;-1941525.106;2842780.637
1.10.15-2;-16.39840893;-71.49709446;-1941508.49;2842776.985
1.10.15-2;-16.39829475;-71.49715822;-1941494.271;2842771.246
1.10.15-2;-16.39807748;-71.49735926;-1941466.206;2842751.288
1.10.15-2;-16.39802699;-71.49740775;-1941459.662;2842746.45
1.10.15-2;-16.39796571;-71.49753842;-1941450.812;2842732.432
1.10.15-2;-16.39797481;-71.49757014;-1941451.48;2842728.716
1.10.15-2;-16.39801955;-71.49759126;-1941456.471;2842725.735
1.10.15-2;-16.39812996;-71.4975361;-1941470.139;2842730.547
1.10.15-2;-16.39828402;-71.49738104;-1941490.197;2842746.118
1.10.15-2;-16.3984089;-71.49731196;-1941505.741;2842752.318
1.10.15-2;-16.39870805;-71.49720493;-1941542.24;2842760.544
1.10.15-2;-16.39884422;-71.49715868;-1941558.822;2842764.008
1.10.15-2;-16.39892104;-71.49709715;-1941568.624;2842769.982
1.10.15-2;-16.39897344;-71.49698386;-1941576.211;2842782.145
1.10.15-2;-16.39903966;-71.49687763;-1941585.332;2842793.326
1.10.15-2;-16.39910067;-71.49675147;-1941594.092;2842806.836
1.10.15-2;-16.39922133;-71.49661732;-1941609.963;2842820.472
1.10.15-2;-16.39936288;-71.49648617;-1941628.249;2842833.494
1.10.15-2;-16.39959044;-71.49638714;-1941656.236;2842841.749
1.10.15-2;-16.39972131;-71.49630704;-1941672.623;2842849.12
1.10.15-3; ; ;-1.516416327;20763369.87
1.10.15-3;-16.3992111;-71.49634285;-1941612.226;2842851.732
1.10.15-3;-16.39907922;-71.49638287;-1941596.226;2842848.919
1.10.15-3;-16.39879045;-71.49649177;-1941560.924;2842840.346
1.10.15-3;-16.39872179;-71.49663342;-1941551.069;2842825.179
1.10.15-3;-16.39868105;-71.49671198;-1941545.29;2842816.803
1.10.15-3;-16.39855527;-71.49682282;-1941529.114;2842805.877
1.10.15-3;-16.39872005;-71.49700071;-1941546.228;2842783.548
1.10.15-3;-16.39879218;-71.49692616;-1941555.643;2842791.059
1.10.15-3;-16.39888562;-71.49679649;-1941568.258;2842804.543
1.10.15-3;-16.39896037;-71.49667837;-1941578.532;2842816.961
1.10.15-3;-16.39906943;-71.49654067;-1941593.084;2842831.151
1.10.15-3;-16.39920317;-71.49643563;-1941610.123;2842841.314
1.10.15-3;-16.39937967;-71.49631841;-1941632.34;2842852.3
1.10.15-4; ; ;-1.516416327;20763369.87
1.10.15-4;-16.39830953;-71.49696388;-1941498.461;2842793.094
1.10.15-4;-16.39835376;-71.49703347;-1941502.779;2842784.623
1.10.15-4;-16.39857558;-71.496872;-1941530.878;2842800.034
1.10.15-4;-16.39851099;-71.49681795;-1941523.972;2842807.009
1.10.15-5; ; ;-1.516416327;20763369.87
1.10.15-5;-16.39815882;-71.49642992;-1941487.495;2842855.621
1.10.15-5;-16.39789834;-71.49661787;-1941454.518;2842837.713
1.10.15-5;-16.39764571;-71.49677654;-1941422.833;2842823.021
1.10.15-5;-16.39743061;-71.49689414;-1941396.076;2842812.497
1.10.15-5;-16.39731067;-71.49684331;-1941382.626;2842819.831
1.10.15-5;-16.39725392;-71.49700554;-1941373.911;2842802.174
1.10.15-5;-16.39749172;-71.49705773;-1941401.192;2842793.145
1.10.15-5;-16.39761304;-71.49707491;-1941415.228;2842789.611
1.10.15-5;-16.39773655;-71.49705432;-1941429.999;2842790.331
1.10.15-5;-16.39794872;-71.49702772;-1941455.263;2842790.572
1.10.15-5;-16.3980802;-71.49704166;-1941470.534;2842787.271
1.10.15-5;-16.39833095;-71.49692477;-1941501.471;2842797.249
1.10.15-5;-16.39853091;-71.49678043;-1941526.786;2842811.003
1.10.15-5;-16.39831857;-71.49659233;-1941504.213;2842835.113
1.10.15-6; ; ;-1.516416327;20763369.87
1.10.15-6;-16.3986449;-71.49669371;-1941541.274;2842819.347
1.10.15-6;-16.39872315;-71.4965684;-1941552.049;2842832.536
1.10.15-6;-16.39877606;-71.49644736;-1941559.794;2842845.57
1.10.15-6;-16.39886483;-71.49640617;-1941570.743;2842849.081
1.10.15-6;-16.39919215;-71.49631511;-1941610.35;2842855.127
1.10.15-6;-16.39937673;-71.49627304;-1941632.567;2842857.484
1.10.15-6;-16.39937299;-71.49623131;-1941632.655;2842862.265
1.10.15-6;-16.39904068;-71.49585555;-1941598.356;2842909.226
1.10.15-6;-16.39864766;-71.49613245;-1941548.684;2842882.963
1.10.15-6;-16.39815276;-71.49639962;-1941487.165;2842859.137
1.10.15-6;-16.39854547;-71.49677318;-1941528.589;2842811.635
1.10.15-7; ; ;-1.516416327;20763369.87
1.10.15-7;-16.39949719;-71.49616079;-1941648.137;2842868.638
1.10.15-7;-16.39961064;-71.49613037;-1941661.851;2842870.604
1.10.15-7;-16.39974705;-71.49595233;-1941680.126;2842889.011
1.10.15-7;-16.39985906;-71.49575051;-1941695.834;2842910.434
1.10.15-7;-16.39976752;-71.49569351;-1941685.798;2842918.096
1.10.15-7;-16.39963777;-71.4956096;-1941671.613;2842929.31
1.10.15-7;-16.39950902;-71.49550253;-1941657.839;2842943.137
1.10.15-7;-16.39907934;-71.49583916;-1941603.105;2842910.579
1.10.15-7;-16.39934211;-71.49614315;-1941630.14;2842872.667
1.10.15-8; ; ;-1.516416327;20763369.87
1.10.15-8;-16.40000902;-71.49647278;-1941704.333;2842826.56
1.10.15-8;-16.40010261;-71.49638521;-1941716.435;2842835.268
1.10.15-8;-16.40020292;-71.49626453;-1941729.744;2842847.642
1.10.15-8;-16.40031275;-71.49600167;-1941745.967;2842876.016
1.10.15-8;-16.4003031;-71.49595421;-1941745.432;2842881.524
1.10.15-8;-16.40032295;-71.49583984;-1941749.209;2842894.235
1.10.15-8;-16.40034166;-71.49562903;-1941754.069;2842917.898
1.10.15-8;-16.400049;-71.4955454;-1941720.74;2842931.21
1.10.15-8;-16.39980579;-71.49604784;-1941685.821;2842877.411
1.10.15-8;-16.39976599;-71.49613228;-1941680.078;2842868.355
1.10.15-8;-16.39969391;-71.49624415;-1941670.198;2842856.61
1.10.15-8;-16.39992218;-71.49652884;-1941693.422;2842821.339
