"ident","lat","long","y_proj","x_proj"
"1.7.1-1",NA,NA,-1.516416327,20763369.87
"1.7.1-1",-16.44668045,-71.56264491,-1946351.629,2834714.471
"1.7.1-1",-16.44644639,-71.56245095,-1946326.587,2834739.511
"1.7.1-1",-16.44611357,-71.56215693,-1946291.208,2834777.182
"1.7.1-1",-16.44591586,-71.56246089,-1946264.157,2834745.316
"1.7.1-1",-16.44646707,-71.5629355,-1946322.906,2834684.326
"1.7.1-2",NA,NA,-1.516416327,20763369.87
"1.7.1-2",-16.4466988,-71.56262941,-1946353.979,2834715.988
"1.7.1-2",-16.4468861,-71.56240032,-1946378.865,2834739.503
"1.7.1-2",-16.44631786,-71.56190055,-1946318.433,2834803.569
"1.7.1-2",-16.44615218,-71.56212627,-1946296.13,2834780.152
"1.7.1-3",NA,NA,-1.516416327,20763369.87
"1.7.1-3",-16.44690174,-71.56239035,-1946380.827,2834740.429
"1.7.1-3",-16.44709115,-71.56215588,-1946406.028,2834764.528
"1.7.1-3",-16.44653257,-71.56165384,-1946346.76,2834828.724
"1.7.1-3",-16.44633773,-71.56186974,-1946321.155,2834806.801
"1.7.1-4",NA,NA,-1.516416327,20763369.87
"1.7.1-4",-16.44730894,-71.56191469,-1946434.645,2834789.016
"1.7.1-4",-16.44674615,-71.56140494,-1946374.981,2834854.141
"1.7.1-4",-16.44655445,-71.56161641,-1946349.801,2834832.68
"1.7.1-4",-16.44711521,-71.56213922,-1946409.064,2834766.101
"1.7.1-5",NA,NA,-1.516416327,20763369.87
"1.7.1-5",-16.44732995,-71.56189253,-1946437.393,2834791.253
"1.7.1-5",-16.44751083,-71.56165918,-1946461.578,2834815.335
"1.7.1-5",-16.44693454,-71.56115871,-1946400.21,2834879.585
"1.7.1-5",-16.44675337,-71.56138409,-1946376.091,2834856.41
"1.7.1-6",NA,NA,-1.516416327,20763369.87
"1.7.1-6",-16.44690556,-71.56111645,-1946397.34,2834884.753
"1.7.1-6",-16.44657471,-71.56075569,-1946363.034,2834929.963
"1.7.1-6",-16.44644803,-71.56068404,-1946349.06,2834939.738
"1.7.1-6",-16.44626943,-71.56080458,-1946326.565,2834928.411
"1.7.1-6",-16.44670202,-71.5613319,-1946370.719,2834862.996
"1.7.1-7",NA,NA,-1.516416327,20763369.87
"1.7.1-7",-16.44752537,-71.56163721,-1946463.562,2834817.635
"1.7.1-7",-16.44772945,-71.56136144,-1946491.007,2834846.222
"1.7.1-7",-16.4473504,-71.56107484,-1946450.106,2834883.656
"1.7.1-7",-16.44724539,-71.56106439,-1946437.906,2834886.213
"1.7.1-7",-16.44705287,-71.5610434,-1946415.561,2834891.108
"1.7.1-7",-16.4469483,-71.5611363,-1946402.109,2834881.945
"1.7.1-8",NA,NA,-1.516416327,20763369.87
"1.7.1-8",-16.44623252,-71.56185507,-1946308.984,2834809.839
"1.7.1-8",-16.44592584,-71.56141892,-1946278.467,2834863.275
"1.7.1-8",-16.44607827,-71.56124167,-1946298.603,2834881.372
"1.7.1-8",-16.44616852,-71.56113868,-1946310.501,2834891.865
"1.7.1-8",-16.44636204,-71.56098001,-1946335.23,2834907.319
"1.7.1-8",-16.44625252,-71.56081652,-1946324.429,2834927.279
"1.7.1-8",-16.44617386,-71.56086113,-1946314.628,2834923.251
"1.7.1-8",-16.44609219,-71.56094024,-1946304.04,2834915.352
"1.7.1-8",-16.44603491,-71.56100824,-1946296.455,2834908.394
"1.7.1-8",-16.4459575,-71.56113215,-1946285.802,2834895.362
"1.7.1-8",-16.44590184,-71.56124907,-1946277.791,2834882.839
"1.7.1-8",-16.44584177,-71.56135172,-1946269.441,2834871.99
"1.7.1-8",-16.44575048,-71.56144886,-1946257.495,2834862.174
"1.7.1-8",-16.44549858,-71.56157206,-1946226.36,2834851.503
"1.7.1-8",-16.44611757,-71.56206822,-1946292.797,2834787.183
"1.7.1-8",-16.44621675,-71.56190506,-1946306.502,2834804.379
"1.7.1-9",NA,NA,-1.516416327,20763369.87
"1.7.1-9",-16.44548182,-71.56159582,-1946224.092,2834849.028
"1.7.1-9",-16.4451474,-71.56194535,-1946180.41,2834813.785
"1.7.1-9",-16.44585323,-71.56244443,-1946257.01,2834748
"1.7.1-9",-16.44609609,-71.56209868,-1946289.89,2834784.013
"1.7.1-10",NA,NA,-1.516416327,20763369.87
"1.7.1-10",-16.44635814,-71.56063824,-1946339.081,2834946.104
"1.7.1-10",-16.44620352,-71.56051945,-1946322.421,2834961.587
"1.7.1-10",-16.44588567,-71.56079719,-1946281.589,2834934.263
"1.7.1-10",-16.44600661,-71.56092368,-1946294.198,2834918.347
"1.7.1-10",-16.44633762,-71.56070753,-1946335.797,2834938.519
"1.7.2-1",NA,NA,-1.516416327,20763369.87
"1.7.2-1",-16.44776222,-71.56128858,-1946495.775,2834854.051
"1.7.2-1",-16.4479801,-71.56095797,-1946525.531,2834888.673
"1.7.2-1",-16.44758067,-71.56068776,-1946482.031,2834924.516
"1.7.2-1",-16.44742117,-71.56092019,-1946460.368,2834900.258
"1.7.2-1",-16.44740224,-71.56104005,-1946456.633,2834886.921
"1.7.2-2",NA,NA,-1.516416327,20763369.87
"1.7.2-2",-16.44800602,-71.56091139,-1946529.163,2834893.613
"1.7.2-2",-16.44829759,-71.56040778,-1946569.756,2834946.877
"1.7.2-2",-16.44793046,-71.56013694,-1946530.056,2834982.37
"1.7.2-2",-16.44764052,-71.56064614,-1946489.583,2834928.45
"1.7.2-3",NA,NA,-1.516416327,20763369.87
"1.7.2-3",-16.44759822,-71.56005743,-1946492.04,2834995.723
"1.7.2-3",-16.44748281,-71.56022944,-1946476.318,2834977.737
"1.7.2-3",-16.44773073,-71.56037651,-1946503.578,2834957.83
"1.7.2-3",-16.44793758,-71.55999685,-1946532.659,2834998.153
"1.7.2-3",-16.4480102,-71.55984635,-1946543.086,2835014.261
"1.7.2-3",-16.44811131,-71.55980713,-1946555.455,2835017.385
"1.7.2-3",-16.44831727,-71.55973447,-1946580.559,2835022.927
"1.7.2-3",-16.44826322,-71.55969791,-1946574.673,2835027.777
"1.7.2-3",-16.44820741,-71.55968267,-1946568.31,2835030.233
"1.7.2-3",-16.44791554,-71.55965401,-1946534.394,2835037.297
"1.7.2-3",-16.44785083,-71.55973181,-1946525.814,2835029.325
"1.7.2-3",-16.4479483,-71.55979325,-1946536.485,2835021.088
"1.7.2-3",-16.44787627,-71.55989725,-1946526.715,2835010.243
"1.7.2-3",-16.44764337,-71.55975496,-1946501.158,2835029.413
"1.7.2-3",-16.4475106,-71.55999196,-1946482.576,2835004.288
"1.7.2-4",NA,NA,-1.516416327,20763369.87
"1.7.2-4",-16.44833598,-71.56036474,-1946574.808,2834951.253
"1.7.2-4",-16.44847007,-71.56019528,-1946592.692,2834968.706
"1.7.2-4",-16.44866383,-71.56005286,-1946617.243,2834982.315
"1.7.2-4",-16.44838061,-71.55978813,-1946587.322,2835016.018
"1.7.2-4",-16.4480871,-71.55987059,-1946551.812,2835010.509
"1.7.2-4",-16.44804637,-71.55993459,-1946546.221,2835003.788
"1.7.2-4",-16.44801067,-71.55998894,-1946541.343,2834998.094
"1.7.2-4",-16.44796308,-71.5600827,-1946534.571,2834988.09
"1.7.3-1",NA,NA,-1.516416327,20763369.87
"1.7.3-1",-16.44870518,-71.56006049,-1946622.003,2834980.909
"1.7.3-1",-16.44883916,-71.55993454,-1946639.327,2834993.432
"1.7.3-1",-16.44896188,-71.55975462,-1946656.009,2835012.219
"1.7.3-1",-16.44850611,-71.55940264,-1946606.922,2835058.066
"1.7.3-1",-16.44848428,-71.55945448,-1946603.704,2835052.477
"1.7.3-1",-16.44848179,-71.55964534,-1946601.005,2835030.878
