"ident","lat","long","y_proj","x_proj"
"1.3.49-9",NA,NA,-1.516416327,20763369.87
"1.3.49-9",-16.34579875,-71.54453623,-1934730.661,2838082.517
"1.3.49-9",-16.34572693,-71.54474351,-1934719.622,2838059.942
"1.3.49-9",-16.34571755,-71.54479729,-1934717.845,2838053.965
"1.3.49-9",-16.34601256,-71.54504418,-1934749.399,2838022.126
"1.3.49-9",-16.34616076,-71.54469314,-1934771.215,2838060.013
"1.3.49-10",NA,NA,-1.516416327,20763369.87
"1.3.49-10",-16.34620631,-71.54471057,-1934776.346,2838057.444
"1.3.49-10",-16.34603654,-71.54506163,-1934751.996,2838019.835
"1.3.49-10",-16.34616008,-71.54518886,-1934764.911,2838003.8
"1.3.49-10",-16.34633393,-71.54529604,-1934783.987,2837989.382
"1.3.49-10",-16.34653717,-71.54486877,-1934813.225,2838035.199
"1.3.49-11",NA,NA,-1.516416327,20763369.87
"1.3.49-11",-16.34638558,-71.54531916,-1934789.764,2837986.088
"1.3.49-11",-16.34669173,-71.54558502,-1934822.387,2837951.954
"1.3.49-11",-16.34675804,-71.54543534,-1934832.056,2837968.069
"1.3.49-11",-16.34692408,-71.5450409,-1934856.512,2838010.645
"1.3.49-11",-16.34657605,-71.54488189,-1934817.627,2838033.206
"1.3.49-12",NA,NA,-1.516416327,20763369.87
"1.3.49-12",-16.34695621,-71.54506085,-1934860.037,2838007.965
"1.3.49-12",-16.34672795,-71.54561675,-1934826.244,2837947.885
"1.3.49-12",-16.34687752,-71.54574375,-1934842.219,2837931.536
"1.3.49-12",-16.34707033,-71.54578407,-1934864.361,2837924.456
"1.3.49-12",-16.34732036,-71.54523443,-1934900.632,2837983.542
"1.3.49-13",NA,NA,-1.516416327,20763369.87
"1.3.49-13",-16.34736021,-71.54524541,-1934905.175,2837981.779
"1.3.49-13",-16.3472399,-71.54549349,-1934887.928,2837955.207
"1.3.49-13",-16.34715785,-71.5456812,-1934875.933,2837934.985
"1.3.49-13",-16.34711086,-71.5458084,-1934868.817,2837921.17
"1.3.49-13",-16.34758535,-71.54589128,-1934923.513,2837905.599
"1.3.49-13",-16.34766404,-71.54538799,-1934939.075,2837961.657
"1.3.49-13",-16.34749866,-71.54531459,-1934920.57,2837972.133
"1.3.49-14",NA,NA,-1.516416327,20763369.87
