ident;lat;long;y_proj;x_proj
ZAMACOLA_01; ; ;-1.516416327;20763369.87
ZAMACOLA_01;-16.3209604;-71.54220393;-1931842.18;2838669.839
ZAMACOLA_01;-16.32074027;-71.54208839;-1931817.77;2838685.804
ZAMACOLA_01;-16.32043652;-71.54198696;-1931783.36;2838701.254
ZAMACOLA_01;-16.32022455;-71.54181879;-1931760.567;2838723.084
ZAMACOLA_01;-16.32013712;-71.5416067;-1931752.957;2838748.279
ZAMACOLA_01;-16.32009593;-71.54151998;-1931749.206;2838758.651
ZAMACOLA_01;-16.32002206;-71.54146065;-1931741.272;2838766.341
ZAMACOLA_01;-16.31975188;-71.5414591;-1931709.552;2838770.025
ZAMACOLA_01;-16.31965106;-71.54164914;-1931695.326;2838749.776
ZAMACOLA_01;-16.31934968;-71.54181003;-1931657.905;2838735.438
ZAMACOLA_01;-16.31924681;-71.54180818;-1931645.843;2838736.984
ZAMACOLA_01;-16.31917476;-71.54175697;-1931638.021;2838743.729
ZAMACOLA_01;-16.31881819;-71.54151339;-1931599.189;2838775.991
ZAMACOLA_01;-16.31854366;-71.54118832;-1931571.015;2838816.432
ZAMACOLA_01;-16.3184332;-71.54111324;-1931558.981;2838826.383
ZAMACOLA_01;-16.31826059;-71.54108046;-1931539.114;2838832.343
ZAMACOLA_01;-16.31792856;-71.54155885;-1931494.111;2838782.385
ZAMACOLA_01;-16.31780977;-71.54158073;-1931479.882;2838781.446
ZAMACOLA_01;-16.3176617;-71.5415429;-1931462.963;2838787.659
ZAMACOLA_01;-16.31757595;-71.54139472;-1931454.747;2838805.583
ZAMACOLA_01;-16.31761252;-71.54126464;-1931460.674;2838819.865
ZAMACOLA_01;-16.31755221;-71.54112433;-1931455.348;2838836.565
ZAMACOLA_01;-16.31750258;-71.5410416;-1931450.556;2838846.594
ZAMACOLA_01;-16.31746221;-71.54103798;-1931445.858;2838847.53
ZAMACOLA_01;-16.31723372;-71.54122624;-1931416.657;2838829.139
ZAMACOLA_01;-16.31701485;-71.54126371;-1931390.475;2838827.73
ZAMACOLA_01;-16.31689198;-71.54116988;-1931377.218;2838839.971
ZAMACOLA_01;-16.31680232;-71.54103486;-1931368.378;2838856.451
ZAMACOLA_01;-16.31688492;-71.54076672;-1931381.444;2838885.797
ZAMACOLA_01;-16.31687016;-71.54069446;-1931380.616;2838894.186
ZAMACOLA_01;-16.31682783;-71.54064076;-1931376.317;2838900.827
ZAMACOLA_01;-16.31644261;-71.54061325;-1931331.408;2838908.951
ZAMACOLA_01;-16.3162529;-71.54045387;-1931311.12;2838929.494
ZAMACOLA_01;-16.31595982;-71.5405097;-1931275.991;2838926.966
ZAMACOLA_01;-16.31581484;-71.54064072;-1931257.317;2838913.985
ZAMACOLA_01;-16.31555724;-71.54065488;-1931226.878;2838915.723
ZAMACOLA_01;-16.31495057;-71.54017555;-1931161.619;2838977.976
ZAMACOLA_01;-16.31470529;-71.54013142;-1931133.359;2838986.167
ZAMACOLA_01;-16.31432338;-71.54011809;-1931088.662;2838992.637
ZAMACOLA_01;-16.3137276;-71.53996985;-1931020.531;2839017.19
ZAMACOLA_01;-16.31325852;-71.53989273;-1930966.392;2839032.029
ZAMACOLA_01;-16.31234925;-71.53936819;-1930866.152;2839103.339
ZAMACOLA_01;-16.31194496;-71.53939414;-1930818.333;2839105.644
ZAMACOLA_01;-16.31168108;-71.53934182;-1930787.988;2839115.005
ZAMACOLA_01;-16.31151419;-71.53920185;-1930770.139;2839133.051
ZAMACOLA_01;-16.31103755;-71.53912069;-1930715.162;2839148.446
ZAMACOLA_01;-16.31094392;-71.53902263;-1930705.392;2839160.785
ZAMACOLA_01;-16.3106654;-71.53861326;-1930677.805;2839210.843
ZAMACOLA_01;-16.31051836;-71.53858403;-1930660.897;2839216.068
ZAMACOLA_01;-16.31014519;-71.53842355;-1930619.071;2839239.118
ZAMACOLA_01;-16.31001965;-71.53847758;-1930603.645;2839234.619
ZAMACOLA_01;-16.30974569;-71.53842429;-1930572.129;2839244.221
ZAMACOLA_01;-16.30949701;-71.53830178;-1930544.451;2839261.347
ZAMACOLA_01;-16.30928951;-71.53816536;-1930521.784;2839279.517
ZAMACOLA_01;-16.30927987;-71.53793454;-1930523.546;2839305.828
ZAMACOLA_01;-16.30914523;-71.53785279;-1930508.753;2839316.851
ZAMACOLA_01;-16.30903967;-71.53784627;-1930496.435;2839318.96
