ident;lat;long;y_proj;x_proj
CERRO_COLORADO; ; ;-1.516416327;20763369.87
CERRO_COLORADO;-16.3930695;-71.56010425;-1940087.356;2835701.918
CERRO_COLORADO;-16.39357365;-71.55962099;-1940152.645;2835750.138
CERRO_COLORADO;-16.39271231;-71.55693884;-1940085.214;2836065.448
CERRO_COLORADO;-16.39249241;-71.55595178;-1940071.802;2836180.222
CERRO_COLORADO;-16.39206968;-71.55449565;-1940040.467;2836350.821
CERRO_COLORADO;-16.39167891;-71.55399752;-1940000.836;2836412.39
CERRO_COLORADO;-16.39144005;-71.55384224;-1939974.734;2836433.108
CERRO_COLORADO;-16.39105477;-71.55355328;-1939933.116;2836470.89
CERRO_COLORADO;-16.39089401;-71.55316858;-1939919.074;2836516.602
CERRO_COLORADO;-16.39083116;-71.55256033;-1939919.343;2836586.384
CERRO_COLORADO;-16.39084517;-71.55210402;-1939926.729;2836637.938
CERRO_COLORADO;-16.39096368;-71.55173504;-1939945.29;2836678.229
CERRO_COLORADO;-16.39107609;-71.55132511;-1939963.65;2836723.242
CERRO_COLORADO;-16.3901538;-71.55122818;-1939856.542;2836746.251
CERRO_COLORADO;-16.39001951;-71.5510772;-1939842.668;2836765.12
CERRO_COLORADO;-16.38984307;-71.55104101;-1939822.4;2836771.522
CERRO_COLORADO;-16.38968059;-71.55106464;-1939803.019;2836770.96
CERRO_COLORADO;-16.38943255;-71.55117724;-1939772.468;2836761.426
CERRO_COLORADO;-16.38882521;-71.55138178;-1939698.56;2836746.149
CERRO_COLORADO;-16.3882911;-71.55176792;-1939630.969;2836709.328
CERRO_COLORADO;-16.38799639;-71.5518937;-1939594.772;2836698.907
CERRO_COLORADO;-16.38729996;-71.55212818;-1939510.024;2836681.395
CERRO_COLORADO;-16.38692931;-71.55257463;-1939460.874;2836635.604
CERRO_COLORADO;-16.38681331;-71.55262237;-1939446.649;2836631.703
CERRO_COLORADO;-16.38666018;-71.55265826;-1939428.211;2836629.629
CERRO_COLORADO;-16.38623347;-71.55267046;-1939377.939;2836633.804
CERRO_COLORADO;-16.38611439;-71.55261488;-1939364.651;2836641.657
CERRO_COLORADO;-16.38579571;-71.55227539;-1939331.49;2836684.302
CERRO_COLORADO;-16.38567779;-71.55220818;-1939318.485;2836693.458
CERRO_COLORADO;-16.385567;-71.55219503;-1939305.638;2836696.393
CERRO_COLORADO;-16.38482763;-71.55227858;-1939217.744;2836696.552
CERRO_COLORADO;-16.38472505;-71.55226647;-1939205.848;2836699.262
CERRO_COLORADO;-16.38432988;-71.55212156;-1939161.256;2836720.84
CERRO_COLORADO;-16.38350463;-71.55198196;-1939066.08;2836747.418
CERRO_COLORADO;-16.38336555;-71.55201112;-1939049.378;2836745.924
CERRO_COLORADO;-16.38322117;-71.55201265;-1939032.4;2836747.632
CERRO_COLORADO;-16.38295147;-71.5519577;-1939001.413;2836757.375
CERRO_COLORADO;-16.38275988;-71.55198961;-1938978.51;2836756.253
CERRO_COLORADO;-16.38246798;-71.55200019;-1938944.09;2836758.855
CERRO_COLORADO;-16.38179341;-71.55233389;-1938860.662;2836729.804
CERRO_COLORADO;-16.38142478;-71.55270254;-1938812.73;2836692.806
CERRO_COLORADO;-16.38129289;-71.55275255;-1938796.61;2836688.853
CERRO_COLORADO;-16.38057932;-71.55292532;-1938710.625;2836678.557
CERRO_COLORADO;-16.38041865;-71.5530061;-1938690.738;2836671.49
CERRO_COLORADO;-16.38012904;-71.55316456;-1938654.73;2836657.294
CERRO_COLORADO;-16.3794444;-71.5534286;-1938570.995;2836636.271
CERRO_COLORADO;-16.37914143;-71.55361315;-1938533.09;2836619.29
CERRO_COLORADO;-16.37831316;-71.55424286;-1938427.89;2836558.675
CERRO_COLORADO;-16.37777648;-71.55455831;-1938360.889;2836529.894
CERRO_COLORADO;-16.37749487;-71.55452696;-1938328.206;2836537.115
CERRO_COLORADO;-16.37709717;-71.5542617;-1938284.828;2836572.371
CERRO_COLORADO;-16.37528944;-71.55391114;-1938076.907;2836635.656
CERRO_COLORADO;-16.37484428;-71.55349363;-1938029.867;2836688.793
CERRO_COLORADO;-16.37374785;-71.55290925;-1937908.429;2836769.332
CERRO_COLORADO;-16.3733109;-71.55255574;-1937861.55;2836815.104
CERRO_COLORADO;-16.37300865;-71.5523318;-1937828.862;2836844.433
CERRO_COLORADO;-16.37209516;-71.55166984;-1937729.885;2836931.386
CERRO_COLORADO;-16.37201128;-71.55149542;-1937722.225;2836952.257
CERRO_COLORADO;-16.37136754;-71.5513603;-1937648.311;2836975.959
CERRO_COLORADO;-16.37120192;-71.55124232;-1937630.341;2836991.493
CERRO_COLORADO;-16.37055528;-71.55116537;-1937555.355;2837008.637
CERRO_COLORADO;-16.36940736;-71.55133932;-1937418.335;2837003.853
CERRO_COLORADO;-16.3689163;-71.55107366;-1937363.995;2837040.371
CERRO_COLORADO;-16.36840516;-71.55090533;-1937306.072;2837066.112
CERRO_COLORADO;-16.36835347;-71.55106719;-1937297.967;2837048.43
CERRO_COLORADO;-16.36841227;-71.55204426;-1937292.596;2836936.868
CERRO_COLORADO;-16.36824776;-71.55199466;-1937273.897;2836944.633
CERRO_COLORADO;-16.36801438;-71.55190386;-1937247.625;2836957.967
CERRO_COLORADO;-16.3677323;-71.55175048;-1937216.419;2836979.031
CERRO_COLORADO;-16.36741877;-71.5515322;-1937182.336;2837007.863
CERRO_COLORADO;-16.36720001;-71.55155934;-1937156.3;2837007.634
CERRO_COLORADO;-16.36711966;-71.55176478;-1937144.28;2836985.383
CERRO_COLORADO;-16.36701512;-71.55185736;-1937130.838;2836976.245
CERRO_COLORADO;-16.36692098;-71.55183511;-1937120.059;2836979.993
CERRO_COLORADO;-16.36678358;-71.55160583;-1937106.802;2837007.78
CERRO_COLORADO;-16.36656916;-71.55160185;-1937081.666;2837011.022
CERRO_COLORADO;-16.36526166;-71.55118442;-1936933.333;2837075.374
CERRO_COLORADO;-16.36547091;-71.55146868;-1936954.341;2837040.416
CERRO_COLORADO;-16.3654571;-71.5520218;-1936945.769;2836977.873
CERRO_COLORADO;-16.36551999;-71.5522944;-1936949.731;2836946.142
