ident;lat;long;y_proj;x_proj;;;;;;;;;;
PEDREGAL_01; ; ;-1.516416327;20763369.87;;;;;;;;;; 
PEDREGAL_01;-16.32139027;-72.19995508;-1923797.722;2764187.807;;;;;;;;;; 
PEDREGAL_01;-16.32313446;-72.19675826;-1924040.474;2764527.307;;;;;;;;;; 
PEDREGAL_01;-16.32579788;-72.19459935;-1924378.291;2764737.996;;;;;;;;;; 
PEDREGAL_01;-16.32602265;-72.1937808;-1924414.49;2764827.698;;;;;;;;;; 
PEDREGAL_01;-16.32534734;-72.19047722;-1924375.364;2765209.534;;;;;;;;;; 
PEDREGAL_01;-16.32643468;-72.18726782;-1924541.422;2765558.671;;;;;;;;;; 
PEDREGAL_01;-16.32164131;-72.18374146;-1924022.976;2766017.251;;;;;;;;;; 
PEDREGAL_01;-16.31892538;-72.18197491;-1923726.417;2766250.924;;;;;;;;;; 
PEDREGAL_01;-16.32174432;-72.17634833;-1924124.408;2766851.642;;;;;;;;;; 
PEDREGAL_01;-16.32397407;-72.17635824;-1924385.297;2766822.599;;;;;;;;;; 
PEDREGAL_01;-16.32518802;-72.1767349;-1924522.842;2766764.822;;;;;;;;;; 
PEDREGAL_01;-16.32704176;-72.17343189;-1924779.788;2767114.956;;;;;;;;;; 
PEDREGAL_01;-16.31991077;-72.16890854;-1923999.748;2767715.598;;;;;;;;;; 
PEDREGAL_01;-16.29111968;-72.16023232;-1920734.144;2769056.915;;;;;;;;;; 
PEDREGAL_01;-16.27849721;-72.15849082;-1919277.422;2769411.704;;;;;;;;;; 
PEDREGAL_01;-16.26753679;-72.17078362;-1917845.909;2768158.584;;;;;;;;;; 
PEDREGAL_01;-16.2797127;-72.18281268;-1919126.196;2766646.407;;;;;;;;;; 
PEDREGAL_01;-16.28683373;-72.17498703;-1920054.21;2767442.248;;;;;;;;;; 
PEDREGAL_01;-16.31888142;-72.20249826;-1923473.378;2763931.737;;;;;;;;;; 
