ident;lat;long;y_proj;x_proj;;;;;;;;;;ltime
PEDREGAL_02; ; ;-1.516416327;20763369.87;;;;;;;;;; 
PEDREGAL_02;-16.32163262;-72.18350364;-1924024.832;2766044.242;;;;;;;;;; 
PEDREGAL_02;-16.33910922;-72.19655589;-1925912.651;2764350.275;;;;;;;;;; 
PEDREGAL_02;-16.343972;-72.19252025;-1926530.6;2764745.452;;;;;;;;;; 
PEDREGAL_02;-16.34658388;-72.19002158;-1926866.53;2764995.107;;;;;;;;;; 
PEDREGAL_02;-16.34961472;-72.18579568;-1927272.412;2765434.694;;;;;;;;;; 
PEDREGAL_02;-16.35323776;-72.17963674;-1927771.046;2766085.297;;;;;;;;;; 
PEDREGAL_02;-16.33469301;-72.16805849;-1925740.465;2767626.443;;;;;;;;;; 
PEDREGAL_02;-16.32274863;-72.16584219;-1924369.052;2768026.675;;;;;;;;;; 
PEDREGAL_02;-16.32003356;-72.16879138;-1924015.538;2767727.305;;;;;;;;;; 
PEDREGAL_02;-16.32717118;-72.17339194;-1924795.42;2767117.851;;;;;;;;;; 
PEDREGAL_02;-16.32521477;-72.17684847;-1924524.601;2766751.649;;;;;;;;;; 
PEDREGAL_02;-16.32392567;-72.17647285;-1924378.245;2766810.252;;;;;;;;;; 
PEDREGAL_02;-16.32179005;-72.176474;-1924128.242;2766836.864;;;;;;;;;; 
PEDREGAL_02;-16.31915345;-72.18189718;-1923754.053;2766256.855;;;;;;;;;; 
