ident;lat;long;y_proj;x_proj
DTO_Characato; ; ;-1.516416327;20763369.87
DTO_Characato;-16.46318746;-71.51861973;-1948846.468;2839488.207
DTO_Characato;-16.46326267;-71.51833319;-1948858.927;2839519.699
DTO_Characato;-16.46358284;-71.51773985;-1948904.044;2839582.754
DTO_Characato;-16.46391156;-71.51746753;-1948946.103;2839609.31
DTO_Characato;-16.46443664;-71.51746195;-1949007.852;2839603.058
DTO_Characato;-16.46475069;-71.51757022;-1949043.372;2839586.668
DTO_Characato;-16.46525738;-71.51770747;-1949101.154;2839564.466
DTO_Characato;-16.46534987;-71.51774149;-1949111.588;2839559.397
DTO_Characato;-16.46564026;-71.51773858;-1949145.735;2839555.919
DTO_Characato;-16.46586255;-71.5177755;-1949171.38;2839548.819
DTO_Characato;-16.46626248;-71.51789522;-1949216.843;2839530.004
DTO_Characato;-16.46667061;-71.51810431;-1949262.138;2839500.953
DTO_Characato;-16.46684592;-71.51810789;-1949282.685;2839498.248
DTO_Characato;-16.46704095;-71.51806561;-1949306.13;2839500.482
DTO_Characato;-16.46755736;-71.51835846;-1949363.083;2839460.517
DTO_Characato;-16.46788092;-71.51835319;-1949401.157;2839456.871
DTO_Characato;-16.46817855;-71.51848376;-1949434.465;2839438.167
DTO_Characato;-16.46878395;-71.51868015;-1949503.093;2839407.968
DTO_Characato;-16.47018878;-71.51916235;-1949662.007;2839334.889
DTO_Characato;-16.47063991;-71.51922265;-1949714.236;2839322.137
DTO_Characato;-16.47119206;-71.51959898;-1949774.33;2839272.24
DTO_Characato;-16.47202791;-71.52028401;-1949863.841;2839183.635
DTO_Characato;-16.47280818;-71.52056589;-1949951.926;2839141.452
DTO_Characato;-16.47326359;-71.52078512;-1950002.644;2839110.632
DTO_Characato;-16.4734363;-71.52083808;-1950022.261;2839102.363
DTO_Characato;-16.47364584;-71.52088563;-1950046.272;2839094.226
DTO_Characato;-16.47388088;-71.52088458;-1950073.893;2839091.261
DTO_Characato;-16.47444203;-71.52072284;-1950141.854;2839102.231
DTO_Characato;-16.47464574;-71.52071672;-1950165.86;2839100.253
DTO_Characato;-16.47486485;-71.52071939;-1950191.564;2839097.075
DTO_Characato;-16.47506191;-71.52072176;-1950214.681;2839094.222
DTO_Characato;-16.47523858;-71.52064671;-1950236.382;2839100.41
DTO_Characato;-16.47532792;-71.52052707;-1950248.391;2839112.798
DTO_Characato;-16.47537028;-71.52041873;-1950254.738;2839124.521
DTO_Characato;-16.4753191;-71.52027517;-1950250.543;2839141.463
DTO_Characato;-16.47523283;-71.52012975;-1950242.251;2839159.076
DTO_Characato;-16.47517528;-71.51999376;-1950237.212;2839175.244
DTO_Characato;-16.47505802;-71.51983074;-1950225.503;2839195.258
DTO_Characato;-16.47485259;-71.51967978;-1950203.283;2839215.063
DTO_Characato;-16.4746666;-71.5195646;-1950182.894;2839230.558
DTO_Characato;-16.47441263;-71.5192884;-1950156.558;2839265.194
DTO_Characato;-16.47440716;-71.51912671;-1950157.963;2839283.591
DTO_Characato;-16.47445095;-71.51904225;-1950164.176;2839292.59
DTO_Characato;-16.47457762;-71.5189784;-1950179.863;2839298.164
DTO_Characato;-16.47482698;-71.51908643;-1950207.786;2839282.649
DTO_Characato;-16.47497512;-71.51920683;-1950223.663;2839267.059
DTO_Characato;-16.4751352;-71.5193554;-1950240.586;2839248.12
DTO_Characato;-16.47549017;-71.51946872;-1950280.847;2839230.62
DTO_Characato;-16.47581409;-71.51957914;-1950317.497;2839213.855
DTO_Characato;-16.47620906;-71.51972681;-1950362.022;2839191.937
DTO_Characato;-16.47643013;-71.51980982;-1950386.938;2839179.627
DTO_Characato;-16.47646414;-71.51982265;-1950390.771;2839177.727
DTO_Characato;-16.47646481;-71.52020162;-1950386.052;2839134.767
DTO_Characato;-16.47644963;-71.52035004;-1950382.39;2839118.145
DTO_Characato;-16.47643305;-71.52044604;-1950379.227;2839107.482
DTO_Characato;-16.47643936;-71.52058517;-1950378.207;2839091.631
DTO_Characato;-16.47648597;-71.52075571;-1950381.523;2839071.691
DTO_Characato;-16.47655002;-71.52090753;-1950387.125;2839053.645
DTO_Characato;-16.47658049;-71.52107643;-1950388.566;2839034.101
DTO_Characato;-16.47653106;-71.52124775;-1950380.59;2839015.333
DTO_Characato;-16.47641183;-71.5217176;-1950360.638;2838963.647
DTO_Characato;-16.47637578;-71.52232666;-1950348.694;2838895.092
DTO_Characato;-16.47570023;-71.52261532;-1950265.69;2838871.238
DTO_Characato;-16.47555682;-71.52324042;-1950240.933;2838802.274
DTO_Characato;-16.47531574;-71.52396904;-1950203.394;2838722.857
DTO_Characato;-16.47604473;-71.52389282;-1950289.986;2838721.934
DTO_Characato;-16.4761585;-71.5241508;-1950300.084;2838691.204
DTO_Characato;-16.47613788;-71.52447638;-1950293.541;2838654.575
DTO_Characato;-16.4760389;-71.52489015;-1950276.678;2838608.979
DTO_Characato;-16.4759508;-71.5251016;-1950263.654;2838586.17
DTO_Characato;-16.47629556;-71.52510303;-1950304.132;2838581.486
DTO_Characato;-16.4766591;-71.52499375;-1950348.215;2838589.102
DTO_Characato;-16.47702357;-71.52498835;-1950391.094;2838584.934
DTO_Characato;-16.47704117;-71.52456965;-1950398.46;2838632.156
DTO_Characato;-16.47774084;-71.52468229;-1950479.217;2838610.211
DTO_Characato;-16.47794062;-71.52405104;-1950510.673;2838679.132
DTO_Characato;-16.47825003;-71.52401654;-1950547.452;2838678.983
DTO_Characato;-16.47866565;-71.52411589;-1950595.013;2838662.271
DTO_Characato;-16.4782578;-71.52565521;-1950527.624;2838493.168
DTO_Characato;-16.47848975;-71.52564925;-1950554.944;2838490.8
DTO_Characato;-16.47898489;-71.52564696;-1950613.131;2838484.564
DTO_Characato;-16.47936265;-71.52535415;-1950661.208;2838512.793
DTO_Characato;-16.47947536;-71.52495497;-1950679.5;2838556.554
DTO_Characato;-16.47971985;-71.52465328;-1950712.037;2838587.537
DTO_Characato;-16.48000308;-71.52464478;-1950745.411;2838584.785
DTO_Characato;-16.48001146;-71.52432611;-1950750.43;2838620.79
DTO_Characato;-16.48038025;-71.5236708;-1950802.043;2838690.218
DTO_Characato;-16.48056267;-71.52333015;-1950827.782;2838726.432
DTO_Characato;-16.48082509;-71.52295686;-1950863.332;2838765.294
DTO_Characato;-16.48120252;-71.52344756;-1950901.452;2838704.729
DTO_Characato;-16.48077187;-71.52469002;-1950835.139;2838569.571
DTO_Characato;-16.48136193;-71.52461703;-1950905.371;2838570.101
DTO_Characato;-16.48167567;-71.52458128;-1950942.675;2838570.036
DTO_Characato;-16.48191458;-71.52467686;-1950969.527;2838556.07
DTO_Characato;-16.48244603;-71.52480129;-1951030.375;2838534.995
DTO_Characato;-16.48279696;-71.52406314;-1951080.94;2838614.044
DTO_Characato;-16.48296931;-71.52370338;-1951105.738;2838652.554
DTO_Characato;-16.48340382;-71.52281702;-1951167.998;2838747.302
DTO_Characato;-16.4833018;-71.52252258;-1951159.744;2838782.009
DTO_Characato;-16.48341199;-71.52213793;-1951177.556;2838824.156
