ident;lat;long;y_proj;x_proj
DTO_Mollebaya; ; ;-1.516416327;20763369.87
DTO_Mollebaya;-16.48852797;-71.50279346;-1952023.63;2840949.359
DTO_Mollebaya;-16.4888192;-71.50321066;-1952052.551;2840898.247
DTO_Mollebaya;-16.48926173;-71.50348154;-1952101.101;2840861.731
DTO_Mollebaya;-16.49001353;-71.50385067;-1952184.734;2840810.014
DTO_Mollebaya;-16.4903679;-71.50422583;-1952221.605;2840762.837
DTO_Mollebaya;-16.49065211;-71.50454351;-1952250.963;2840723.097
DTO_Mollebaya;-16.49083711;-71.50464754;-1952271.376;2840708.875
DTO_Mollebaya;-16.49118104;-71.50493087;-1952308.184;2840672.244
DTO_Mollebaya;-16.49187319;-71.50637934;-1952371.124;2840498.985
DTO_Mollebaya;-16.49155939;-71.50750455;-1952319.995;2840375.585
DTO_Mollebaya;-16.49120264;-71.50860508;-1952264.136;2840255.546
DTO_Mollebaya;-16.49092508;-71.50906177;-1952225.742;2840207.436
DTO_Mollebaya;-16.49061243;-71.50950545;-1952183.392;2840161.26
DTO_Mollebaya;-16.49058144;-71.51033014;-1952169.298;2840068.203
DTO_Mollebaya;-16.49056146;-71.51087225;-1952160.08;2840007.026
DTO_Mollebaya;-16.49066908;-71.51141279;-1952165.869;2839944.353
DTO_Mollebaya;-16.49072483;-71.51185263;-1952166.843;2839893.772
DTO_Mollebaya;-16.49066567;-71.51234416;-1952153.664;2839838.844
DTO_Mollebaya;-16.49072163;-71.51264978;-1952156.363;2839803.472
DTO_Mollebaya;-16.49077782;-71.51298961;-1952158.657;2839764.222
DTO_Mollebaya;-16.49081644;-71.51321909;-1952160.285;2839737.707
DTO_Mollebaya;-16.49071239;-71.51362205;-1952142.956;2839693.406
DTO_Mollebaya;-16.49062598;-71.51404024;-1952127.505;2839647.148
DTO_Mollebaya;-16.49091774;-71.51527874;-1952146.081;2839502.957
DTO_Mollebaya;-16.49031208;-71.51639188;-1952060.833;2839384.762
DTO_Mollebaya;-16.49076091;-71.51727436;-1952102.371;2839278.857
DTO_Mollebaya;-16.49016025;-71.51832703;-1952018.479;2839167.449
DTO_Mollebaya;-16.4906139;-71.5185805;-1952068.554;2839132.767
DTO_Mollebaya;-16.49044148;-71.51938788;-1952038.072;2839043.532
DTO_Mollebaya;-16.48949735;-71.52049262;-1951913.179;2838930.733
DTO_Mollebaya;-16.4896818;-71.5207154;-1951932.022;2838903.065
DTO_Mollebaya;-16.48958816;-71.52105896;-1951916.671;2838865.36
DTO_Mollebaya;-16.48954378;-71.52127087;-1951908.773;2838841.927
DTO_Mollebaya;-16.489458;-71.52148767;-1951895.951;2838818.484
DTO_Mollebaya;-16.48952712;-71.52168496;-1951901.572;2838795.22
DTO_Mollebaya;-16.48945094;-71.52197993;-1951888.888;2838762.792
DTO_Mollebaya;-16.48926128;-71.52259926;-1951858.765;2838695.095
DTO_Mollebaya;-16.49084498;-71.52378254;-1952029.795;2838540.21
DTO_Mollebaya;-16.49136261;-71.52392685;-1952088.766;2838517.061
DTO_Mollebaya;-16.49166244;-71.52402677;-1952122.719;2838501.8
DTO_Mollebaya;-16.4925882;-71.52385996;-1952233.568;2838508.549
DTO_Mollebaya;-16.4929802;-71.52375727;-1952280.912;2838515.04
DTO_Mollebaya;-16.4932712;-71.52362285;-1952316.795;2838526.451
DTO_Mollebaya;-16.49348158;-71.52346283;-1952343.533;2838541.823
DTO_Mollebaya;-16.49355242;-71.52317384;-1952355.515;2838573.642
DTO_Mollebaya;-16.49365046;-71.52249281;-1952375.658;2838649.53
DTO_Mollebaya;-16.49375373;-71.52204305;-1952393.486;2838699.141
DTO_Mollebaya;-16.4938635;-71.52165326;-1952411.318;2838741.871
DTO_Mollebaya;-16.49401114;-71.52140883;-1952431.756;2838767.632
DTO_Mollebaya;-16.49424621;-71.52134973;-1952460.116;2838771.242
DTO_Mollebaya;-16.49450853;-71.52144249;-1952489.752;2838757.286
DTO_Mollebaya;-16.49491438;-71.52152415;-1952536.388;2838742.702
DTO_Mollebaya;-16.49586381;-71.52167437;-1952646.003;2838713.209
DTO_Mollebaya;-16.49619543;-71.52175936;-1952683.877;2838699.222
DTO_Mollebaya;-16.49652838;-71.52180768;-1952722.373;2838689.374
DTO_Mollebaya;-16.49692378;-71.52181635;-1952768.705;2838683.198
DTO_Mollebaya;-16.49727108;-71.52178157;-1952809.939;2838682.577
DTO_Mollebaya;-16.49766417;-71.51976187;-1952881.706;2838906.288
DTO_Mollebaya;-16.49788841;-71.51945346;-1952911.954;2838938.291
DTO_Mollebaya;-16.49823431;-71.51925886;-1952955.049;2838955.799
DTO_Mollebaya;-16.49857601;-71.51915079;-1952996.555;2838963.556
DTO_Mollebaya;-16.4993299;-71.51906157;-1953086.237;2838963.762
DTO_Mollebaya;-16.49994575;-71.51909819;-1953158.11;2838951.52
DTO_Mollebaya;-16.50035733;-71.51901746;-1953207.477;2838955.261
DTO_Mollebaya;-16.50083892;-71.51876548;-1953267.238;2838977.487
DTO_Mollebaya;-16.50124283;-71.51850176;-1953318.024;2839002.064
DTO_Mollebaya;-16.50157202;-71.51806372;-1953362.244;2839047.377
DTO_Mollebaya;-16.50190599;-71.51744097;-1953409.367;2839113.558
DTO_Mollebaya;-16.50216816;-71.51673481;-1953449.115;2839190.133
DTO_Mollebaya;-16.50222008;-71.51652925;-1953457.82;2839212.746
DTO_Mollebaya;-16.50259022;-71.51647831;-1953501.942;2839213.653
DTO_Mollebaya;-16.5030335;-71.51675755;-1953550.47;2839176.184
DTO_Mollebaya;-16.50358592;-71.51701146;-1953612.137;2839140.151
DTO_Mollebaya;-16.50437319;-71.51702465;-1953704.442;2839128.309
DTO_Mollebaya;-16.50636175;-71.51631066;-1953947.072;2839183.077
