ident;lat;long;y_proj;x_proj
DTO_Quequenha; ; ;-1.516416327;20763369.87
DTO_Quequenha;-16.51341585;-71.50926576;-1954865.036;2839888.609
DTO_Quequenha;-16.51698864;-71.50649899;-1955319.831;2840155.113
DTO_Quequenha;-16.51975055;-71.50496927;-1955663.682;2840292.098
DTO_Quequenha;-16.52166336;-71.50571667;-1955878.877;2840182.226
DTO_Quequenha;-16.52222181;-71.50657776;-1955933.539;2840077.302
DTO_Quequenha;-16.52429023;-71.50808276;-1956157.389;2839879.539
DTO_Quequenha;-16.52953464;-71.5089407;-1956762.508;2839713.274
DTO_Quequenha;-16.53283084;-71.50984058;-1957138.249;2839567.906
DTO_Quequenha;-16.53576774;-71.51243067;-1957450.308;2839235.769
DTO_Quequenha;-16.53925451;-71.51280539;-1957855.093;2839147.387
DTO_Quequenha;-16.54261638;-71.50891165;-1958299.455;2839544.229
DTO_Quequenha;-16.54716092;-71.50760134;-1958849.911;2839632.776
DTO_Quequenha;-16.55028621;-71.50526741;-1959246.687;2839855.983
DTO_Quequenha;-16.55099922;-71.50197369;-1959372.336;2840219.729
DTO_Quequenha;-16.55050715;-71.50103005;-1959326.541;2840333.127
DTO_Quequenha;-16.54992533;-71.5006575;-1959262.939;2840383.009
DTO_Quequenha;-16.54915608;-71.50033475;-1959176.686;2840429.722
DTO_Quequenha;-16.54885302;-71.49941874;-1959152.741;2840537.499
DTO_Quequenha;-16.54830823;-71.4982897;-1959103.112;2840672.601
DTO_Quequenha;-16.5469792;-71.49774434;-1958953.937;2840751.92
DTO_Quequenha;-16.54498804;-71.49736629;-1958724.852;2840821.016
DTO_Quequenha;-16.54287155;-71.49526159;-1958503.01;2841087.397
DTO_Quequenha;-16.54135827;-71.49318738;-1958351.635;2841342.372
DTO_Quequenha;-16.54180129;-71.49146902;-1958425.539;2841531.228
DTO_Quequenha;-16.54157709;-71.49100648;-1958405.087;2841586.594
DTO_Quequenha;-16.54108273;-71.49068683;-1958351.081;2841629.334
DTO_Quequenha;-16.53984727;-71.49029549;-1958210.93;2841689.972
