ident;lat;long;y_proj;x_proj
DTO_Sabandia; ; ;-1.516416327;20763369.87
DTO_Sabandia;-16.45692064;-71.4769192;-1948638.373;2844297.76
DTO_Sabandia;-16.45610996;-71.47672167;-1948545.628;2844330.806
DTO_Sabandia;-16.4556429;-71.47588543;-1948501.353;2844431.755
DTO_Sabandia;-16.45536143;-71.47415849;-1948490.175;2844631.255
DTO_Sabandia;-16.45532998;-71.47400577;-1948488.417;2844648.984
DTO_Sabandia;-16.45533012;-71.47388607;-1948489.95;2844662.555
DTO_Sabandia;-16.45529865;-71.47373318;-1948488.191;2844680.302
DTO_Sabandia;-16.45459759;-71.47269486;-1948418.984;2844807.242
DTO_Sabandia;-16.45456552;-71.47257035;-1948416.795;2844821.78
DTO_Sabandia;-16.45453336;-71.47250618;-1948413.83;2844829.478
DTO_Sabandia;-16.45411286;-71.4717889;-1948373.517;2844916.331
DTO_Sabandia;-16.45404784;-71.4716288;-1948367.907;2844935.339
DTO_Sabandia;-16.45404788;-71.47159841;-1948368.297;2844938.785
DTO_Sabandia;-16.45362246;-71.47081114;-1948328.294;2845033.639
DTO_Sabandia;-16.4535566;-71.47071047;-1948321.832;2845045.918
DTO_Sabandia;-16.45299292;-71.46952514;-1948270.63;2845187.725
DTO_Sabandia;-16.4528254;-71.46943835;-1948252.047;2845199.767
DTO_Sabandia;-16.45134389;-71.46691607;-1948109.954;2845505.232
DTO_Sabandia;-16.45125417;-71.46669722;-1948102.187;2845531.227
DTO_Sabandia;-16.45125421;-71.46665511;-1948102.726;2845536
DTO_Sabandia;-16.45025684;-71.46571151;-1947997.498;2845656.103
DTO_Sabandia;-16.45011948;-71.46565503;-1947982.074;2845664.311
DTO_Sabandia;-16.44886914;-71.46509803;-1947842.22;2845743.902
DTO_Sabandia;-16.44877547;-71.46508814;-1947831.338;2845746.254
DTO_Sabandia;-16.44763971;-71.46540201;-1947693.903;2845725.587
DTO_Sabandia;-16.44680788;-71.46632214;-1947584.494;2845632.18
DTO_Sabandia;-16.44680785;-71.46634894;-1947584.152;2845629.142
DTO_Sabandia;-16.44603677;-71.46794575;-1947473.304;2845458.204
DTO_Sabandia;-16.44556132;-71.46917366;-1947401.872;2845325.214
DTO_Sabandia;-16.44513742;-71.47011598;-1947340.12;2845223.93
DTO_Sabandia;-16.44510908;-71.47011533;-1947336.798;2845224.376
DTO_Sabandia;-16.44475907;-71.47086636;-1947286.153;2845143.812
DTO_Sabandia;-16.44428508;-71.47063703;-1947233.365;2845176.041
DTO_Sabandia;-16.44347496;-71.47036294;-1947141.65;2845217.761
DTO_Sabandia;-16.44341448;-71.47029895;-1947135.355;2845225.81
DTO_Sabandia;-16.4426521;-71.4698353;-1947051.651;2845288.397
DTO_Sabandia;-16.44252903;-71.46979914;-1947037.648;2845294.114
DTO_Sabandia;-16.44165914;-71.46966935;-1946937.08;2845320.254
DTO_Sabandia;-16.44153366;-71.46966413;-1946922.402;2845322.495
DTO_Sabandia;-16.43993979;-71.46918224;-1946741.227;2845398.068
DTO_Sabandia;-16.43990741;-71.46918077;-1946737.44;2845398.66
DTO_Sabandia;-16.43961634;-71.46791725;-1946719.251;2845545.761
DTO_Sabandia;-16.43955125;-71.46781729;-1946712.87;2845557.951
