ident;lat;long;y_proj;x_proj
DTO_Uchumayo; ; ;-1.516416327;20763369.87
DTO_Uchumayo;-16.45996334;-71.59660184;-1947483.484;2830693.159
DTO_Uchumayo;-16.46045921;-71.59662374;-1947541.431;2830684.207
DTO_Uchumayo;-16.46070334;-71.59641303;-1947572.748;2830704.894
DTO_Uchumayo;-16.46070816;-71.59607535;-1947577.567;2830743.091
DTO_Uchumayo;-16.46052191;-71.59592765;-1947557.559;2830762.256
DTO_Uchumayo;-16.45976321;-71.59591248;-1947468.667;2830773.877
DTO_Uchumayo;-16.45973039;-71.59534764;-1947471.928;2830838.302
DTO_Uchumayo;-16.45923472;-71.59526033;-1947414.828;2830854.663
DTO_Uchumayo;-16.45923108;-71.59420172;-1947427.734;2830974.653
DTO_Uchumayo;-16.45880128;-71.5939543;-1947380.385;2831008.295
DTO_Uchumayo;-16.45745747;-71.59359306;-1947227.149;2831066.765
DTO_Uchumayo;-16.45629066;-71.59522495;-1947069.597;2830897.093
DTO_Uchumayo;-16.45572988;-71.59610986;-1946992.61;2830804.146
DTO_Uchumayo;-16.45517666;-71.59711074;-1946915.053;2830697.962
DTO_Uchumayo;-16.45307087;-71.59902225;-1946643.74;2830508.852
DTO_Uchumayo;-16.45206697;-71.6002148;-1946510.859;2830386.825
DTO_Uchumayo;-16.45145321;-71.6022911;-1946412.665;2830159.579
DTO_Uchumayo;-16.45079062;-71.60401732;-1946313.15;2829972.633
DTO_Uchumayo;-16.45033778;-71.60503277;-1946247.205;2829863.485
DTO_Uchumayo;-16.4502908;-71.60542758;-1946236.722;2829819.365
DTO_Uchumayo;-16.45051409;-71.60636921;-1946251.093;2829709.766
DTO_Uchumayo;-16.45040857;-71.60712613;-1946229.181;2829625.382
DTO_Uchumayo;-16.44987331;-71.60786439;-1946157.051;2829548.714
DTO_Uchumayo;-16.44940473;-71.60826698;-1946096.972;2829509.209
DTO_Uchumayo;-16.44879172;-71.60937739;-1946011.034;2829391.388
DTO_Uchumayo;-16.44891169;-71.6102339;-1946014.347;2829292.782
DTO_Uchumayo;-16.44871337;-71.61103716;-1945980.96;2829204.358
DTO_Uchumayo;-16.44800828;-71.61164415;-1945890.546;2829144.775
DTO_Uchumayo;-16.4473384;-71.6123656;-1945802.826;2829071.763
DTO_Uchumayo;-16.44659345;-71.61301389;-1945707.214;2829008.019
DTO_Uchumayo;-16.44567064;-71.61359406;-1945591.577;2828954.308
DTO_Uchumayo;-16.44482249;-71.61386838;-1945488.551;2828934.276
DTO_Uchumayo;-16.44419786;-71.61416389;-1945411.501;2828908.932
DTO_Uchumayo;-16.44393802;-71.61481066;-1945372.865;2828839.037
DTO_Uchumayo;-16.44276867;-71.61549931;-1945226.923;2828776.243
DTO_Uchumayo;-16.44244344;-71.6157863;-1945185.133;2828747.962
DTO_Uchumayo;-16.44228553;-71.61661841;-1945156.135;2828655.74
DTO_Uchumayo;-16.44189253;-71.61774223;-1945095.873;2828533.528
DTO_Uchumayo;-16.44144374;-71.61827659;-1945036.469;2828478.829
DTO_Uchumayo;-16.44063772;-71.61899385;-1944932.828;2828408.058
DTO_Uchumayo;-16.44020141;-71.61968023;-1944872.98;2828335.972
DTO_Uchumayo;-16.43979493;-71.62026526;-1944817.908;2828274.98
