ident;lat;long;y_proj;x_proj
MR_Ampliacion_Paucarpata; ; ;-1.516416327;20763369.87
MR_Ampliacion_Paucarpata;-16.41543281;-71.51534752;-1943278.08;2840484.496
MR_Ampliacion_Paucarpata;-16.41602963;-71.51536243;-1943348.004;2840475
MR_Ampliacion_Paucarpata;-16.41752472;-71.51571717;-1943519.161;2840415.223
MR_Ampliacion_Paucarpata;-16.42035027;-71.5165799;-1943840.198;2840280.448
MR_Ampliacion_Paucarpata;-16.42243156;-71.51634039;-1944087.717;2840280.377
MR_Ampliacion_Paucarpata;-16.42406399;-71.51568603;-1944287.747;2840333.21
MR_Ampliacion_Paucarpata;-16.42505787;-71.51523639;-1944410.179;2840371.185
MR_Ampliacion_Paucarpata;-16.42690093;-71.51422797;-1944639.427;2840461.399
MR_Ampliacion_Paucarpata;-16.42787766;-71.51369541;-1944760.894;2840508.996
MR_Ampliacion_Paucarpata;-16.42881652;-71.51327528;-1944876.493;2840544.34
MR_Ampliacion_Paucarpata;-16.42920032;-71.51303267;-1944924.645;2840566.822
MR_Ampliacion_Paucarpata;-16.42934594;-71.512949;-1944942.809;2840574.402
MR_Ampliacion_Paucarpata;-16.43055025;-71.51234168;-1945091.957;2840627.493
MR_Ampliacion_Paucarpata;-16.43275536;-71.51077667;-1945370.777;2840776.055
MR_Ampliacion_Paucarpata;-16.43287599;-71.51066847;-1945386.315;2840786.743
MR_Ampliacion_Paucarpata;-16.43316959;-71.51052893;-1945422.57;2840798.719
MR_Ampliacion_Paucarpata;-16.43339809;-71.51055736;-1945449.054;2840792.503
MR_Ampliacion_Paucarpata;-16.4335899;-71.5105856;-1945471.23;2840786.789
MR_Ampliacion_Paucarpata;-16.43375073;-71.51055865;-1945490.464;2840787.738
MR_Ampliacion_Paucarpata;-16.43385844;-71.51051842;-1945503.626;2840790.89
MR_Ampliacion_Paucarpata;-16.433985;-71.51039284;-1945520.08;2840803.469
MR_Ampliacion_Paucarpata;-16.43406886;-71.510312;-1945530.953;2840811.537
MR_Ampliacion_Paucarpata;-16.43417595;-71.51014245;-1945545.676;2840829.356
