ident;lat;long;y_proj;x_proj
MR_Cerro_Colorado; ; ;-1.516416327;20763369.87
MR_Cerro_Colorado;-16.39312508;-71.56007025;-1940094.312;2835705.048
MR_Cerro_Colorado;-16.3935671;-71.55962642;-1940151.808;2835749.608
MR_Cerro_Colorado;-16.39271764;-71.55695265;-1940085.666;2836063.812
MR_Cerro_Colorado;-16.39248269;-71.55594991;-1940070.684;2836180.56
MR_Cerro_Colorado;-16.39206877;-71.5544979;-1940040.332;2836350.579
MR_Cerro_Colorado;-16.39166786;-71.55399124;-1939999.617;2836413.246
MR_Cerro_Colorado;-16.39144005;-71.55384224;-1939974.734;2836433.108
MR_Cerro_Colorado;-16.39105239;-71.55355847;-1939932.772;2836470.333
MR_Cerro_Colorado;-16.39089113;-71.55317141;-1939918.7;2836516.319
MR_Cerro_Colorado;-16.39082983;-71.55255871;-1939919.208;2836586.585
MR_Cerro_Colorado;-16.39084066;-71.5521034;-1939926.207;2836638.068
MR_Cerro_Colorado;-16.39096132;-71.55173557;-1939945.006;2836678.199
MR_Cerro_Colorado;-16.39106428;-71.55132518;-1939962.263;2836723.388
MR_Cerro_Colorado;-16.39015008;-71.55123534;-1939856.015;2836745.488
MR_Cerro_Colorado;-16.39001794;-71.55108269;-1939842.415;2836764.517
MR_Cerro_Colorado;-16.3898432;-71.55104945;-1939822.308;2836770.563
MR_Cerro_Colorado;-16.38968196;-71.55107384;-1939803.064;2836769.9
MR_Cerro_Colorado;-16.38941225;-71.55119415;-1939769.871;2836759.774
MR_Cerro_Colorado;-16.38882439;-71.55139099;-1939698.348;2836745.115
MR_Cerro_Colorado;-16.38863546;-71.55152372;-1939674.487;2836732.529
MR_Cerro_Colorado;-16.38829627;-71.55177515;-1939631.485;2836708.441
MR_Cerro_Colorado;-16.38807803;-71.55187129;-1939604.642;2836700.383
MR_Cerro_Colorado;-16.38799415;-71.55190012;-1939594.428;2836698.208
MR_Cerro_Colorado;-16.38729136;-71.55214407;-1939508.814;2836679.705
MR_Cerro_Colorado;-16.38716957;-71.55228616;-1939492.722;2836665.181
MR_Cerro_Colorado;-16.38693989;-71.55257786;-1939462.076;2836635.101
MR_Cerro_Colorado;-16.38677282;-71.55264486;-1939441.61;2836629.681
MR_Cerro_Colorado;-16.38665273;-71.55266847;-1939427.208;2836628.569
MR_Cerro_Colorado;-16.38621983;-71.55267855;-1939376.235;2836633.066
MR_Cerro_Colorado;-16.3861041;-71.55262046;-1939363.372;2836641.159
MR_Cerro_Colorado;-16.38580269;-71.5522877;-1939332.155;2836682.815
MR_Cerro_Colorado;-16.38568525;-71.55221785;-1939319.24;2836692.265
MR_Cerro_Colorado;-16.38558063;-71.55220428;-1939307.123;2836695.167
MR_Cerro_Colorado;-16.38482399;-71.55228858;-1939217.19;2836695.466
MR_Cerro_Colorado;-16.38469885;-71.55226901;-1939202.738;2836699.315
MR_Cerro_Colorado;-16.38450408;-71.5521952;-1939180.79;2836710.222
MR_Cerro_Colorado;-16.38433608;-71.55213883;-1939161.766;2836718.801
MR_Cerro_Colorado;-16.38350568;-71.5519946;-1939066.045;2836745.972
MR_Cerro_Colorado;-16.38338189;-71.55202292;-1939051.149;2836744.373
MR_Cerro_Colorado;-16.38321973;-71.55202906;-1939032.026;2836745.79
MR_Cerro_Colorado;-16.38296128;-71.55196859;-1939002.429;2836756.012
MR_Cerro_Colorado;-16.38279246;-71.55200146;-1938982.188;2836754.485
MR_Cerro_Colorado;-16.38246692;-71.55201555;-1938943.773;2836757.128
MR_Cerro_Colorado;-16.38180622;-71.55234041;-1938862.085;2836728.898
MR_Cerro_Colorado;-16.38143873;-71.55270989;-1938814.276;2836691.791
MR_Cerro_Colorado;-16.38131282;-71.55276378;-1938798.809;2836687.32
MR_Cerro_Colorado;-16.38083948;-71.55286827;-1938741.899;2836681.637
MR_Cerro_Colorado;-16.38056218;-71.55295562;-1938708.231;2836675.344
MR_Cerro_Colorado;-16.38042877;-71.55301168;-1938691.857;2836670.726
MR_Cerro_Colorado;-16.38012993;-71.55317055;-1938654.758;2836656.603
MR_Cerro_Colorado;-16.37945461;-71.5534401;-1938572.05;2836634.834
MR_Cerro_Colorado;-16.37912091;-71.55363495;-1938530.405;2836617.086
MR_Cerro_Colorado;-16.37832372;-71.55425129;-1938429.024;2836557.581
MR_Cerro_Colorado;-16.37795239;-71.55446457;-1938382.728;2836538.233
MR_Cerro_Colorado;-16.37778303;-71.55456846;-1938361.531;2836528.658
MR_Cerro_Colorado;-16.37748756;-71.55453421;-1938327.256;2836536.389
MR_Cerro_Colorado;-16.37710067;-71.55427179;-1938285.112;2836571.182
MR_Cerro_Colorado;-16.37527985;-71.55391732;-1938075.703;2836635.08
MR_Cerro_Colorado;-16.37483911;-71.55350448;-1938029.124;2836687.631
MR_Cerro_Colorado;-16.37373761;-71.55291983;-1937907.094;2836768.265
MR_Cerro_Colorado;-16.37330763;-71.55256902;-1937860.998;2836813.642
MR_Cerro_Colorado;-16.37300399;-71.55234507;-1937828.148;2836842.989
MR_Cerro_Colorado;-16.37208629;-71.55167535;-1937728.775;2836930.877
MR_Cerro_Colorado;-16.37200729;-71.55150926;-1937721.583;2836950.74
MR_Cerro_Colorado;-16.37135024;-71.5513644;-1937646.228;2836975.72
MR_Cerro_Colorado;-16.37119647;-71.55125603;-1937629.527;2836990.009
MR_Cerro_Colorado;-16.37058566;-71.5511765;-1937558.783;2837006.979
MR_Cerro_Colorado;-16.36940515;-71.55134989;-1937417.943;2837002.683
MR_Cerro_Colorado;-16.36891721;-71.55108788;-1937363.923;2837038.745
MR_Cerro_Colorado;-16.3684125;-71.55091764;-1937306.78;2837064.62
