ident;lat;long;y_proj;x_proj
MR_Pedregal; ; ;-1.516416327;20763369.87
MR_Pedregal;-16.45044032;-72.25603259;-1938220.14;2756236.287
MR_Pedregal;-16.43987192;-72.24093252;-1937166.723;2758073.849
MR_Pedregal;-16.4214038;-72.22812627;-1935161.097;2759751.885
MR_Pedregal;-16.39400359;-72.18339724;-1932496.954;2765148.529
MR_Pedregal;-16.38653888;-72.17494072;-1931725.852;2766197.821
MR_Pedregal;-16.35819209;-72.1832963;-1928306.629;2765609.592
MR_Pedregal;-16.35011058;-72.18568342;-1927331.81;2765441.165
MR_Pedregal;-16.34979348;-72.18550606;-1927296.842;2765465.184
MR_Pedregal;-16.35325903;-72.17969525;-1927772.828;2766078.417
MR_Pedregal;-16.33455398;-72.16799164;-1925724.999;2767635.743
MR_Pedregal;-16.32273463;-72.16578514;-1924368.102;2768033.3
MR_Pedregal;-16.32000234;-72.16890143;-1924010.553;2767715.255
MR_Pedregal;-16.29121324;-72.16024555;-1920744.937;2769054.248
MR_Pedregal;-16.27850708;-72.15845732;-1919278.982;2769415.369
MR_Pedregal;-16.2675236;-72.17078773;-1917844.315;2768158.283
MR_Pedregal;-16.27974445;-72.18286585;-1919129.271;2766639.999
MR_Pedregal;-16.28685035;-72.17500242;-1920055.97;2767440.3
MR_Pedregal;-16.31891748;-72.20246567;-1923477.993;2763934.969
MR_Pedregal;-16.32144976;-72.19987316;-1923805.675;2764196.321
MR_Pedregal;-16.32318921;-72.19675588;-1924046.91;2764526.891
MR_Pedregal;-16.33368999;-72.20949544;-1925122.057;2762955.79
MR_Pedregal;-16.33762675;-72.22144174;-1925438.548;2761556.604
MR_Pedregal;-16.34073653;-72.23242912;-1925669.874;2760276.243
MR_Pedregal;-16.33921449;-72.24674462;-1925319.145;2758677.821
MR_Pedregal;-16.35210514;-72.26347835;-1926625.725;2756626.499
MR_Pedregal;-16.36934354;-72.26612955;-1928610.57;2756111.802
MR_Pedregal;-16.40020638;-72.2759405;-1932102.759;2754618.083
MR_Pedregal;-16.42574356;-72.27253257;-1935131.3;2754683.229
MR_Pedregal;-16.42902723;-72.26408547;-1935617.597;2755595.784
MR_Pedregal;-16.44091086;-72.28165039;-1936795.262;2753463.848
MR_Pedregal;-16.44627176;-72.28104199;-1937429.697;2753465.334
MR_Pedregal;-16.45784433;-72.27661387;-1938836.962;2753820.034
