ident;lat;long;y_proj;x_proj
1.23.1-1; ; ;-1.516416327;20763369.87
1.23.1-1;-16.426692;-71.63344123;-1943114.233;2826952.581
1.23.1-1;-16.42653455;-71.63302641;-1943100.953;2827001.627
1.23.1-1;-16.42643736;-71.63309795;-1943088.647;2826994.786
1.23.1-1;-16.42626002;-71.63319664;-1943066.589;2826985.909
1.23.1-1;-16.42615392;-71.63333615;-1943052.385;2826971.481
1.23.1-1;-16.42636983;-71.63358764;-1943074.576;2826940.18
1.23.1-1;-16.42650752;-71.6334761;-1943092.139;2826951.029
1.23.1-2; ; ;-1.516416327;20763369.87
1.23.1-2;-16.42652507;-71.63439536;-1943082.668;2826846.648
1.23.1-2;-16.42649465;-71.63422661;-1943081.213;2826866.163
1.23.1-2;-16.42636174;-71.63429052;-1943064.808;2826860.649
1.23.1-2;-16.42621356;-71.634307;-1943047.207;2826860.707
1.23.1-2;-16.42622837;-71.63447688;-1943046.815;2826841.267
1.23.1-2;-16.42639712;-71.63447542;-1943066.642;2826839.239
1.23.1-3; ; ;-1.516416327;20763369.87
1.23.1-3;-16.42633947;-71.63467987;-1943057.31;2826816.824
1.23.1-3;-16.42653805;-71.63468091;-1943080.61;2826814.125
1.23.1-3;-16.42660201;-71.63444371;-1943091.094;2826840.17
1.23.1-3;-16.4264095;-71.63449616;-1943067.835;2826836.729
1.23.1-3;-16.42623478;-71.63449315;-1943047.362;2826839.34
1.23.1-3;-16.4262611;-71.63466519;-1943048.294;2826819.507
1.23.1-4; ; ;-1.516416327;20763369.87
1.23.1-4;-16.42597558;-71.63432786;-1943019.008;2826861.437
1.23.1-4;-16.42580201;-71.63436596;-1942998.153;2826859.377
1.23.1-4;-16.42592735;-71.6346119;-1943009.782;2826829.882
1.23.1-4;-16.42596931;-71.63473641;-1943013.147;2826815.229
1.23.1-4;-16.42626018;-71.63469922;-1943047.76;2826815.662
1.23.1-4;-16.42619334;-71.63430025;-1943044.917;2826861.735
1.23.1-5; ; ;-1.516416327;20763369.87
1.23.1-5;-16.42606658;-71.63385814;-1943035.582;2826913.474
1.23.1-5;-16.42601962;-71.63392914;-1943029.179;2826906.041
1.23.1-5;-16.42611306;-71.63411178;-1943037.857;2826884.132
1.23.1-5;-16.42622819;-71.63428113;-1943049.248;2826863.448
1.23.1-5;-16.42634662;-71.6342667;-1943063.333;2826863.545
1.23.1-5;-16.42642779;-71.63400991;-1943076.083;2826891.583
1.23.1-5;-16.42666005;-71.63380856;-1943105.875;2826911.378
1.23.1-5;-16.42642258;-71.63355828;-1943081.137;2826942.821
1.23.1-5;-16.4261465;-71.63378321;-1943045.905;2826920.926
1.23.1-5;-16.42607672;-71.63377958;-1943037.759;2826922.244
1.23.1-6; ; ;-1.516416327;20763369.87
1.23.1-6;-16.42568719;-71.63437146;-1942984.605;2826860.246
1.23.1-6;-16.42572553;-71.63441685;-1942988.537;2826854.604
1.23.1-6;-16.42581394;-71.63434693;-1942999.792;2826861.377
1.23.1-6;-16.42597934;-71.63429014;-1943019.922;2826865.661
1.23.1-6;-16.42621187;-71.63428798;-1943047.247;2826862.885
1.23.1-6;-16.42610496;-71.63412634;-1943036.724;2826882.588
1.23.1-6;-16.42599392;-71.63391473;-1943026.343;2826908.006
1.23.1-6;-16.42587033;-71.63396083;-1943011.256;2826904.39
1.23.1-6;-16.42579492;-71.63399792;-1943001.937;2826901.168
1.23.1-6;-16.42570261;-71.63407822;-1942990.094;2826893.27
1.23.1-6;-16.42557573;-71.63414632;-1942974.344;2826887.203
1.23.1-6;-16.42562768;-71.63429258;-1942978.608;2826869.956
1.23.1-7; ; ;-1.516416327;20763369.87
1.23.1-7;-16.42560286;-71.6345303;-1942972.713;2826843.345
1.23.1-7;-16.42572218;-71.63442761;-1942988.008;2826853.429
1.23.1-7;-16.42561115;-71.63431094;-1942976.437;2826868.091
1.23.1-7;-16.42555025;-71.63415483;-1942971.247;2826886.569
1.23.1-7;-16.42530642;-71.63433963;-1942940.304;2826868.8
1.23.1-8; ; ;-1.516416327;20763369.87
1.23.1-8;-16.42595181;-71.63474771;-1943010.951;2826814.177
