ident;lat;long;y_proj;x_proj
Polygon_Cluster03_zone02; ; ;-1.516416327;20763369.87
Polygon_Cluster03_zone02;-16.43052452;-71.53265475;-1944832.434;2838324.95
Polygon_Cluster03_zone02;-16.4300335;-71.53525076;-1944741.999;2838037.082
Polygon_Cluster03_zone02;-16.42974416;-71.53668367;-1944689.934;2837878.427
Polygon_Cluster03_zone02;-16.42700734;-71.53938146;-1944334.442;2837608.375
Polygon_Cluster03_zone02;-16.42663842;-71.53970289;-1944287.055;2837576.759
Polygon_Cluster03_zone02;-16.42641744;-71.53968831;-1944261.284;2837581.299
Polygon_Cluster03_zone02;-16.42614392;-71.53951017;-1944231.404;2837605.068
Polygon_Cluster03_zone02;-16.42583118;-71.53908564;-1944200.025;2837657.281
Polygon_Cluster03_zone02;-16.42472548;-71.53960969;-1944063.543;2837612.322
Polygon_Cluster03_zone02;-16.42377443;-71.53979985;-1943949.437;2837603.191
Polygon_Cluster03_zone02;-16.42320132;-71.54156637;-1943859.846;2837410.421
Polygon_Cluster03_zone02;-16.42332917;-71.54179155;-1943872.023;2837383.224
Polygon_Cluster03_zone02;-16.42338257;-71.54208361;-1943874.614;2837349.418
Polygon_Cluster03_zone02;-16.42348605;-71.54219104;-1943885.413;2837335.888
Polygon_Cluster03_zone02;-16.42382087;-71.54235621;-1943922.657;2837312.789
Polygon_Cluster03_zone02;-16.4239526;-71.5424312;-1943937.184;2837302.568
Polygon_Cluster03_zone02;-16.42400735;-71.54253584;-1943942.295;2837289.99
Polygon_Cluster03_zone02;-16.42399134;-71.54264979;-1943938.977;2837277.282
Polygon_Cluster03_zone02;-16.42394534;-71.54284852;-1943931.069;2837255.355
Polygon_Cluster03_zone02;-16.42394364;-71.54303764;-1943928.486;2837233.938
Polygon_Cluster03_zone02;-16.42403075;-71.54322935;-1943936.3;2837211.068
Polygon_Cluster03_zone02;-16.42420837;-71.5435049;-1943953.688;2837177.51
Polygon_Cluster03_zone02;-16.42444373;-71.54384071;-1943977.098;2837136.368
Polygon_Cluster03_zone02;-16.42467169;-71.54401825;-1944001.635;2837113.264
Polygon_Cluster03_zone02;-16.42490676;-71.54416711;-1944027.368;2837093.319
Polygon_Cluster03_zone02;-16.42538077;-71.54439103;-1944080.219;2837061.743
Polygon_Cluster03_zone02;-16.42569028;-71.54467296;-1944113.017;2837025.741
Polygon_Cluster03_zone02;-16.42601161;-71.54507556;-1944145.683;2836975.905
Polygon_Cluster03_zone02;-16.42625618;-71.54537034;-1944170.692;2836939.294
Polygon_Cluster03_zone02;-16.42641903;-71.54562467;-1944186.613;2836908.336
Polygon_Cluster03_zone02;-16.42663641;-71.54595349;-1944207.999;2836868.223
Polygon_Cluster03_zone02;-16.42696983;-71.54629108;-1944242.903;2836825.599
Polygon_Cluster03_zone02;-16.42722645;-71.54664379;-1944268.597;2836782.264
Polygon_Cluster03_zone02;-16.42746447;-71.54701752;-1944291.841;2836736.79
Polygon_Cluster03_zone02;-16.42778637;-71.54746176;-1944324.048;2836682.228
Polygon_Cluster03_zone02;-16.42787022;-71.54749013;-1944333.538;2836677.917
Polygon_Cluster03_zone02;-16.42793135;-71.54747581;-1944340.899;2836678.742
Polygon_Cluster03_zone02;-16.43028993;-71.54557782;-1944641.851;2836863.074
Polygon_Cluster03_zone02;-16.43061748;-71.54524861;-1944684.474;2836896.11
Polygon_Cluster03_zone02;-16.43081128;-71.54493097;-1944711.243;2836929.584
Polygon_Cluster03_zone02;-16.43085758;-71.54471888;-1944719.355;2836953.021
Polygon_Cluster03_zone02;-16.43083688;-71.54452722;-1944719.341;2836975.017
Polygon_Cluster03_zone02;-16.43077271;-71.54384065;-1944720.463;2837053.682
Polygon_Cluster03_zone02;-16.43145891;-71.54180866;-1944826.689;2837275.052
Polygon_Cluster03_zone02;-16.4305461;-71.54018449;-1944739.964;2837471.094
Polygon_Cluster03_zone02;-16.42995874;-71.53918892;-1944683.533;2837591.628
Polygon_Cluster03_zone02;-16.43145478;-71.53825835;-1944870.993;2837677.56
Polygon_Cluster03_zone02;-16.43136374;-71.53797188;-1944863.914;2837711.223
Polygon_Cluster03_zone02;-16.43117593;-71.53764846;-1944845.935;2837750.341
Polygon_Cluster03_zone02;-16.4310072;-71.53750385;-1944827.941;2837768.94
Polygon_Cluster03_zone02;-16.43060678;-71.53723704;-1944784.275;2837804.42
Polygon_Cluster03_zone02;-16.43032707;-71.53705719;-1944753.69;2837828.465
Polygon_Cluster03_zone02;-16.43009745;-71.53672818;-1944730.87;2837868.764
Polygon_Cluster03_zone02;-16.43000182;-71.53636888;-1944724.17;2837910.744
Polygon_Cluster03_zone02;-16.42997674;-71.53621602;-1944723.153;2837928.4
Polygon_Cluster03_zone02;-16.43057415;-71.53308273;-1944832.863;2838275.785
Polygon_Cluster03_zone02;-16.43545432;-71.53408836;-1945393.395;2838097.965
Polygon_Cluster03_zone02;-16.43540583;-71.5337688;-1945391.733;2838134.825
Polygon_Cluster03_zone02;-16.43465741;-71.5314059;-1945333.65;2838412.47
Polygon_Cluster03_zone02;-16.43526647;-71.5311635;-1945408.252;2838431.982
Polygon_Cluster03_zone02;-16.4355265;-71.53091678;-1945441.91;2838456.549
Polygon_Cluster03_zone02;-16.43628511;-71.53027913;-1945539.067;2838518.908
Polygon_Cluster03_zone02;-16.43729185;-71.52797691;-1945686.392;2838766.717
Polygon_Cluster03_zone02;-16.43753528;-71.52735663;-1945722.818;2838833.847
Polygon_Cluster03_zone02;-16.4385676;-71.52784986;-1945837.849;2838764.426
Polygon_Cluster03_zone02;-16.4385317;-71.52826057;-1945828.445;2838718.338
Polygon_Cluster03_zone02;-16.43975577;-71.52788576;-1945976.961;2838744.808
Polygon_Cluster03_zone02;-16.43959916;-71.52715679;-1945967.772;2838829.493
Polygon_Cluster03_zone02;-16.44031964;-71.52596421;-1946067.465;2838955.254
Polygon_Cluster03_zone02;-16.4403848;-71.52571462;-1946078.273;2838982.694
Polygon_Cluster03_zone02;-16.4421997;-71.525182;-1946298.186;2839019.316
Polygon_Cluster03_zone02;-16.4433077;-71.52281882;-1946458.195;2839272.698
Polygon_Cluster03_zone02;-16.44313957;-71.51908247;-1946485.66;2839698.455
Polygon_Cluster03_zone02;-16.44380252;-71.51795009;-1946577.847;2839818.142
Polygon_Cluster03_zone02;-16.44681229;-71.51874035;-1946921.411;2839689.134
Polygon_Cluster03_zone02;-16.44738312;-71.51888008;-1946986.699;2839665.818
Polygon_Cluster03_zone02;-16.44771236;-71.51849855;-1947030.197;2839704.755
Polygon_Cluster03_zone02;-16.4480254;-71.51738395;-1947081.059;2839827.004
Polygon_Cluster03_zone02;-16.45087826;-71.51606686;-1947432.835;2839938.928
Polygon_Cluster03_zone02;-16.45110478;-71.51570756;-1947463.988;2839976.689
Polygon_Cluster03_zone02;-16.45083075;-71.51466893;-1947444.932;2840098.018
Polygon_Cluster03_zone02;-16.45080925;-71.51412738;-1947449.255;2840159.69
Polygon_Cluster03_zone02;-16.45129186;-71.51404403;-1947507.002;2840162.813
Polygon_Cluster03_zone02;-16.45266307;-71.51450159;-1947662.29;2840092.973
Polygon_Cluster03_zone02;-16.45438847;-71.51458501;-1947863.917;2840060.902
Polygon_Cluster03_zone02;-16.45460279;-71.51422114;-1947893.696;2840099.34
Polygon_Cluster03_zone02;-16.45262935;-71.5119579;-1947690.504;2840381.765
Polygon_Cluster03_zone02;-16.45214349;-71.51079317;-1947648.162;2840520.168
Polygon_Cluster03_zone02;-16.45156776;-71.51023356;-1947587.609;2840591.153
Polygon_Cluster03_zone02;-16.45069887;-71.51119715;-1947473.35;2840493.308
Polygon_Cluster03_zone02;-16.44829426;-71.51236757;-1947176.073;2840392.143
Polygon_Cluster03_zone02;-16.44708591;-71.51294943;-1947026.768;2840342.016
Polygon_Cluster03_zone02;-16.44588074;-71.51322587;-1946881.699;2840326.47
Polygon_Cluster03_zone02;-16.44580242;-71.51162026;-1946892.801;2840509.514
Polygon_Cluster03_zone02;-16.44542953;-71.51051916;-1946862.921;2840639.227
Polygon_Cluster03_zone02;-16.44516365;-71.5091737;-1946848.702;2840795.242
Polygon_Cluster03_zone02;-16.44511908;-71.50787729;-1946859.862;2840942.796
Polygon_Cluster03_zone02;-16.44469293;-71.50609891;-1946832.293;2841149.994
Polygon_Cluster03_zone02;-16.44446639;-71.50574665;-1946810.136;2841192.899
Polygon_Cluster03_zone02;-16.44361431;-71.50598269;-1946707.051;2841177.307
Polygon_Cluster03_zone02;-16.44300208;-71.50658667;-1946627.489;2841116.857
Polygon_Cluster03_zone02;-16.4427636;-71.50761786;-1946586.432;2841003.076
Polygon_Cluster03_zone02;-16.44269174;-71.50854181;-1946566.307;2840899.27
Polygon_Cluster03_zone02;-16.44283545;-71.51179039;-1946542.113;2840529.102
Polygon_Cluster03_zone02;-16.44250271;-71.51372229;-1946478.601;2840314.448
Polygon_Cluster03_zone02;-16.44179174;-71.5162709;-1946362.867;2840034.836
Polygon_Cluster03_zone02;-16.44206874;-71.51790476;-1946374.756;2839845.987
Polygon_Cluster03_zone02;-16.44175989;-71.5180349;-1946336.831;2839835.278
