ident;lat;long;y_proj;x_proj
Dia 3 y 4; ; ;-1.516416327;20763369.87
Dia 3 y 4;-16.33717121;-71.54196109;-1933749.525;2838486.764
Dia 3 y 4;-16.33760399;-71.54244885;-1933794.242;2838425.813
Dia 3 y 4;-16.33808586;-71.54263195;-1933848.548;2838398.781
Dia 3 y 4;-16.33882565;-71.54313882;-1933929.089;2838331.672
Dia 3 y 4;-16.33990209;-71.54396152;-1934045.21;2838224.367
Dia 3 y 4;-16.34060822;-71.54484924;-1934117.016;2838114.5
Dia 3 y 4;-16.34082438;-71.54475892;-1934143.54;2838121.934
Dia 3 y 4;-16.34097228;-71.54477685;-1934160.69;2838117.978
Dia 3 y 4;-16.34114505;-71.54481686;-1934180.482;2838111.194
Dia 3 y 4;-16.34147686;-71.54508802;-1934216.055;2838076.125
Dia 3 y 4;-16.34273412;-71.54620663;-1934349.7;2837932.908
Dia 3 y 4;-16.34366134;-71.54665613;-1934452.974;2837869.872
Dia 3 y 4;-16.34441206;-71.54406061;-1934573.742;2838154.494
Dia 3 y 4;-16.34585219;-71.54441666;-1934738.439;2838095.384
Dia 3 y 4;-16.34745117;-71.54526367;-1934915.631;2837978.525
Dia 3 y 4;-16.3479435;-71.54479749;-1934979.316;2838024.996
Dia 3 y 4;-16.34819967;-71.54485577;-1935008.676;2838015.054
Dia 3 y 4;-16.34863037;-71.54467017;-1935061.599;2838030.502
Dia 3 y 4;-16.34903336;-71.54463877;-1935109.33;2838028.822
Dia 3 y 4;-16.3504667;-71.54479017;-1935275.798;2837993.009
Dia 3 y 4;-16.35304535;-71.54538716;-1935571.203;2837891.761
Dia 3 y 4;-16.35339542;-71.54576305;-1935607.603;2837844.576
Dia 3 y 4;-16.35367662;-71.54620614;-1935635.069;2837790.667
Dia 3 y 4;-16.35407261;-71.5464193;-1935678.907;2837761.341
Dia 3 y 4;-16.35492464;-71.54688135;-1935773.185;2837697.856
Dia 3 y 4;-16.35538282;-71.54739277;-1935820.582;2837633.896
Dia 3 y 4;-16.35623974;-71.54747139;-1935920.251;2837613.832
Dia 3 y 4;-16.35650477;-71.54788548;-1935946.182;2837563.423
Dia 3 y 4;-16.3574356;-71.54804649;-1936053.496;2837533.055
Dia 3 y 4;-16.35747255;-71.54853897;-1936051.651;2837476.722
Dia 3 y 4;-16.3601683;-71.54862327;-1936367.24;2837432.09
Dia 3 y 4;-16.36095826;-71.54840889;-1936462.723;2837446.123
Dia 3 y 4;-16.36115297;-71.5481971;-1936488.255;2837467.607
Dia 3 y 4;-16.36108166;-71.54804478;-1936481.791;2837485.809
Dia 3 y 4;-16.36100994;-71.54784993;-1936475.816;2837508.839
Dia 3 y 4;-16.3609812;-71.5477342;-1936473.893;2837522.337
Dia 3 y 4;-16.36103211;-71.54755782;-1936482.09;2837541.677
Dia 3 y 4;-16.36128179;-71.54753589;-1936511.693;2837540.915
Dia 3 y 4;-16.36210833;-71.54766487;-1936607.159;2837515.533
Dia 3 y 4;-16.36305206;-71.54753804;-1936719.605;2837517.634
Dia 3 y 4;-16.36414704;-71.54814989;-1936840.536;2837433.998
Dia 3 y 4;-16.36466217;-71.54845581;-1936897.2;2837392.602
Dia 3 y 4;-16.36502141;-71.548906;-1936933.739;2837336.874
Dia 3 y 4;-16.36562113;-71.54888069;-1937004.501;2837331.938
Dia 3 y 4;-16.36613772;-71.54841705;-1937071.007;2837377.792
Dia 3 y 4;-16.36621266;-71.5481836;-1937082.743;2837403.29
Dia 3 y 4;-16.36652259;-71.54668747;-1937137.949;2837568.919
Dia 3 y 4;-16.3670447;-71.54387523;-1937234.623;2837881.035
Dia 3 y 4;-16.3661917;-71.54141107;-1937165.402;2838171.588
Dia 3 y 4;-16.36524878;-71.54079664;-1937062.365;2838253.545
Dia 3 y 4;-16.36413114;-71.54007924;-1936940.098;2838349.456
Dia 3 y 4;-16.36355447;-71.54007692;-1936872.387;2838357.227
Dia 3 y 4;-16.3629511;-71.539817;-1936804.778;2838394.56
Dia 3 y 4;-16.36260181;-71.5396605;-1936765.716;2838416.856
Dia 3 y 4;-16.3616066;-71.53979541;-1936647.116;2838414.513
Dia 3 y 4;-16.36077294;-71.53994438;-1936547.315;2838408.471
Dia 3 y 4;-16.35989408;-71.54020048;-1936440.86;2838390.868
Dia 3 y 4;-16.35917598;-71.54028549;-1936355.438;2838390.574
Dia 3 y 4;-16.35872378;-71.54032118;-1936301.871;2838392.413
Dia 3 y 4;-16.35749817;-71.54051156;-1936155.509;2838386.773
Dia 3 y 4;-16.35649741;-71.54047695;-1936038.388;2838403.723
Dia 3 y 4;-16.35536985;-71.54065348;-1935903.717;2838398.377
Dia 3 y 4;-16.35315125;-71.54069449;-1935642.587;2838422.596
Dia 3 y 4;-16.35154764;-71.54041345;-1935457.745;2838475.336
Dia 3 y 4;-16.34851849;-71.54000392;-1935107.058;2838561.193
Dia 3 y 4;-16.34723904;-71.53996214;-1934957.288;2838582.574
Dia 3 y 4;-16.34375709;-71.53977925;-1934550.559;2838648.607
Dia 3 y 4;-16.34302704;-71.53944904;-1934468.947;2838695.555
Dia 3 y 4;-16.34160255;-71.53894995;-1934307.878;2838770.689
Dia 3 y 4;-16.34063643;-71.53883784;-1934195.795;2838795.969
Dia 3 y 4;-16.33732461;-71.53876557;-1933807.658;2838847.227
Dia 3 y 4;-16.33487489;-71.53909705;-1933515.723;2838841.475
Dia 3 y 4;-16.33549784;-71.53937038;-1933585.472;2838802.373
Dia 3 y 4;-16.33510091;-71.5406957;-1933522.209;2838657.204
