type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Equipo 1, , ,-1.516416327,20763369.87, , , , , , , , , , 
TRACK,Equipo 1,-16.38160876,-71.53909541,-1939005.49,2838233.332,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38158432,-71.53900576,-1939003.749,2838243.816,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.3815473,-71.53888126,-1939000.966,2838258.416,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38151702,-71.53880165,-1938998.411,2838267.838,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38143522,-71.53869939,-1938990.089,2838280.5,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38136024,-71.53865318,-1938981.863,2838286.718,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38125046,-71.53863589,-1938969.185,2838290.109,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.381159,-71.53856759,-1938959.301,2838299.046,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38117184,-71.53848122,-1938961.897,2838308.673,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38091735,-71.53862191,-1938930.233,2838296.037,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.38042362,-71.53880526,-1938869.93,2838281.681,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37984322,-71.53872271,-1938802.791,2838298.606,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37904138,-71.53872072,-1938708.628,2838309.283,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37802972,-71.53876625,-1938589.221,2838317.305,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37657972,-71.53881267,-1938418.312,2838330.936,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37633236,-71.53880537,-1938389.347,2838334.987,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37623488,-71.53879934,-1938377.972,2838336.942,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37617866,-71.53879563,-1938371.415,2838338.095,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37612351,-71.53875626,-1938365.433,2838343.278,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37607699,-71.53871507,-1938360.486,2838348.554,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37602704,-71.53868358,-1938355.014,2838352.776,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37599146,-71.53863991,-1938351.385,2838358.193,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37594206,-71.53853564,-1938346.893,2838370.661,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37589434,-71.53838189,-1938343.222,2838388.717,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.3755844,-71.53761907,-1938316.41,2838479.26,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37544722,-71.53724876,-1938304.956,2838523.041,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37536791,-71.53702473,-1938298.457,2838549.48,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37527554,-71.53685684,-1938289.719,2838569.723,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37518393,-71.53672168,-1938280.658,2838586.243,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37507365,-71.53660428,-1938269.18,2838600.994,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37497897,-71.53652939,-1938259.001,2838610.721,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37489616,-71.5364705,-1938250.015,2838618.478,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.3747509,-71.53640125,-1938233.822,2838628.224,False, , ,0, , , , , , 
TRACK,Equipo 1,-16.37461332,-71.53637858,-1938217.947,2838632.587,False, , ,0, , , , , , 
