type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;Polígono sin título; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39324968;-71.52747536;-1940519.228;2839399.146;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39264967;-71.52744669;-1940449.106;2839410.228;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39219036;-71.52744987;-1940395.11;2839415.861;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39208427;-71.52748293;-1940382.232;2839413.498;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39101879;-71.52575581;-1940278.828;2839623.251;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.3908338;-71.52594268;-1940254.742;2839604.475;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39071446;-71.52611345;-1940238.572;2839586.668;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39055378;-71.52631013;-1940217.218;2839566.462;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39023996;-71.52648774;-1940178.116;2839550.418;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39068317;-71.52742316;-1940218.396;2839438.56;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39084871;-71.52765092;-1940234.973;2839410.573;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39096393;-71.52787655;-1940245.666;2839383.485;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39114745;-71.52775488;-1940268.757;2839394.886;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39114713;-71.52788136;-1940267.126;2839380.547;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.3911642;-71.5282813;-1940264.093;2839334.973;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39127237;-71.52877981;-1940270.519;2839277.034;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39128537;-71.52938625;-1940264.408;2839208.098;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.3912995;-71.52954556;-1940264.061;2839189.849;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39132272;-71.52974472;-1940264.28;2839166.961;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.3913894;-71.52996266;-1940269.368;2839141.378;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39149099;-71.53018606;-1940278.488;2839114.721;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39163195;-71.53043763;-1940291.877;2839084.355;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39175014;-71.53063088;-1940303.327;2839060.899;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39271994;-71.53057551;-1940417.945;2839054.524;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39344649;-71.5305372;-1940503.775;2839049.386;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39355061;-71.53055869;-1940515.735;2839045.591;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39428196;-71.53080289;-1940598.568;2839008.356;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39540194;-71.53114269;-1940725.849;2838955.21;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39557668;-71.53060405;-1940753.161;2839014.005;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39568716;-71.5303713;-1940769.072;2839038.956;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39583595;-71.53021411;-1940788.53;2839054.838;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39598723;-71.53001087;-1940808.861;2839075.908;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39617154;-71.5298287;-1940832.807;2839094.159;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39629399;-71.52968228;-1940849.036;2839109.163;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39634389;-71.52956265;-1940856.405;2839122.077;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39635154;-71.52931182;-1940860.464;2839150.419;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39631788;-71.52829733;-1940869.293;2839265.892;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39526772;-71.52704675;-1940761.689;2839421.405;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39458696;-71.52638613;-1940690.043;2839505.202;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39328289;-71.52780783;-1940518.94;2839361.012;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;Polígono sin título;-16.4022222;-71.515228;-1941727.659;2840670.748;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.40122249;-71.51387214;-1941627.318;2840837.561;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.400974;-71.51364739;-1941600.96;2840866.294;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39977168;-71.5122977;-1941476.738;2841035.059;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39959826;-71.51191193;-1941461.232;2841081.071;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39869721;-71.51117148;-1941364.717;2841176.813;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39790894;-71.51098588;-1941274.452;2841208.16;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39708393;-71.51069556;-1941181.191;2841251.864;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39596686;-71.50982736;-1941060.907;2841364.918;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39553329;-71.51131675;-1940991.185;2841201.682;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39534599;-71.51191311;-1940961.66;2841136.5;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39523967;-71.51245271;-1940942.365;2841076.698;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39417857;-71.51401406;-1940798.018;2840913.5;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39441543;-71.51418801;-1940823.65;2840890.679;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39379916;-71.51509201;-1940739.853;2840796.214;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39495605;-71.5159172;-1940865.358;2840687.525;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39615143;-71.51675482;-1940995.227;2840576.926;False; ; ;0; ; ; ; ; ; 
TRACK;Polígono sin título;-16.39728279;-71.51752817;-1941118.385;2840474.452;False; ; ;0; ; ; ; ; ; 
