type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1. Monte Olimpo, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1. Monte Olimpo,-16.39092527096321,-71.49629413461012,-1940639.33211456,2842965.60765188,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39093206314558,-71.49691216981158,-1940632.33075435,2842895.42413053,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.390862176498,-71.49787159862177,-1940612.01263252,2842787.52416659,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39093108810156,-71.49901684360292,-1940605.65802123,2842656.7362474,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39126818467096,-71.49972977650286,-1940636.2676899,2842571.47373784,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.3915826817822,-71.50009298330816,-1940668.63485517,2842526.17056085,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39191179254099,-71.50026382539232,-1940705.14606483,2842502.49306929,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39203571550345,-71.5001560886864,-1940721.065013,2842513.09190463,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39217043426682,-71.49913810330084,-1940749.73818036,2842626.78324962,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39268415436391,-71.49880100050044,-1940814.34877806,2842658.29937301,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39279137662742,-71.49891956984004,-1940825.45001763,2842643.45040714,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39276194061566,-71.5002524794773,-1940805.17198325,2842492.66707927,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39264627866402,-71.50030207099047,-1940790.95726922,2842488.55473081,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39264635195142,-71.50046968017028,-1940788.85097563,2842469.54492791,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39244697462657,-71.50045347909256,-1940765.6308594,2842473.98849259,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39254496092928,-71.50097795434968,-1940770.52541855,2842413.22609416,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39257987430971,-71.50148623757765,-1940768.21410587,2842355.12471236,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39268847144483,-71.50182789313081,-1940776.66221293,2842314.95780099,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39259447202545,-71.50175185060799,-1940766.57788053,2842324.81047846,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39235304736935,-71.50140815721203,-1940742.54985183,2842366.94469925,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39242286046447,-71.50126490128886,-1940752.55953851,2842382.27902748,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39230862697029,-71.50115396942877,-1940740.53813088,2842396.3530952,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39233933297,-71.50099818395425,-1940746.11132196,2842413.61960564,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39227893744999,-71.50095876976205,-1940739.51286741,2842418.87906118,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39229034504186,-71.50088863738735,-1940741.7380162,2842426.68378006,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39221400085431,-71.50083945513678,-1940733.38902501,2842433.25952043,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39214971828341,-71.50114453306962,-1940721.98731489,2842399.50035175,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39208720074084,-71.50141982938057,-1940711.16881954,2842369.095718,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.3919669803311,-71.50144519176318,-1940696.72437821,2842367.79066587,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39179827905042,-71.50136958821976,-1940677.85788469,2842378.56997187,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39150658145531,-71.50175112628587,-1940638.77324759,2842339.11159626,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39229204292726,-71.5027162133602,-1940718.87931032,2842219.39423896,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.3926828189645,-71.50237308268507,-1940769.11953614,2842253.20141438,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39274781407077,-71.50241674174474,-1940776.20479557,2842247.40052195,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39396327935297,-71.50236816724878,-1940919.61912414,2842237.0223276,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39417904959736,-71.50224544250973,-1940946.51782246,2842248.12006331,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39435619057431,-71.50204743512168,-1940969.82803456,2842268.26044103,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39366150727335,-71.5004964195066,-1940907.7825209,2842453.24227342,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39430451743012,-71.49850289326204,-1941008.48656835,2842670.92435623,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39392343443561,-71.49828824118939,-1940966.422286,2842700.2508432,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39344623076573,-71.4980523682131,-1940913.33250698,2842733.24077644,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39333407442491,-71.49790879870449,-1940901.9671469,2842750.9897202,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39304771384722,-71.49764892822023,-1940871.60223787,2842784.20629835,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39241581630213,-71.4971429458531,-1940803.74591484,2842849.85298284,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39215680415673,-71.49674604738033,-1940778.32332995,2842898.25322325,False, , ,0, , , , , , 
TRACK,1. Monte Olimpo,-16.39174622602093,-71.49633711837127,-1940735.24484871,2842949.99969436,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,2. Bustamante Parte Baja,-16.3973495594568,-71.50929255739807,-1941230.09505061,2841407.49667271,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39643776106199,-71.50832069062288,-1941135.23488372,2841529.62538975,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39688755060121,-71.5080354723822,-1941191.67543962,2841556.09193081,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39793800712341,-71.50733419734965,-1941323.93340391,2841621.88963312,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39778875157146,-71.50696505450033,-1941311.05574392,2841665.70258146,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39759486678999,-71.50640793370783,-1941295.30661436,2841731.41649428,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39752431802302,-71.5062345464637,-1941289.2059179,2841752.00148691,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39744526700865,-71.50605049924322,-1941282.24084707,2841773.90653638,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39738659616075,-71.5059708666321,-1941276.35270102,2841783.70413068,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39720837931684,-71.50597448409995,-1941255.3694206,2841785.6233751,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39700417673435,-71.5060061421042,-1941230.97943904,2841784.70231644,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39680955360725,-71.50603704406572,-1941207.72443259,2841783.7417467,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39648498934625,-71.50611955110146,-1941168.55233292,2841778.62724141,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.3959458949916,-71.50631598209598,-1941102.73911075,2841763.39691447,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39583908309818,-71.50604550360646,-1941093.60278114,2841795.46669821,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39585646645682,-71.50592086234576,-1941097.21754895,2841809.37453292,False, , ,0, , , , , , 
TRACK,2. Bustamante Parte Baja,-16.39584234168856,-71.50577477773132,-1941097.40115328,2841826.12599061,False, , ,0, , , , , , 
