type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;Pampas de Cuzco 1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44661876;-71.56359284;-1946332.432;2834607.847;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44653605;-71.56374319;-1946320.824;2834591.888;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44640125;-71.56362078;-1946306.536;2834607.523;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44618989;-71.56345663;-1946283.783;2834628.887;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44599993;-71.56329102;-1946263.563;2834650.138;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44567842;-71.56299837;-1946229.496;2834687.505;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44498071;-71.5624256;-1946154.778;2834761.534;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44485362;-71.56257845;-1946137.926;2834745.872;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44390237;-71.56300994;-1946020.773;2834709.397;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44380182;-71.56322113;-1946006.302;2834686.776;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44407039;-71.56353325;-1946033.908;2834647.894;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.4444465;-71.56369645;-1946076.02;2834624.484;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44470448;-71.56380648;-1946104.93;2834608.644;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44487316;-71.56394558;-1946122.986;2834590.676;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44497244;-71.56412731;-1946132.353;2834568.784;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44496095;-71.56444814;-1946126.959;2834532.573;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44497361;-71.56463994;-1946126.028;2834510.671;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44462916;-71.56485121;-1946082.913;2834491.227;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44448509;-71.56468659;-1946068.069;2834511.766;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.4439428;-71.56452171;-1946006.463;2834537.536;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44389111;-71.5646301;-1945999.026;2834525.927;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44404133;-71.56506581;-1946011.175;2834474.585;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44422216;-71.56527327;-1946029.796;2834448.711;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44451056;-71.56532641;-1946062.995;2834438.921;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44445642;-71.56546242;-1946054.922;2834424.214;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44431733;-71.56561082;-1946036.717;2834409.212;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44401083;-71.56554684;-1946001.529;2834420.468;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44383712;-71.56555435;-1945981.034;2834421.885;False; ; ;0; ; ; ; ; ; 
TRACK;Pampas de Cuzco 1;-16.44371852;-71.56574966;-1945964.645;2834401.299;False; ; ;0; ; ; ; ; ; 
