type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;19. Villa confratenidad zona C III; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34371776;-71.52606017;-1934718.281;2840205.234;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34372058;-71.5261337;-1934717.688;2840196.858;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34416647;-71.5261984;-1934769.259;2840183.715;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.3447019;-71.52630428;-1934830.829;2840164.736;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34622011;-71.52654544;-1935006.156;2840117.618;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34646281;-71.52466909;-1935058.253;2840327.293;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34634146;-71.52462792;-1935044.514;2840333.543;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.3461806;-71.5244544;-1935027.797;2840355.32;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34589275;-71.52410737;-1934998.342;2840398.432;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34574171;-71.52396632;-1934982.371;2840416.397;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34558367;-71.52386339;-1934965.099;2840430.13;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34531839;-71.52371928;-1934935.745;2840449.93;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34501925;-71.52357224;-1934902.45;2840470.504;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34478219;-71.52350165;-1934875.487;2840481.597;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34454513;-71.5234546;-1934848.229;2840490.02;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34409533;-71.52344578;-1934795.496;2840496.876;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34397397;-71.52344872;-1934781.203;2840498.122;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.3438244;-71.52340461;-1934764.185;2840505.073;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34370305;-71.52338403;-1934750.187;2840508.988;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34348575;-71.5233105;-1934725.582;2840520.156;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34290295;-71.52336639;-1934656.412;2840521.403;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34226797;-71.5234605;-1934580.631;2840518.993;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34158137;-71.52361344;-1934498.047;2840510.581;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34158138;-71.52376931;-1934496.088;2840492.9;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34163217;-71.52388401;-1934500.615;2840479.229;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34173377;-71.52399576;-1934511.146;2840465.23;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.3420187;-71.52423985;-1934541.552;2840433.832;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34231502;-71.5244516;-1934573.703;2840405.957;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34262263;-71.52461335;-1934607.808;2840383.605;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34313964;-71.52487615;-1934665.244;2840347.065;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34387057;-71.52505261;-1934748.896;2840317.535;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34389597;-71.52509084;-1934751.399;2840312.868;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34389879;-71.52525553;-1934749.661;2840294.15;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.3439129;-71.52537023;-1934749.877;2840280.956;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.3438875;-71.52548493;-1934745.452;2840268.276;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34385364;-71.52579961;-1934737.519;2840233.022;False; ; ;0; ; ; ; ; ; 
TRACK;19. Villa confratenidad zona C III;-16.34371776;-71.52582784;-1934721.201;2840231.588;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34626539;-71.52835955;-1934988.676;2839911.257;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34622306;-71.52917943;-1934973.4;2839818.811;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34654458;-71.52944373;-1935007.849;2839784.647;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34673071;-71.52947008;-1935029.385;2839779.236;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34691685;-71.52930249;-1935053.358;2839795.823;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34711144;-71.52916135;-1935077.991;2839809.299;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34740753;-71.52899372;-1935114.881;2839824.459;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34764438;-71.52886139;-1935144.369;2839836.385;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34799118;-71.52882597;-1935185.556;2839835.889;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.348228;-71.52893163;-1935212.048;2839820.822;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34861704;-71.52893145;-1935257.754;2839815.778;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34903142;-71.52882549;-1935307.765;2839822.402;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34906525;-71.52883429;-1935311.628;2839820.964;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.3495895;-71.52864018;-1935375.656;2839836.156;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34974169;-71.52844624;-1935395.972;2839856.173;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35000379;-71.52812009;-1935430.863;2839889.755;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35027433;-71.52789088;-1935465.525;2839912.231;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35058711;-71.52758237;-1935506.149;2839943.152;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35086607;-71.52737081;-1935541.579;2839963.516;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35113655;-71.52733549;-1935573.798;2839964;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35136476;-71.52729137;-1935601.162;2839966.033;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35180424;-71.52719433;-1935654.011;2839971.318;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35202396;-71.52712379;-1935680.711;2839976.458;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35209157;-71.52683304;-1935692.308;2840008.556;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35209157;-71.52663922;-1935694.745;2840030.54;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.35051104;-71.52639284;-1935512.165;2840079.065;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34689155;-71.52581179;-1935094.257;2840192.095;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34693385;-71.52554735;-1935102.551;2840221.541;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34651083;-71.52470115;-1935063.491;2840323.032;False; ; ;0; ; ; ; ; ; 
TRACK;18. Villa confratenidad zona C I;-16.34602001;-71.52818334;-1934962.064;2839934.438;False; ; ;0; ; ; ; ; ; 
