type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;2. Los Andes hasta Av. Leticia; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38276623;-71.51549258;-1939438.664;2840894.847;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38232863;-71.51481342;-1939395.813;2840977.582;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38196709;-71.51422757;-1939360.72;2841048.743;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38138385;-71.51389577;-1939296.382;2841093.987;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38092832;-71.51374106;-1939244.815;2841117.479;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38058886;-71.51388728;-1939203.092;2841105.326;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.3802747;-71.51433465;-1939160.548;2841058.689;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.37982826;-71.51439911;-1939107.287;2841057.206;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.3792613;-71.51394167;-1939046.443;2841116.484;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.37883769;-71.51344273;-1939002.963;2841178.6;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.37847924;-71.51426369;-1938950.508;2841090.17;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.3787184;-71.51485684;-1938971.132;2841019.778;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.37825305;-71.51519792;-1938912.165;2840987.168;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.37883786;-71.51619012;-1938968.37;2840867.009;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.37961777;-71.51756064;-1939042.729;2840701.4;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.37998621;-71.51836591;-1939075.868;2840605.266;False; ; ;0; ; ; ; ; ; 
TRACK;2. Los Andes hasta Av. Leticia;-16.38066749;-71.51796549;-1939160.948;2840641.787;False; ; ;0; ; ; ; ; ; 
