n_microred;microred;cluster;code_point;name_point;lat;long;y_proj;x_proj;type_point;strategy
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_001;INTERSECCION CALLE JORGE CHAVEZ CON AV. SALAVERRY;-16.43100144;-71.53644799;-1944840.586;2837888.708;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_002;INTERSSECION CALLE SANCHEZ TRUJILLO CON AV. SALAVERRY;-16.43232506;-71.53679274;-1944991.706;2837832.321;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_003;EL MIRADOR DE SALAVERRY AV. SALAVERRY CON FERNANDINI;-16.43388889;-71.53744012;-1945167.221;2837738.488;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_004;INTERSECCION CALLE FERNANDINI CON CALLE SANCHEZ TRUJILLO;-16.43371932;-71.53891113;-1945128.743;2837573.957;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_005;INTERSECCION SANCHEZ CERRO CON AV. SALAVERRY (PARQUE);-16.43494561;-71.53819323;-1945281.837;2837639.301;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_006;INTERSECCION CALLE SANCHEZ TRUJILLO CON CALLE MIGUEL GRAU;-16.43631658;-71.53984894;-1945421.972;2837433.693;Mobile;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_007;CANCHA MARISCAL CASTILLA;-16.43619647;-71.53851588;-1945424.687;2837586.372;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_008;PUESTO DE SALUD SALAVERRY/ AV. LAS PENHAS;-16.43505514;-71.53647338;-1945316.406;2837832.826;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_009;EL PORVENIR INTERSECCION CONDESUYOS CON CALLE CAMANA;-16.43613692;-71.5352886;-1945458.423;2837952.982;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_010;CAPILLA SANTISIMA VIRGEN DE CHAPI;-16.43725457;-71.53711899;-1945566.597;2837730.879;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_011;INTERSECCION CALLE CHICLAYO CON CALLE ABANCAY;-16.4358963;-71.53202841;-1945471.313;2838325.697;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_012;INTERSECCION CALLE LOS ALAMOS CON CALLE LOS GERANIOS;-16.43849013;-71.53414921;-1945749.21;2838051.358;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_013;CAMPO DEPORTIVO LA BOMBONERA (CALLE CAMANA CON CHACHAPOYAS);-16.43978384;-71.53397881;-1945903.319;2838053.75;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_014;CENTRO DE SALUD SAN MARTIN DE SOCABAYA;-16.43900824;-71.5301407;-1945860.678;2838498.973;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_015;PARQUE DE LA FAMILIA (CALLE CHIMBOTE);-16.4397393;-71.53093638;-1945936.502;2838399.211;Mobile;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_016;INTERSECCION CALLE MOLLENDO CON CALLE NAZCA;-16.44143;-71.53379427;-1946099.005;2838053.133;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_017;INTERSECCION CALLE TALARA CON CALLE ZARUMILLA;-16.44366663;-71.53557357;-1946339.247;2837822.181;Mobile;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_018;VILLA OLIMPICA SAN MARTIN DE SOCABAYA;-16.44317757;-71.531945;-1946327.624;2838239.887;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_019;VENTA DE GAS (CALLE HUANCAYO);-16.44171714;-71.52796692;-1946206.324;2838709.938;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_020;CALLE LIRCAY CON CALLE HUACHO;-16.44337774;-71.52658446;-1946418.845;2838844.913;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_021;TREBOL DE SANTA CLARA;-16.44471943;-71.52618064;-1946581.546;2838873.125;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_022;ESQ. AGUSTIN GAMARRA/ GARCILAZO DE LA VEGA;-16.44588548;-71.52686028;-1946709.926;2838780.818;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_023;PARQUE ALTO ALIANZA;-16.44533996;-71.52415758;-1946679.997;2839094.329;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_024;PARQUE CHAVEZ CASTILLO;-16.44391831;-71.52295049;-1946528.256;2839249.776;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_025;COLEGIO BELGICA;-16.44420625;-71.52154088;-1946579.892;2839405.798;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_026;PARQUE COMITE 7;-16.44423227;-71.51936752;-1946610.415;2839651.831;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_027;PARQUE CORAZON DE JESUS 1;-16.44548028;-71.52231358;-1946719.782;2839301.522;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_028;PARQUE LA UNION;-16.44712531;-71.51991252;-1946943.364;2839552.158;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_029;PARQUE CORAZON DE JESUS;-16.44666369;-71.52299534;-1946850.175;2839208.742;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_030;PARQUE JESUS NAZARENO;-16.44874932;-71.5223203;-1947103.695;2839257.947;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_031;EL ENSUENHO;-16.45096208;-71.52233955;-1947363.373;2839226.782;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_032;RESIDENCIAL EL GOLF;-16.451885;-71.52445752;-1947445.01;2838974.613;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_033;COLEGIO VILLA EL GOLF;-16.45138038;-71.52435739;-1947387.002;2838992.573;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_034;ESQ. LAS AMERICAS CON ARGENTINA;-16.44976368;-71.52434583;-1947197.245;2839015.058;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_035;PARQUE NUMERO 5;-16.44822744;-71.52324192;-1947030.744;2839160.312;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_036;PARQUE NUMERO 3 - CORAZON DE JESUS;-16.4471574;-71.52437216;-1946890.769;2839046.206;Fixed;Propuesto
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_037;AV. PERU CON CALLE SANCHEZ CARRION;-16.44789988;-71.52535132;-1946965.609;2838925.49;Fixed;Establecido
5;SAN MARTIN DE SOCABAYA;1;CL01_PP_038;PARQUE INDEPENDENCIA;-16.44899063;-71.52628272;-1947081.962;2838805.629;Fixed;Establecido
