ident;lat;long;y_proj;x_proj
CL03_PP_001;-16.45381419;-71.51413768;-1947802.115;2840119.138
CL03_PP_002;-16.45291156;-71.51282327;-1947712.708;2840279.968
CL03_PP_003;-16.45146929;-71.51048255;-1947572.892;2840564.218
CL03_PP_004;-16.45119416;-71.50936183;-1947554.749;2840694.871
CL03_PP_005;-16.45095024;-71.5121971;-1947490.231;2840376.659
CL03_PP_006;-16.44998906;-71.51238336;-1947374.964;2840368.142
CL03_PP_007;-16.44948471;-71.51350874;-1947301.485;2840247.177
CL03_PP_008;-16.44861152;-71.51390386;-1947193.913;2840213.828
CL03_PP_009;-16.44763715;-71.51429745;-1947074.477;2840181.978
CL03_PP_010;-16.44809172;-71.51582632;-1947108.544;2840002.707
CL03_PP_011;-16.44766031;-71.51752347;-1947036.41;2839815.97
CL03_PP_012;-16.44727121;-71.51632715;-1947005.827;2839956.684
CL03_PP_013;-16.44708325;-71.51539459;-1946995.538;2840064.863
CL03_PP_014;-16.44640499;-71.51383515;-1946935.58;2840250.53
CL03_PP_015;-16.44526644;-71.51620786;-1946771.836;2839996.47
CL03_PP_016;-16.44484333;-71.51541691;-1946732.133;2840091.676
CL03_PP_017;-16.44470445;-71.5129649;-1946746.818;2840371.466
CL03_PP_018;-16.44484595;-71.51227237;-1946772.197;2840448.121
CL03_PP_019;-16.44385955;-71.50726651;-1946719.623;2841028.547
CL03_PP_020;-16.44199394;-71.50572692;-1946519.929;2841227.54
CL03_PP_021;-16.44123848;-71.50528939;-1946436.713;2841287.043
CL03_PP_022;-16.44333672;-71.51369292;-1946576.944;2840306.852
CL03_PP_023;-16.44346;-71.51444054;-1946581.975;2840220.483
CL03_PP_024;-16.44229615;-71.51598795;-1946425.697;2840060.306
CL03_PP_025;-16.43964689;-71.51024255;-1946187.11;2840746.35
CL03_PP_026;-16.43702884;-71.50741416;-1945915.31;2841101.308
CL03_PP_027;-16.43482071;-71.50972169;-1945626.739;2840868.617
CL03_PP_028;-16.44216198;-71.51931452;-1946367.892;2839684.951
CL03_PP_029;-16.44254925;-71.52021507;-1946402.004;2839577.791
CL03_PP_030;-16.44187815;-71.52130761;-1946309.365;2839462.727
CL03_PP_031;-16.44148344;-71.52111395;-1946265.447;2839489.849
CL03_PP_032;-16.44072909;-71.52135454;-1946173.797;2839472.451
CL03_PP_033;-16.43996435;-71.52212818;-1946074.19;2839394.761
CL03_PP_034;-16.44114115;-71.52256944;-1946206.85;2839329.333
CL03_PP_035;-16.44072083;-71.52395249;-1946140.004;2839178.052
CL03_PP_036;-16.44150829;-71.52471433;-1946222.878;2839081.381
