"ident","lat","long","y_proj","x_proj"
"CL36_PP_001","-16.34269860569122","-72.19902404511159","-1926302.91783086","2764026.41034538"
"CL36_PP_002","-16.34996100000001","-72.2073408","-1927052.3453205","2762995.67094589"
"CL36_PP_003","-16.34592155439074","-72.19410460185637","-1926739.62005781","2764541.9845756"
"CL36_PP_004","-16.35092349999999","-72.19122729999999","-1927359.86945439","2764804.47046111"
"CL36_PP_005","-16.35469545472869","-72.18989274577818","-1927817.50260677","2764908.00486834"
"CL36_PP_006","-16.35758814487686","-72.19150881709544","-1928136.51142935","2764689.12022277"
"CL36_PP_007","-16.36195625359993","-72.19068458592976","-1928657.7422459","2764727.48817021"
"CL36_PP_008","-16.3648131","-72.1944171","-1928946.92035796","2764269.90114266"
"CL36_PP_009","-16.37871803635777","-72.1988008756921","-1930521.22562356","2763600.17187852"
"CL36_PP_010","-16.3867794458174","-72.20177606649777","-1931428.63458549","2763162.881196"
"CL36_PP_011","-16.3850511","-72.17706459999999","-1931525.94121433","2765976.54140647"
"CL36_PP_012","-16.38964490000001","-72.1817928","-1932006.2649437","2765384.58334771"
"CL36_PP_013","-16.42252930212394","-72.23570393753425","-1935200.97267151","2758882.0128607"
"CL36_PP_014","-16.42474579942442","-72.25255736245704","-1935256.21947917","2756951.10134041"
"CL36_PP_015","-16.44514536068505","-72.26899603450033","-1937443.70915287","2754839.27494584"
"CL36_PP_016","-16.38252350092453","-72.21445509969294","-1930777.03363434","2761783.90034449"
"CL36_PP_017","-16.38422105972091","-72.19983492641742","-1931152.73860759","2763414.29089835"
"CL36_PP_018","-16.3770497478496","-72.19885805878518","-1930325.28564147","2763614.64196819"
"CL36_PP_019","-16.37447250503925","-72.19733314912102","-1930042.12527795","2763819.26472233"
"CL36_PP_020","-16.36842840206867","-72.19435196739855","-1929370.84053025","2764231.92018323"
"CL36_PP_021","-16.36413385737052","-72.19231591636812","-1928892.86089631","2764515.84306183"
"CL36_PP_022","-16.35873956569333","-72.18921144193372","-1928299.08703243","2764934.2911389"
"CL36_PP_023","-16.35724047291034","-72.18938819925145","-1928121.48803731","2764933.11376073"
"CL36_PP_024","-16.34973887150564","-72.18798402563658","-1927260.46077514","2765185.83304662"
"CL36_PP_025","-16.33791533432959","-72.20128297739249","-1925715.78415332","2763831.0077496"
"CL36_PP_026","-16.39090567467072","-72.18393554566812","-1932127.83611711","2765126.64544639"
"CL36_PP_027","-16.35290774613157","-72.1879384908232","-1927631.91419533","2765151.25766088"
"CL36_PP_028","-16.34841246480562","-72.19069668399506","-1927072.3884927","2764895.90089035"
"CL36_PP_029","-16.34644912928404","-72.19875996505876","-1926745.06979853","2764009.2893479"
"CL36_PP_030","-16.35310489137628","-72.20986058600302","-1927389.82251564","2762671.58567308"
"CL36_PP_031","-16.37960452605788","-72.22548405059193","-1930302.01486381","2760574.57933901"
"CL36_PP_032","-16.38331440666948","-72.20106683134833","-1931031.70678946","2763286.49205044"
"CL36_PP_033","-16.38230644882727","-72.2002833074081","-1930923.23416146","2763387.66091839"
"CL36_PP_034","-16.3802148010829","-72.19855876020729","-1930699.3313248","2763608.74568231"
