n_microred;microred;cluster;point_name;code_point;lat;long;y_proj;x_proj;type_point;estratategy
7;VICTOR RAUL HINOJOSA;3; Virgen De Chapi;CL03_PP_001;-16.453814;-71.514138;-1947802.088;2840119.104;Fixed;Establecido 
7;VICTOR RAUL HINOJOSA;3; Parque_Las_Esmeraldas;CL03_PP_002;-16.452912;-71.512823;-1947712.764;2840279.993;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Fundo_La_Rinconada;CL03_PP_003;-16.451469;-71.510483;-1947572.852;2840564.171;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Sol Y Luna - Copacabana (Movil);CL03_PP_004;-16.451194;-71.509362;-1947554.728;2840694.854;Mobile;Establecido 
7;VICTOR RAUL HINOJOSA;3; Buena Vista;CL03_PP_005;-16.45095;-71.512197;-1947490.204;2840376.673;Fixed;Establecido 
7;VICTOR RAUL HINOJOSA;3; Centro De Salud La Esmeralda;CL03_PP_006;-16.449989;-71.512383;-1947374.961;2840368.183;Fixed;Establecido 
7;VICTOR RAUL HINOJOSA;3; Ie_Juan_Pablo_II;CL03_PP_007;-16.449485;-71.513509;-1947301.515;2840247.144;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque_Santa_Monica;CL03_PP_008;-16.448612;-71.513904;-1947193.968;2840213.806;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Santa Monica;CL03_PP_009;-16.447637;-71.514297;-1947074.465;2840182.031;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Parque_Ricardo_Palma;CL03_PP_010;-16.448092;-71.515826;-1947108.581;2840002.74;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Losa_Deportiva_San_Agustin;CL03_PP_011;-16.44766;-71.517523;-1947036.379;2839816.028;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; La Brenha;CL03_PP_012;-16.447271;-71.516327;-1947005.804;2839956.703;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Cancha_De_Ricardo_Palma;CL03_PP_013;-16.447083;-71.515395;-1946995.503;2840064.819;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque_Virgen_De_Copacabana;CL03_PP_014;-16.446405;-71.513835;-1946935.583;2840250.547;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Capilla_San_Miguelito;CL03_PP_015;-16.445266;-71.516208;-1946771.783;2839996.459;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; C.S Victor Raul Hinojoza;CL03_PP_016;-16.444843;-71.515417;-1946732.093;2840091.671;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Estadio_Simon_Bolivar;CL03_PP_017;-16.444704;-71.512965;-1946746.764;2840371.46;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parroquia_San_Miguel_Simon_Bolivar;CL03_PP_018;-16.444846;-71.512272;-1946772.208;2840448.162;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque Tupac Amaru (Terminal De Combis);CL03_PP_019;-16.44386;-71.507267;-1946719.67;2841028.485;Mobile;Establecido
7;VICTOR RAUL HINOJOSA;3; Quinta Santa Lurdes;CL03_PP_020;-16.441994;-71.505727;-1946519.936;2841227.529;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Losa_Deportiva_Colon;CL03_PP_021;-16.441238;-71.505289;-1946436.662;2841287.094;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Comisaria_Simon_Bolivar;CL03_PP_022;-16.443337;-71.513693;-1946576.976;2840306.839;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque Simon Bolivar;CL03_PP_023;-16.44346;-71.514441;-1946581.969;2840220.431;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Urb El Tejar;CL03_PP_024;-16.442296;-71.515988;-1946425.678;2840060.303;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Colegio_De_Arquitectos;CL03_PP_025;-16.439647;-71.510243;-1946187.117;2840746.298;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Colegio_Particular_St_Andrew;CL03_PP_026;-16.437029;-71.507414;-1945915.331;2841101.324;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Colegio_Alfred_Binet;CL03_PP_027;-16.434821;-71.509722;-1945626.768;2840868.577;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque 3 De Octubre;CL03_PP_028;-16.442162;-71.519315;-1946367.889;2839684.896;Mobile;Establecido
7;VICTOR RAUL HINOJOSA;3; Campo_Deportivo_3_De_Octubre;CL03_PP_029;-16.442549;-71.520215;-1946401.975;2839577.803;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque_De_Comite 5;CL03_PP_030;-16.441878;-71.521308;-1946309.343;2839462.684;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque_De_Tasahuayo;CL03_PP_031;-16.441483;-71.521114;-1946265.395;2839489.848;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque Los Francos-Amauta;CL03_PP_032;-16.440729;-71.521355;-1946173.78;2839472.4;Fixed;Establecido 
7;VICTOR RAUL HINOJOSA;3; Parque_Urbanizacion_Amauta;CL03_PP_033;-16.439964;-71.522128;-1946074.152;2839394.786;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque_Amauta;CL03_PP_034;-16.441141;-71.522569;-1946206.838;2839329.385;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque_La_Oroya;CL03_PP_035;-16.440721;-71.523952;-1946140.03;2839178.105;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Colegio_Benito_De_Palermo;CL03_PP_036;-16.441508;-71.524714;-1946222.848;2839081.422;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Parque_Tupac_Amaru;CL03_PP_037;-16.44052;-71.524944;-1946103.888;2839068.282;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Tasahuayo;CL03_PP_038;-16.439717;-71.524589;-1946014.048;2839119.036;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Losa_Deportiva_Bartolome_Herrera;CL03_PP_039;-16.439843;-71.525926;-1946011.96;2838965.824;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Urb Bartolome Herrera;CL03_PP_040;-16.439473;-71.526309;-1945963.661;2838927.249;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Parque_Bartolome_Herrera;CL03_PP_041;-16.438848;-71.527163;-1945879.46;2838838.619;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Piscina Municipal;CL03_PP_042;-16.438073;-71.524433;-1945822.906;2839158.238;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Parque_Dolores;CL03_PP_043;-16.438384;-71.521865;-1945891.877;2839445.284;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Cancha_Canigol;CL03_PP_044;-16.438309;-71.519574;-1945912.011;2839705.984;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Urb Los Huertos;CL03_PP_045;-16.437264;-71.519623;-1945788.637;2839714.11;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Parque La Florida;CL03_PP_046;-16.435633;-71.516969;-1945630.576;2840036.34;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Parque Mi Peru;CL03_PP_047;-16.433567;-71.514993;-1945412.846;2840287.408;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Urb Alas Del Sur;CL03_PP_048;-16.43319;-71.511935;-1945407.199;2840639.038;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Estadio_Jlbyr;CL03_PP_049;-16.432972;-71.510814;-1945395.755;2840768.986;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Iglesia_Alborada_Senhor_Del_Gran_Poder;CL03_PP_050;-16.432395;-71.513634;-1945292.339;2840456.825;Fixed;Propuesto
7;VICTOR RAUL HINOJOSA;3; Av Alborada;CL03_PP_051;-16.431248;-71.513558;-1945158.557;2840480.457;Fixed;Establecido
7;VICTOR RAUL HINOJOSA;3; Parque_Urb_Santa_Ursula;CL03_PP_052;-16.430702;-71.515409;-1945071.032;2840277.749;Fixed;Propuesto
