n_microred;microred;cluster;code_point;point_name;lat;long;y_proj;x_proj;type_point;estratategy
20;MARITZA CAMPOS;25;CL25_PP_001; Punto 1 (Referencial);-16.336993;-71.586826;-1933166.201;2833400.863;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_002; Parque_Villa_San_Juan;-16.3361;-71.585943;-1933072.381;2833512.572;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_003; Punto 2 (Referencial);-16.336592;-71.583949;-1933155.127;2833732.311;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_004; Punto 3 (Referencial);-16.334079;-71.58722;-1932819.049;2833393.962;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_005; Punto 4 (Referencial);-16.333397;-71.585341;-1932762.474;2833615.882;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_006; Punto 5 (Referencial);-16.33475;-71.582125;-1932961.636;2833963.04;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_007; Losa_Deportiva_Las_Canteras_B;-16.332996;-71.580929;-1932770.615;2834121.414;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_008; Punto 6 (Referencial);-16.333297;-71.579369;-1932825.499;2834294.422;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_009; Punto 7 (Referencial);-16.331559;-71.579939;-1932614.242;2834252.319;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_010; Punto 8 (Referencial);-16.330805;-71.580999;-1932512.417;2834141.884;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_011; Punto 9 (Referencial);-16.331497;-71.583077;-1932567.674;2833897.257;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_012; Punto 10 (Referencial);-16.330877;-71.585844;-1932460.226;2833591.507;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_013; Punto 11 (Referencial);-16.327943;-71.585747;-1932116.865;2833640.534;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_014; Colegio_Jesucristo_Salvador_40688;-16.329442;-71.583351;-1932322.898;2833892.824;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_015; Punto 12 (Referencial);-16.328883;-71.58233;-1932270.027;2834015.858;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_016; Punto 13 (Referencial);-16.328882;-71.579562;-1932304.559;2834329.782;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_017; Punto 14 (Referencial);-16.329439;-71.578138;-1932387.805;2834484.054;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_018; Losa_Deportiva_F_Garcia_Calderon_II;-16.327368;-71.577807;-1932148.716;2834548.444;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_019; IEP_Stephen_William;-16.326152;-71.578598;-1931995.998;2834474.501;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_020; Punto 15 (Referencial);-16.325011;-71.577895;-1931870.79;2834569.02;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_021; Punto 16 (Referencial);-16.326423;-71.575327;-1932068.776;2834841.957;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_022; Parque_Villa_Magistral_IV;-16.325573;-71.572361;-1932006.081;2835189.365;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_023; Punto 17 (Referencial);-16.324702;-71.572233;-1931905.384;2835215.177;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_024; Punto 18 (Referencial);-16.323716;-71.574107;-1931766.114;2835015.42;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_025; Punto 19 (Referencial);-16.322906;-71.575953;-1931647.87;2834816.556;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_026; Punto 20 (Referencial);-16.323337;-71.579795;-1931650.403;2834375.235;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_027; Punto 21 (Referencial);-16.326409;-71.583832;-1931960.672;2833877.586;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_028; Parque_Mercado_Mayorista_B;-16.325671;-71.583198;-1931881.933;2833959.051;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_029; Punto 22 (Referencial);-16.323614;-71.585143;-1931616.014;2833765.127;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_030; Losa_Deportiva_Sor_Ana_De_Los_Angeles_I;-16.323752;-71.582829;-1931661.174;2834025.768;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_031; Punto 23 (Referencial);-16.323199;-71.582149;-1931604.736;2834110.053;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_032; IE_Sor_Ana_De_Los_Angeles_De_Monteagudo;-16.322294;-71.583689;-1931479.18;2833947.127;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_033; Iglesia_Comunidad_Cristiana;-16.320436;-71.582688;-1931273.491;2834084.725;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_034; Punto 24 (Referencial);-16.31915;-71.582047;-1931130.475;2834174.084;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_035; Punto 25 (Referencial);-16.320258;-71.580847;-1931275.62;2834295.825;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_036; Punto 26 (Referencial);-16.320528;-71.57723;-1931352.593;2834702.547;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_037; Punto 27 (Referencial);-16.318682;-71.579477;-1931107.665;2834471.623;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_038; Punto 28 (Referencial);-16.317809;-71.58347;-1930955.18;2834030.068;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_039; Punto 29 (Referencial);-16.31693;-71.585108;-1930831.458;2833855.681;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_040; Punto 30 (Referencial);-16.315787;-71.582833;-1930725.672;2834128.504;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_041; Punto 31 (Referencial);-16.315696;-71.580348;-1930746.069;2834411.523;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_042; Punto 32 (Referencial);-16.313755;-71.581429;-1930504.582;2834314.06;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_043; Punto 33 (Referencial);-16.310767;-71.581044;-1930158.464;2834396.424;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_044; Punto 34 (Referencial);-16.310383;-71.579222;-1930136.15;2834608.051;Fixed;Establecido
20;MARITZA CAMPOS;25;CL25_PP_045; Cancha_De_Tierra_Pedro_Huilca_Tecse_III;-16.308145;-71.579454;-1929870.397;2834610.719;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_046; Losa_Deportiva;-16.308838;-71.573455;-1930026.824;2835282.182;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_047; Loza Deportiva;-16.329567;-71.585654;-1932308.755;2833630.033;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_048; Loza Deportiva Villa Las Canteras;-16.335747;-71.583614;-1933060.083;2833781.257;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_049; Loza Deportiva;-16.322392;-71.574554;-1931605.013;2834981.888;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_050;Estadio Mercado Mayorista;-16.33229239;-71.58624234;-1932621.465;2833527.988;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_051;Paradero De Vehiculos Asoc. Pedro Huillca Tecsen;-16.31046865;-71.58045917;-1930130.737;2834466.62;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_052;CIAI Talentosos Sor Ana Cunamas;-16.32260041;-71.58365849;-1931515.547;2833946.617;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_053;Estadio Pedro Huillca Tecsen;-16.31116189;-71.58051482;-1930211.461;2834451.33;Fixed;Propuesto
20;MARITZA CAMPOS;25;CL25_PP_054;Colegio Villa Las Canteras;-16.33428127;-71.58130039;-1932916.912;2834062.632;Fixed;Propuesto
