"n_microred	";microred;cluster;point_name;code_point;lat;long;y_proj;x_proj;type_point;estratategy
8;TIABAYA;29; Losa_Deportiva_Micaela_Bastidas;CL29_PP_001;-16.429509;-71.601152;-1943850.442;2830574.637;Mobile;Propuesto
8;TIABAYA;29; Parque_Pampas_Nuevas;CL29_PP_002;-16.432418;-71.600191;-1944204.086;2830645.644;Mobile;Propuesto
8;TIABAYA;29; Parroquia_La_Encarnacion;CL29_PP_003;-16.43388;-71.598509;-1944396.898;2830817.198;Mobile;Propuesto
8;TIABAYA;29; IEI_Jesus_Ninio;CL29_PP_004;-16.436596;-71.598459;-1944716.431;2830787.472;Mobile;Propuesto
8;TIABAYA;29; Losa_Deportiva_San_Jose;CL29_PP_005;-16.438199;-71.59551;-1944941.744;2831100.749;Mobile;Propuesto
8;TIABAYA;29; Plaza_San_Jose;CL29_PP_006;-16.43827;-71.597445;-1944925.74;2830880.557;Mobile;Propuesto
8;TIABAYA;29; Parque_San_Jose;CL29_PP_007;-16.438844;-71.599188;-1944971.213;2830675.568;Mobile;Propuesto
8;TIABAYA;29; Centro_Civico_Alto_San_Jose;CL29_PP_008;-16.439821;-71.598062;-1945100.092;2830790.425;Mobile;Propuesto
8;TIABAYA;29; Complejo_Deportivo_Alto_San_Jose;CL29_PP_009;-16.440758;-71.598006;-1945210.815;2830784.557;Mobile;Propuesto
8;TIABAYA;29; Paradero_Santa_Teresa;CL29_PP_010;-16.442576;-71.597111;-1945435.538;2830862.272;Mobile;Propuesto
8;TIABAYA;29; Losa_Deportiva_Santa_Teresa;CL29_PP_011;-16.442617;-71.599411;-1945411.416;2830601.12;Mobile;Propuesto
8;TIABAYA;29; Juan_Pablo_II;CL29_PP_012;-16.440719;-71.600707;-1945172.26;2830479.008;Mobile;Propuesto
8;TIABAYA;29; Parque_Infantil_Divino_Ninio_Patasagua_Alto;CL29_PP_013;-16.442371;-71.60131;-1945358.643;2830389.15;Mobile;Propuesto
8;TIABAYA;29; Complejo_De_Patasagua;CL29_PP_014;-16.441668;-71.604011;-1945242.131;2830092.263;Mobile;Propuesto
8;TIABAYA;29; Alto_Tunales;CL29_PP_015;-16.439804;-71.605405;-1945005.746;2829958.599;Mobile;Propuesto
8;TIABAYA;29; IE_Senhor_De_Locumba;CL29_PP_016;-16.44175;-71.611386;-1945159.028;2829255.559;Mobile;Propuesto
8;TIABAYA;29; Colegio_Patasagua;CL29_PP_017;-16.445207;-71.601703;-1945686.684;2830307.652;Mobile;Propuesto
