n_microred;microred;cluster;point_name;code_point;lat;long;y_proj;x_proj;type_point;estratategy;;;;;;;
4;PEDREGAL;33; Losa_Deportiva_Modulo_D_II;CL33_PP_001;-16.323888;-72.193346;-1924169.891;2764903.549;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Module D (Movil);CL33_PP_002;-16.320711;-72.192245;-1923811.334;2765067.736;Mobile;Establecido; ; ; ; ; ; ; 
4;PEDREGAL;33; Modulo G;CL33_PP_003;-16.31557;-72.190809;-1923226.935;2765294.35;Fixed;Establecido; ; ; ; ; ; ; 
4;PEDREGAL;33; Losa_Deportiva_Modulo_G_III;CL33_PP_004;-16.312142;-72.191923;-1922812.239;2765211.298;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Losa_Deportiva_Modulo_G_II;CL33_PP_005;-16.313652;-72.186536;-1923054.043;2765801.336;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Losa_Deportiva_Ciudad_Majes;CL33_PP_006;-16.315827;-72.178064;-1923411.003;2766731.783;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Complejo_Recreacional_Y_Restaurant_Campestre;CL33_PP_007;-16.321242;-72.174378;-1924089.433;2767080.654;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Parque_El_Bosque_Majes;CL33_PP_008;-16.311691;-72.173479;-1922982.266;2767301.853;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Ie_Alto_Tahuapalcca;CL33_PP_009;-16.308525;-72.178969;-1922545.315;2766720.85;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Ie_Sandro_Mariategui_Chiappe;CL33_PP_010;-16.308998;-72.182591;-1922556.928;2766305.49;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Espinarenses (Movil);CL33_PP_011;-16.306981;-72.182756;-1922318.835;2766312.064;Mobile;Establecido; ; ; ; ; ; ; 
4;PEDREGAL;33; Espinarenses (Movil);CL33_PP_012;-16.303417;-72.180987;-1921923.011;2766556.611;Mobile;Establecido; ; ; ; ; ; ; 
4;PEDREGAL;33; Residente Espinareses Colegio Tupac Amaru (Movil);CL33_PP_013;-16.300979;-72.180788;-1921640.028;2766609.593;Mobile;Establecido; ; ; ; ; ; ; 
4;PEDREGAL;33; Espinarenses La Plaza (Movil);CL33_PP_014;-16.299563;-72.178953;-1921496.432;2766834.745;Mobile;Establecido; ; ; ; ; ; ; 
4;PEDREGAL;33; Tienda El Huambenhito Espinarenses;CL33_PP_015;-16.301376;-72.17511;-1921755.075;2767246.532;Fixed;Establecido; ; ; ; ; ; ; 
4;PEDREGAL;33; Parque_Infantil;CL33_PP_016;-16.294899;-72.175036;-1920997.761;2767335.895;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Losa_Deportiva_Residentes_Espinarenses;CL33_PP_017;-16.294887;-72.169738;-1921060.341;2767935.031;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Bodega_La_Solucion;CL33_PP_018;-16.290486;-72.169076;-1920553.129;2768064.915;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Apoyo_Comunitario;CL33_PP_019;-16.283101;-72.16834;-1919697.473;2768240.457;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Loza Deportiva;CL33_PP_020;-16.310014;-72.188114;-1922609.151;2765668.462;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Mercado Zonal Modulo D;CL33_PP_021;-16.322433;-72.190937;-1924028.692;2765194.033;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Ricardo Palma;CL33_PP_022;-16.317161;-72.192869;-1923388.279;2765041.608;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Colegio Blanca Varela Gonzales Majes;CL33_PP_023;-16.3147;-72.190957;-1923123.315;2765288.502;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Cancha Sintetica AAD;CL33_PP_024;-16.30224;-72.181539;-1921778.569;2766508.927;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Vallecito;CL33_PP_025;-16.294414;-72.165034;-1921061.795;2768472.792;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Asociacion San Carlos;CL33_PP_026;-16.301179;-72.167611;-1921822.616;2768096.795;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33; Avenida;CL33_PP_027;-16.308603;-72.17463;-1922606.872;2767210.382;Fixed;Propuesto; ; ; ; ; ; ; 
4;PEDREGAL;33;Local Social Espinarences;CL33_PP_028;-16.30208406;-72.18237127;-1921750.266;2766416.791;Fixed;Propuesto;;;;;;;
4;PEDREGAL;33;Losa Deportiva Modulo G;CL33_PP_029;-16.31753508;-72.19259446;-1923435.38;2765067.961;Fixed;Propuesto;;;;;;;
4;PEDREGAL;33;Grifo Ciudad Majes;CL33_PP_030;-16.31605964;-72.17906191;-1923426.174;2766616.068;Fixed;Propuesto;;;;;;;
4;PEDREGAL;33;Losa Deportiva Modulo E;CL33_PP_031;-16.31263316;-72.18338078;-1922972.9;2766170.741;Fixed;Propuesto;;;;;;;
