cluster,name_point,code_point,lat,long,y_proj,x_proj,,,,,,,,
4, Iglesia_Biblica_Bautista_Jesus_El_Salvador,CL04_PP_001,-16.354861,-71.551489,-1935707848,2837176138,, , , , , , , 
4, Plaza_De_Buenos_Aires,CL04_PP_002,-16.354346,-71.550429,-1935660665,2837303047,, , , , , , , 
4, Estudio_De_Escultura_Profesional,CL04_PP_003,-16.353184,-71.551294,-1935513314,2837220061,, , , , , , , 
4, Cruce_Av_Aviacion,CL04_PP_004,-16.352294,-71.555051,-1935361611,2836805561,, , , , , , , 
4, Parque_Del_Ninho,CL04_PP_005,-16.350982,-71.554607,-1935213078,2836872.97,, , , , , , , 
4, Posta_Medica_San_Jose,CL04_PP_006,-16.348122,-71.554429,-1934879378,2836930334,, , , , , , , 
4, Parque_Villa_Continental,CL04_PP_007,-16.346623,-71.554483,-1934702628,2836943693,, , , , , , , 
4, Cancha_Villa_Continental,CL04_PP_008,-16.345467,-71.553448,-1934579832,2837076098,, , , , , , , 
4, Colegio_Casimiro_Cuadros,CL04_PP_009,-16.348512,-71.552012,-1934955523,2837199378,, , , , , , , 
4, Losa_Deportiva_La_Chaqui,CL04_PP_010,-16.350454,-71.552177,-1935181561,2837155418,, , , , , , , 
4, Mercado_De_Alto_Cayma,CL04_PP_011,-16.349943,-71.549315,-1935157467,2837486644,, , , , , , , 
4, Ie_El_Gran_Heroe_Andres_Avelino_Caceres,CL04_PP_012,-16.352038,-71.546911,-1935433738,2837732042,, , , , , , , 
4, Iglesia_Evangelica_Pentecostal_Arequipa,CL04_PP_013,-16.349962,-71.545908,-1935202476,2837872796,, , , , , , , 
4, Parque_Los_Angeles,CL04_PP_014,-16.348256,-71.549435,-1934957.8,2837494.97,, , , , , , , 
4, Cancha_Ramiro_Priale,CL04_PP_015,-16.346627,-71.549836,-1934761419,2837470669,, , , , , , , 
4, Complejo_Deportivo_Casimiro_Cuadros_II,CL04_PP_016,-16.347361,-71.547978,-1934870961,2837671.85,, , , , , , , 
4, Cancha_De_Fulbito_Las_Malvinas,CL04_PP_017,-16.345824,-71.546739,-1934705972,2837832357,, , , , , , , 
4, Parque_San_Jose_De_Piro,CL04_PP_018,-16.345147,-71.54549,-1934642128,2837982817,, , , , , , , 
4, Parque_Ala_De_Angel,CL04_PP_019,-16.342415,-71.546508,-1934308432,2837902875,, , , , , , , 
4, Parque_Virgen_De_La_Candelaria,CL04_PP_020,-16.344073,-71.547974,-1934484788,2837715051,, , , , , , , 
4, Comedor_Popular_Santa_Rosa_De_Lima,CL04_PP_021,-16.345365,-71.549878,-1934612654,2837482311,, , , , , , , 
4, Losa_Deportiva_Santa_Rosa,CL04_PP_022,-16.344538,-71.551074,-1934500502,2837357417,, , , , , , , 
4, Losa_Deportiva_Cesar_Vallejo,CL04_PP_023,-16.34311,-71.551875,-1934322714,2837285131,, , , , , , , 
4, Losa_Deportiva_Senhor_De_Huanca,CL04_PP_024,-16.342112,-71.550815,-1934218787,2837418322,, , , , , , , 
4, Losa_Deportiva_Sol_De_Oro,CL04_PP_025,-16.340262,-71.552498,-1933980365,2837251481,, , , , , , , 
4, Cancha_19_De_Enero,CL04_PP_026,-16.341584,-71.548995,-1934179605,2837631604,, , , , , , , 
4, Parque_San_Miguel,CL04_PP_027,-16.340524,-71.547755,-1934070654,2837786021,, , , , , , , 
4, Escuela_De_Beisbol_Cayma,CL04_PP_028,-16.337525,-71.546718,-1933731387,2837942615,, , , , , , , 
4, Losa_Deportiva_Enace_9,CL04_PP_029,-16.336698,-71.544967,-1933656214,2838151967,, , , , , , , 
4, Parque_Recreacional_Sector_12,CL04_PP_030,-16.336863,-71.548899,-1933626259,2837703843,, , , , , , , 
4, Parque_Divino_Ninho_De_Cayma,CL04_PP_031,-16.339104,-71.553623,-1933830231,2837138932,, , , , , , , 
4, Campo_De_Futbol_Villa_Paraiso,CL04_PP_032,-16.338146,-71.554641,-1933704933,2837035919,, , , , , , , 
4, Complejo_Deportivo_Sector_2,CL04_PP_033,-16.336942,-71.55264,-1933588608,2837278509,, , , , , , , 
4, Centro_Recreacional_Sector_III,CL04_PP_034,-16.334764,-71.552094,-1933339622,2837368729,, , , , , , , 
4, Colegio_Teresita_De_Jesus,CL04_PP_035,-16.335343,-71.550608,-1933426273,2837529753,, , , , , , , 
4, Losa_Deportiva_San_Pedro,CL04_PP_036,-16.335202,-71.547725,-1933445877,2837858583,, , , , , , , 
4, Losa_Deportiva_Sector_XIII,CL04_PP_037,-16.333478,-71.546877,-1933254004,2837977167,, , , , , , , 
4, Losa_Deportiva_Sector_IV,CL04_PP_038,-16.332894,-71.548981,-1933159.01,2837746107,, , , , , , , 
4, Colegio_San_Juan_Masias,CL04_PP_039,-16.331019,-71.548977,-1932938811,2837770916,, , , , , , , 
4, Parque_Sector_V,CL04_PP_040,-16.33141,-71.548107,-1932995653,2837864518,, , , , , , , 
4, Losa_Deportiva_Sector_V,CL04_PP_041,-16.330079,-71.546302,-1932861945,2838086545,, , , , , , , 
4, Plaza_Dean_Valdivia_Sector_VI,CL04_PP_042,-16.329077,-71.545377,-1932755844,2838204483,, , , , , , , 
4, Parque_Enace_6,CL04_PP_043,-16.327997,-71.544127,-1932644657,2838360301,, , , , , , , 
4, Comisaria_Dean_Valdivia,CL04_PP_044,-16.331737,-71.543821,-1933087832,2838346422,, , , , , , , 
4, Mercado_Dean_Valdivia,CL04_PP_045,-16.330135,-71.542555,-1932915529,2838510839,, , , , , , , 
4, Parque_De_Las_Tres_Astas_Sector_8,CL04_PP_046,-16.329236,-71.541793,-1932819483,2838608955,, , , , , , , 
4, Parque_Sector_7,CL04_PP_047,-16.327448,-71.542031,-1932606458,2838605188,, , , , , , , 
4, Campo_Deportivo_1Ros_De_Junio,CL04_PP_048,-16.323864,-71.541108,-1932197017,2838756446,, , , , , , , 
4, Iglesia_Primero_De_Junio,CL04_PP_049,-16.324926,-71.538936,-1932349.02,2838989035,, , , , , , , 
4, Colegio_11_De_Mayo,CL04_PP_050,-16.317326,-71.537705,-1931471653,2839227399,, , , , , , , 
4, Losa_Deportiva_11_De_Mayo,CL04_PP_051,-16.31869,-71.536507,-1931646916,2839345589,, , , , , , , 
4, Parque_Las_Lomaditas,CL04_PP_052,-16.321195,-71.537975,-1931922778,2839146518,, , , , , , , 
4, Losa_Deportiva_Senhor_De_Los_Milagros,CL04_PP_053,-16.31341,-71.533433,-1931065188,2839762.9,, , , , , , , 
4, Losa_Deportiva_Palpata,CL04_PP_054,-16.314616,-71.53965,-1931128905,2839041941,, , , , , , , 
4, Losa_Deportiva_Palpata_Zona_B,CL04_PP_055,-16.311726,-71.537558,-1930815629,2839316792,, , , , , , , 
4, Palpata_B,CL04_PP_056,-16.309614,-71.534908,-1930600742,2839644853,, , , , , , , 
4, Colegio_Mujeres_Con_Esperanza,CL04_PP_057,-16.310288,-71.531867,-1930718055,2839981108,, , , , , , , 
4, Losa_Deportiva_Embajada_De_Japon_B,CL04_PP_058,-16.307692,-71.53109,-1930422818,2840102972,, , , , , , , 
4, Local_Social_Mujeres_Con_Esperanza,CL04_PP_059,-16.306653,-71.53059,-1930307024,2840173.19,, , , , , , , 
4, Embajada_De_Japon_B,CL04_PP_060,-16.305836,-71.534619,-1930160528,2839726686,, , , , , , , 
4, Losa_Deportiva_Cabrerias,CL04_PP_061,-16.303029,-71.530143,-1929886871,2840270956,, , , , , , , 
4, Losa_Deportiva_Cabrerias_II,CL04_PP_062,-16.303322,-71.527633,-1929952765,2840551936,, , , , , , , 
4, Pj_Mariano_Melgar,CL04_PP_063,-16.30124,-71.532095,-1929652225,2840072706,, , , , , , , 
4, Mirador_Transoceanica_II,CL04_PP_064,-16.300182,-71.527966,-1929579687,2840554919,, , , , , , , 
4, Casa_Blanca,CL04_PP_065,-16.298263,-71.527837,-1929355851,2840594465,, , , , , , , 
4, Losa_Deportiva_Casa_Blanca,CL04_PP_066,-16.295963,-71.527569,-1929088993,2840654726,, , , , , , , 
4, Local_Social_El_Mirador_De_Transoceanica,CL04_PP_067,-16.296045,-71.530086,-1929067.08,2840368.07,, , , , , , , 
4, Jardienes_De_Cayma,CL04_PP_068,-16.293483,-71.527662,-1928796462,2840676357,, , , , , , , 
4, Capilla Comite 16,CL04_PP_069,-16.349662,-71.547648,-1935145389,2837679357,, , , , , , , 
4, Loza Deportiva,CL04_PP_070,-16.3481,-71.546394,-1934977654,2837841891,, , , , , , , 
4, Capilla Upis Dean Valdivia,CL04_PP_071,-16.34801,-71.54521,-1934981948,2837977345,, , , , , , , 
4, Loza Deportiva,CL04_PP_072,-16.341165,-71.545495,-1934174313,2838034019,, , , , , , , 
4, Loza Deportiva,CL04_PP_073,-16.33893,-71.547851,-1933882209,2837795849,, , , , , , , 
4, 2 Cuadras Abajo Del Colegio Kenneth Hagin,CL04_PP_074,-16.333805,-71.544881,-1933317458,2838199317,, , , , , , , 
4, Loza Deportiva,CL04_PP_075,-16.330289,-71.540571,-1932958512,2838733886,, , , , , , , 
4, Loza Deportiva,CL04_PP_076,-16.328195,-71.540423,-1932714383,2838777884,, , , , , , , 
4, Quinata Los Cipreces,CL04_PP_077,-16.326558,-71.539529,-1932533297,2838900564,, , , , , , , 
4, Iep. Happy Childrens,CL04_PP_078,-16.315267,-71.53475,-1931266828,2839589371,, , , , , , , 
4, Cancha Deportiva Milagros,CL04_PP_079,-16.312788,-71.531437,-1931017.15,2839997425,, , , , , , , 
