cluster,name_point,code_point,lat,long,y_proj,x_proj
8, Iglesia San Lazaro,CL08_PP_001,-16.392178,-71.534635,-1940303156,2838601284
8, Vivero Municipal Frente Al Parque Alto Selva Alegre,CL08_PP_002,-16.391467,-71.532926,-1940241.16,2838804345
8, Parque_Selva_Alegre,CL08_PP_003,-16.389773,-71.533702,-1940032399,2838738452
8, Colegio_Militar,CL08_PP_004,-16.385818,-71.532542,-1939582421,2838921577
8, Complejo Deportivo Romero,CL08_PP_005,-16.388841,-71.528428,-1939989338,2839348654
8, Plaza 1ro De Mayo,CL08_PP_006,-16.389649,-71.526553,-1940107873,2839550729
8, Malecon Amazonas,CL08_PP_007,-16.388798,-71.523727,-1940043506,2839882299
8, Calle Alianza Con Independencia,CL08_PP_008,-16.386894,-71.525328,-1939799668,2839725594
8, Av. Gutenberg Con Calle Independencia,CL08_PP_009,-16.385949,-71.526529,-1939673529,2839601731
8, Colegio Auvergne Peru - Francia,CL08_PP_010,-16.384993,-71.526381,-1939563089,2839630987
8, Ovalo_Del_Rocoto,CL08_PP_011,-16.383282,-71.525091,-1939378.34,2839799597
8, Calle Alfonso Con Calle Atlantida,CL08_PP_012,-16.384436,-71.52454,-1939520844,2839847026
8, Colegio San Martin De Porres,CL08_PP_013,-16.384178,-71.523483,-1939503849,2839970259
8, Av. Espanha Con Av. El Sol,CL08_PP_014,-16.383302,-71.521684,-1939423601,2840185704
8, Av. Argentica Con Calle Los Diamantes,CL08_PP_015,-16.383979,-71.5213,-1939507.97,2840220417
8, Av. Arequipa Con Psj. Las Rosas,CL08_PP_016,-16.386569,-71.522905,-1939792012,2840004605
8, Plaza Espiritu Santo,CL08_PP_017,-16.385557,-71.521684,-1939688509,2840156277
8, Parque_Vilcanota,CL08_PP_018,-16.386278,-71.521357,-1939777329,2840183.95
8, Colegio Santa Rosa,CL08_PP_019,-16.385183,-71.518527,-1939684348,2840519176
8, Comisaria_Alto_Selva_Alegre,CL08_PP_020,-16.383344,-71.51742,-1939482254,2840668.72
8, C.S. Alto Selva Alegre,CL08_PP_021,-16.380987,-71.518876,-1939187014,2840534358
8, Colegio_Williams_Morris,CL08_PP_022,-16.382502,-71.520966,-1939338665,2840277568
8, Compejo Deportivo Roosevelt,CL08_PP_023,-16.382008,-71.523494,-1939248.79,2839997324
8, Parque-Andres-Avelino-Caceres,CL08_PP_024,-16.381964,-71.526144,-1939210249,2839697378
