cluster;name_point;code_point;lat;long;y_proj;x_proj
25; Punto 1 (Referencial);CL25_PP_001;-16.336993;-71.586826;-1933166.201;2833400.863
25; Parque_Villa_San_Juan;CL25_PP_002;-16.3361;-71.585943;-1933072.381;2833512.572
25; Punto 2 (Referencial);CL25_PP_003;-16.336592;-71.583949;-1933155.127;2833732.311
25; Punto 3 (Referencial);CL25_PP_004;-16.334079;-71.58722;-1932819.049;2833393.962
25; Punto 4 (Referencial);CL25_PP_005;-16.333397;-71.585341;-1932762.474;2833615.882
25; Punto 5 (Referencial);CL25_PP_006;-16.33475;-71.582125;-1932961.636;2833963.04
25; Losa_Deportiva_Las_Canteras_B;CL25_PP_007;-16.332996;-71.580929;-1932770.615;2834121.414
25; Punto 6 (Referencial);CL25_PP_008;-16.333297;-71.579369;-1932825.499;2834294.422
25; Punto 7 (Referencial);CL25_PP_009;-16.331559;-71.579939;-1932614.242;2834252.319
25; Punto 8 (Referencial);CL25_PP_010;-16.330805;-71.580999;-1932512.417;2834141.884
25; Punto 9 (Referencial);CL25_PP_011;-16.331497;-71.583077;-1932567.674;2833897.257
25; Punto 10 (Referencial);CL25_PP_012;-16.330877;-71.585844;-1932460.226;2833591.507
25; Punto 11 (Referencial);CL25_PP_013;-16.327943;-71.585747;-1932116.865;2833640.534
25; Colegio_Jesucristo_Salvador_40688;CL25_PP_014;-16.329442;-71.583351;-1932322.898;2833892.824
25; Punto 12 (Referencial);CL25_PP_015;-16.328883;-71.58233;-1932270.027;2834015.858
25; Punto 13 (Referencial);CL25_PP_016;-16.328882;-71.579562;-1932304.559;2834329.782
25; Punto 14 (Referencial);CL25_PP_017;-16.329439;-71.578138;-1932387.805;2834484.054
25; Losa_Deportiva_F_Garcia_Calderon_II;CL25_PP_018;-16.327368;-71.577807;-1932148.716;2834548.444
25; IEP_Stephen_William;CL25_PP_019;-16.326152;-71.578598;-1931995.998;2834474.501
25; Punto 15 (Referencial);CL25_PP_020;-16.325011;-71.577895;-1931870.79;2834569.02
25; Punto 16 (Referencial);CL25_PP_021;-16.326423;-71.575327;-1932068.776;2834841.957
25; Parque_Villa_Magistral_IV;CL25_PP_022;-16.325573;-71.572361;-1932006.081;2835189.365
25; Punto 17 (Referencial);CL25_PP_023;-16.324702;-71.572233;-1931905.384;2835215.177
25; Punto 18 (Referencial);CL25_PP_024;-16.323716;-71.574107;-1931766.114;2835015.42
25; Punto 19 (Referencial);CL25_PP_025;-16.322906;-71.575953;-1931647.87;2834816.556
25; Punto 20 (Referencial);CL25_PP_026;-16.323337;-71.579795;-1931650.403;2834375.235
25; Punto 21 (Referencial);CL25_PP_027;-16.326409;-71.583832;-1931960.672;2833877.586
25; Parque_Mercado_Mayorista_B;CL25_PP_028;-16.325671;-71.583198;-1931881.933;2833959.051
25; Punto 22 (Referencial);CL25_PP_029;-16.323614;-71.585143;-1931616.014;2833765.127
25; Losa_Deportiva_Sor_Ana_De_Los_Angeles_I;CL25_PP_030;-16.323752;-71.582829;-1931661.174;2834025.768
25; Punto 23 (Referencial);CL25_PP_031;-16.323199;-71.582149;-1931604.736;2834110.053
25; IE_Sor_Ana_De_Los_Angeles_De_Monteagudo;CL25_PP_032;-16.322294;-71.583689;-1931479.18;2833947.127
25; Iglesia_Comunidad_Cristiana;CL25_PP_033;-16.320436;-71.582688;-1931273.491;2834084.725
25; Punto 24 (Referencial);CL25_PP_034;-16.31915;-71.582047;-1931130.475;2834174.084
25; Punto 25 (Referencial);CL25_PP_035;-16.320258;-71.580847;-1931275.62;2834295.825
25; Punto 26 (Referencial);CL25_PP_036;-16.320528;-71.57723;-1931352.593;2834702.547
25; Punto 27 (Referencial);CL25_PP_037;-16.318682;-71.579477;-1931107.665;2834471.623
25; Punto 28 (Referencial);CL25_PP_038;-16.317809;-71.58347;-1930955.18;2834030.068
25; Punto 29 (Referencial);CL25_PP_039;-16.31693;-71.585108;-1930831.458;2833855.681
25; Punto 30 (Referencial);CL25_PP_040;-16.315787;-71.582833;-1930725.672;2834128.504
25; Punto 31 (Referencial);CL25_PP_041;-16.315696;-71.580348;-1930746.069;2834411.523
25; Punto 32 (Referencial);CL25_PP_042;-16.313755;-71.581429;-1930504.582;2834314.06
25; Punto 33 (Referencial);CL25_PP_043;-16.310767;-71.581044;-1930158.464;2834396.424
25; Punto 34 (Referencial);CL25_PP_044;-16.310383;-71.579222;-1930136.15;2834608.051
25; Cancha_De_Tierra_Pedro_Huilca_Tecse_III;CL25_PP_045;-16.308145;-71.579454;-1929870.397;2834610.719
25; Losa_Deportiva;CL25_PP_046;-16.308838;-71.573455;-1930026.824;2835282.182
25; Loza Deportiva;CL25_PP_047;-16.329567;-71.585654;-1932308.755;2833630.033
25; Loza Deportiva Villa Las Canteras;CL25_PP_048;-16.335747;-71.583614;-1933060.083;2833781.257
25; Loza Deportiva;CL25_PP_049;-16.322392;-71.574554;-1931605.013;2834981.888
25;Estadio Mercado Mayorista;CL25_PP_050;-16.33229239;-71.58624234;-1932621.465;2833527.988
25;Paradero De Vehiculos Asoc. Pedro Huillca Tecsen;CL25_PP_051;-16.31046865;-71.58045917;-1930130.737;2834466.62
25;CIAI Talentosos Sor Ana Cunamas;CL25_PP_052;-16.32260041;-71.58365849;-1931515.547;2833946.617
25;Estadio Pedro Huillca Tecsen;CL25_PP_053;-16.31116189;-71.58051482;-1930211.461;2834451.33
25;Colegio Villa Las Canteras;CL25_PP_054;-16.33428127;-71.58130039;-1932916.912;2834062.632
