cluster;name_point;code_point;lat;long;y_proj;x_proj;;;;;;;;;
35; Mercado;CL35_PP_001;-16.326957;-72.194205;-1924518725;2764768063;; ; ; ; ; ; ; ; 
35; Parque Del Bloque 5;CL35_PP_002;-16.329436;-72.197391;-1924770384;2764376963;; ; ; ; ; ; ; ; 
35; Losa_Deportiva_Modulo_C;CL35_PP_003;-16.331922;-72.199982;-1925030046;2764053032;; ; ; ; ; ; ; ; 
35; Cancha_Deportiva_Chicharito_2;CL35_PP_004;-16.340105;-72.206146;-1925913294;2763254048;; ; ; ; ; ; ; ; 
35; Losa_Deportiva_Espiritu_Santo;CL35_PP_005;-16.340877;-72.214044;-1925908237;2762351896;; ; ; ; ; ; ; ; 
35; Tienda_De_Abarrotes_Espiritu_Santo;CL35_PP_006;-16.344137;-72.219895;-1926219.09;2761649979;; ; ; ; ; ; ; ; 
35; Asoc_El_Triunfo;CL35_PP_007;-16.35179;-72.220465;-1927107.8;2761489844;; ; ; ; ; ; ; ; 
35; Losa_Deportiva_Los_Angeles;CL35_PP_008;-16.352313;-72.228049;-1927077408;2760626421;; ; ; ; ; ; ; ; 
35; Local_Social_La_Nueva_Arequipa;CL35_PP_009;-16.356606;-72.234457;-1927502393;2759848764;; ; ; ; ; ; ; ; 
35; Bonanza;CL35_PP_010;-16.365193;-72.240662;-1928432.26;2759040396;; ; ; ; ; ; ; ; 
35; El_Majenhito;CL35_PP_011;-16.357486;-72.260964;-1927285575;2756843349;; ; ; ; ; ; ; ; 
35; Local_Social_Reservistas;CL35_PP_012;-16.406534;-72.262083;-1933010382;2756103694;; ; ; ; ; ; ; ; 
35; Fundo_Nazareno;CL35_PP_013;-16.385737;-72.269763;-1930484617;2755496594;; ; ; ; ; ; ; ; 
35; Losa Deportiva Al Costado Del Inicial Ninho Salvador;CL35_PP_014;-16.330843;-72.195953;-1924952438;2764521878;; ; ; ; ; ; ; ; 
35; Ie Modulo C;CL35_PP_015;-16.33099;-72.194356;-1924988942;2764700529;; ; ; ; ; ; ; ; 
35; Losa Deportiva;CL35_PP_016;-16.327916;-72.196336;-1924605224;2764515216;; ; ; ; ; ; ; ; 
35; Local Socail Espiritu Santo;CL35_PP_017;-16.342102;-72.215344;-1926035898;2762189675;; ; ; ; ; ; ; ; 
35; Locasl Social;CL35_PP_018;-16.35411;-72.246766;-1927061788;2758489382;; ; ; ; ; ; ; ; 
35; Ie Nueva Arequipa;CL35_PP_019;-16.358242;-72.238189;-1927648773;2759406689;; ; ; ; ; ; ; ; 
35; Ruedo De Toros Quebradita;CL35_PP_020;-16.328434;-72.191284;-1924726899;2765079719;; ; ; ; ; ; ; ; 
35; Cancha Sintetica Pepes;CL35_PP_021;-16.343386;-72.20778;-1926277542;2763028342;; ; ; ; ; ; ; ; 
35; Local Social Mercado Jardin;CL35_PP_022;-16.345593;-72.216533;-1926430084;2762011654;; ; ; ; ; ; ; ; 
35; Cancha Deportiva La Revancha;CL35_PP_023;-16.347191;-72.22224;-1926548167;2761346818;; ; ; ; ; ; ; ; 
35; Asociacion Los Huaranguitos;CL35_PP_024;-16.341655;-72.235171;-1925744274;2759954.97;; ; ; ; ; ; ; ; 
35; Avenida;CL35_PP_025;-16.351211;-72.238041;-1926827842;2759511302;; ; ; ; ; ; ; ; 
35;Feria Internacional Expomajes;CL35_PP_026;-16.33516029;-72.19762921;-1925437489;2764278408;;;;;;;;;
35;Complejo Deportivo Sagitario;CL35_PP_027;-16.33827111;-72.20325499;-1925733594;2763603701;;;;;;;;;
35;Complejo De Futbol San Francisco;CL35_PP_028;-16.33886481;-72.20290826;-1925807269;2763635454;;;;;;;;;
35;Cancha Deportiva El Chicharito;CL35_PP_029;-16.33961036;-72.20478238;-1925871.88;2763414334;;;;;;;;;
35;Complejo La Cantera;CL35_PP_030;-16.34154766;-72.20500978;-1926095866;2763364392;;;;;;;;;
35;I.E Primaria Las Gardenias;CL35_PP_031;-16.34250973;-72.20814824;-1926170539;2762997695;;;;;;;;;
35;Local Social Las Gardenias;CL35_PP_032;-16.34279777;-72.20727503;-1926214801;2763092765;;;;;;;;;
