"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","strategy"
15,"CIUDAD BLANCA",18,"Puesto De Salud Villa Jesus","CL18_PP_124",-16.41820282,-71.47377781,-1944128898,2845162123,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Cancha Sintetica La Caleta","CL18_PP_125",-16.42865637,-71.47677001,-1945319321,2844685708,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Mercado Nuevo Milenio","CL18_PP_126",-16.41748033,-71.47342416,-1944048478,2845211703,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Iglesia De Alto Jesus","CL18_PP_127",-16.42316777,-71.49411984,-1944454956,2842790242,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Centro De Salud Ciudad Blanca","CL18_PP_128",-16.41736699,-71.49104415,-1943812.31,2843214995,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Cancha Julio C. Tello","CL18_PP_129",-16.41706796,-71.49292124,-1943753449,2843006051,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Comedor Popular Virgen Del Pilar","CL18_PP_130",-16.41980725,-71.49223795,-1944083925,2843047658,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Losa Deportiva Nicaragua","CL18_PP_131",-16.41886264,-71.48112996,-1944113409,2844319688,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"I.E. Herores Del Pacifico","CL18_PP_132",-16.41973086,-71.48401402,-1944178941,2843981248,"Fixed","Propuesto"
15,"CIUDAD BLANCA",18,"Cancha Sintetica La Campinha","CL18_PP_133",-16.42085211,-71.47863283,-1944378758,2844576797,"Fixed","Propuesto"
