name_point,cluster,code_point,lat,long,y_proj,x_proj
Losa Deportiva Villa Santa Isabel,24,CL24_PP_076,-16.33583155,-71.580554,-1933108329,2834127169
Complejo Deportivo Recreacional Andres Avelino Caceres,24,CL24_PP_077,-16.33174034,-71.57616172,-1932682838,2834678337
Parque Las Flores,24,CL24_PP_078,-16.33161572,-71.57087591,-1932734407,2835279418
Colegio Jorge Chavez,24,CL24_PP_079,-16.3239645,-71.54462653,-1932164695,2838356014
Losa Deportiva Nazareno,24,CL24_PP_080,-16.32900254,-71.5499954,-1932689174,2837681592
Local Social El Eden,24,CL24_PP_081,-16.32976274,-71.55599544,-1932703239,2836991168
Losa Deportiva Las Flores Zn 2,24,CL24_PP_082,-16.32882059,-71.56819008,-1932439758,2835620289
Parque Las Flores Zn 7,24,CL24_PP_083,-16.33160472,-71.56614154,-1932792.43,2835816.5
Parque Las Flores VI 2,24,CL24_PP_084,-16.32812059,-71.56443151,-1932404627,2836055657
Parque Las Flores VI 1,24,CL24_PP_085,-16.32931831,-71.56395033,-1932551336,2836094.69
Complejo Deportivo Lolo Fernandez,24,CL24_PP_086,-16.32888868,-71.56714492,-1932460848,2835737943
I.E. Las Flores,24,CL24_PP_087,-16.3300565,-71.56507457,-1932623953,2835957603
Losa Deportiva,24,CL24_PP_088,-16.33270301,-71.55518582,-1933058759,2837044819
I.E. Cristo Rey - Circa,24,CL24_PP_089,-16.32571827,-71.54857588,-1932321182,2837885257
C.S . Nazareno,24,CL24_PP_090,-16.32827736,-71.54944796,-1932610855,2837753105
