"n_microred","microred","cluster","point_name","code_point","lat","long","y_proj","x_proj","type_point","estratategy","X","X.1","X.2","X.3","X.4","X.5","X.6"
4,"PEDREGAL",36,"Colegio San Antonio","CL36_PP_035",-16.35535805,-72.18807388,-1927917.071,2765105.238,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Iglesia Adventista Global Majes","CL36_PP_036",-16.35263909,-72.18917736,-1927585.476,2765014.625,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Complejo Recreacional Alameda","CL36_PP_037",-16.35991,-72.18952121,-1928432.328,2764884.61,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Iglesia De Jesucristo De Los Santos De Los Ultimos Dias","CL36_PP_038",-16.35109127,-72.18892777,-1927407.332,2765062.232,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Losa Deportiva Cantolao","CL36_PP_039",-16.34653562,-72.19205759,-1926836.252,2764765.622,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Plaza El Pionero (Plaza Principal)","CL36_PP_040",-16.36278375,-72.1913192,-1928746.911,2764645.401,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Municipio San Juan El Alto","CL36_PP_041",-16.38881719,-72.18155387,-1931912.285,2765421.981,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Colegio Pedro Paulet Mostajo","CL36_PP_042",-16.38834703,-72.17895455,-1931888.79,2765721.576,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Municipalidad Distrital De Majes","CL36_PP_043",-16.36243171,-72.19107397,-1928708.676,2764677.526,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Plaza San Juan El Alto","CL36_PP_044",-16.38954735,-72.18129575,-1932000.877,2765441.968,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
4,"PEDREGAL",36,"Parque La Dignidad","CL36_PP_045",-16.35082884,-72.1857513,-1927415.059,2765424.49,"Fixed","Propuesto",NA,NA,NA,NA,NA,NA,NA
