ident;lat;long;y_proj;x_proj
1.1.19.24;-16.37251163;-71.53413148;-1937999.334;2838914.804
1.1.19.25;-16.37138719;-71.53475675;-1937859.38;2838858.548
1.1.19.26;-16.37092825;-71.53490596;-1937803.592;2838847.606
1.1.19.27;-16.37084499;-71.53457069;-1937798.03;2838886.712
1.1.19.34;-16.37142583;-71.53417147;-1937871.283;2838924.418
1.1.19.35;-16.37098337;-71.53430753;-1937817.595;2838914.754
1.1.21.8;-16.37345017;-71.52849106;-1938180.558;2839542.232
1.1.21.9;-16.37361202;-71.52827215;-1938202.326;2839564.947
1.1.21.10;-16.3736779;-71.52806947;-1938212.615;2839587.075
1.1.53.1;-16.36377652;-71.50198506;-1937377.821;2842674.711
1.1.53.2;-16.36363034;-71.50186128;-1937362.205;2842690.659
1.1.53.3;-16.36352487;-71.50174342;-1937351.298;2842705.405
1.1.53.4;-16.36342735;-71.50162796;-1937341.295;2842719.774
1.1.53.5;-16.36361726;-71.50228739;-1937355.3;2842642.496
1.1.53.6;-16.36340464;-71.50256942;-1937326.766;2842613.279
1.1.53.7;-16.36330482;-71.50245182;-1937316.52;2842627.921
1.1.53.8;-16.36318901;-71.50232181;-1937304.551;2842644.179
1.1.53.9;-16.36308631;-71.50221409;-1937293.841;2842657.738
1.1.53.10;-16.36297229;-71.5020965;-1937281.926;2842672.564
1.1.53.11;-16.3631901;-71.5018704;-1937310.365;2842695.369
1.1.53.12;-16.36330664;-71.50198434;-1937322.623;2842680.924
1.1.53.13;-16.36340651;-71.50209967;-1937332.904;2842666.539
1.1.53.14;-16.36351771;-71.50220549;-1937344.636;2842653.085
1.1.53.15;-16.36329777;-71.50284832;-1937310.697;2842583.037
1.1.53.16;-16.36310707;-71.50311215;-1937284.968;2842555.598
1.1.53.17;-16.36299893;-71.50299674;-1937273.716;2842570.1
1.1.53.18;-16.36288989;-71.50287275;-1937262.467;2842585.587
1.1.53.19;-16.36277911;-71.50275204;-1937250.971;2842600.725
1.1.53.20;-16.36267067;-71.50263427;-1937239.714;2842615.499
1.1.53.21;-16.36256611;-71.50253376;-1937228.695;2842628.264
1.1.53.22;-16.36275112;-71.50232995;-1937253;2842648.969
1.1.53.23;-16.36284754;-71.50242871;-1937263.084;2842636.509
1.1.53.24;-16.36296387;-71.5025469;-1937275.263;2842621.584
1.1.53.25;-16.36307951;-71.50266225;-1937287.397;2842606.991
1.1.53.26;-16.36318426;-71.50276655;-1937298.39;2842593.793
1.1.53.27;-16.36264484;-71.50318436;-1937229.75;2842553.438
1.1.53.28;-16.362423;-71.50343628;-1937200.513;2842527.756
1.1.53.29;-16.3623599;-71.50334966;-1937194.19;2842538.405
1.1.53.30;-16.36227445;-71.50328251;-1937184.996;2842547.137
1.1.53.31;-16.3622052;-71.50321018;-1937177.771;2842556.245
1.1.53.32;-16.36213754;-71.50314384;-1937170.657;2842564.653
1.1.53.33;-16.36208466;-71.50309136;-1937165.105;2842571.296
1.1.53.34;-16.36202346;-71.50302783;-1937158.715;2842579.301
1.1.53.35;-16.36212409;-71.50297462;-1937171.208;2842584.023
1.1.53.36;-16.36227461;-71.50283361;-1937190.669;2842598.055
1.1.53.37;-16.36239972;-71.50295424;-1937203.849;2842582.739
1.1.53.38;-16.36250836;-71.50308308;-1937214.991;2842566.707
1.1.53.39;-16.3624697;-71.50390838;-1937200.053;2842473.596
1.1.53.40;-16.36226288;-71.50417199;-1937172.433;2842446.392
1.1.53.41;-16.36218254;-71.50409911;-1937163.912;2842455.707
1.1.53.42;-16.36203135;-71.50396068;-1937147.892;2842473.382
1.1.53.43;-16.36191508;-71.50385341;-1937135.583;2842487.067
1.1.53.44;-16.36177404;-71.50371833;-1937120.713;2842504.229
1.1.53.45;-16.36166539;-71.50361503;-1937109.249;2842517.364
1.1.53.46;-16.36155675;-71.5035157;-1937097.736;2842530.049
1.1.53.47;-16.36181616;-71.50327604;-1937131.233;2842553.85
1.1.53.48;-16.36191192;-71.50338653;-1937141.092;2842540.067
1.1.53.49;-16.36201765;-71.50350388;-1937152.036;2842525.377
1.1.53.50;-16.36213544;-71.5036257;-1937164.341;2842510.022
1.1.53.51;-16.36225024;-71.50373942;-1937176.397;2842495.625
1.1.53.52;-16.36235936;-71.50385386;-1937187.776;2842481.22
1.1.53.53;-16.36166229;-71.50311483;-1937115.185;2842574.144
1.1.53.54;-16.36143174;-71.503306;-1937085.689;2842555.467
1.1.53.55;-16.36133287;-71.50320109;-1937075.394;2842568.657
1.1.53.56;-16.36124219;-71.5030986;-1937066.031;2842581.466
1.1.53.57;-16.36115066;-71.50298884;-1937056.659;2842595.11
1.1.53.58;-16.36104934;-71.5028773;-1937046.16;2842609.084
1.1.53.59;-16.36092187;-71.50275913;-1937032.672;2842624.152
1.1.53.60;-16.36111255;-71.50256871;-1937057.473;2842643.264
1.1.53.61;-16.36123245;-71.50268612;-1937070.082;2842628.382
1.1.53.62;-16.36134465;-71.50278759;-1937081.986;2842615.408
1.1.53.63;-16.36142579;-71.5028939;-1937090.181;2842602.29
