"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.8.1.20",1,8,"1","20",-16.4521660955469,-71.5147507237885,-1947600.75987397,2840071.2455118
"1.8.1.21",1,8,"1","21",-16.4522453426243,-71.5148323009235,-1947609.03724876,2840060.95946795
"1.8.1.22",1,8,"1","22",-16.4523206139057,-71.5149080175028,-1947616.921705,2840051.38988067
"1.8.1.23",1,8,"1","23",-16.4526744025528,-71.514740486616,-1947660.59985884,2840065.74398459
"1.8.1.24",1,8,"1","24",-16.4524373491908,-71.5150329783472,-1947629.05409422,2840035.69465109
"1.8.1.25",1,8,"1","25",-16.4525248635307,-71.5151109718005,-1947638.3479245,2840025.70652561
"1.8.1.26",1,8,"1","26",-16.4525796116951,-71.5151671716988,-1947644.06836608,2840018.61830756
"1.8.1.27",1,8,"1","27",-16.4526386683666,-71.5152220309346,-1947650.31187725,2840011.62560051
"1.8.1.28",1,8,"1","28",-16.4527348646283,-71.5153265191991,-1947660.29046299,2839998.52032751
"1.8.1.29",1,8,"1","29",-16.4527987600608,-71.5153811620631,-1947667.10510753,2839991.48874279
"1.8.1.30",1,8,"1","30",-16.4535027942398,-71.5161188227936,-1947740.47764287,2839898.64280231
"1.8.1.31",1,8,"1","31",-16.4535954557024,-71.5161953667562,-1947750.39435632,2839888.75164378
"1.8.1.32",1,8,"1","32",-16.4536544002087,-71.5162500052548,-1947756.62743702,2839881.78550633
"1.8.1.33",1,8,"1","33",-16.4537259166239,-71.516316929968,-1947764.18192735,2839873.26188889
"1.8.1.34",1,8,"1","34",-16.4537930562556,-71.5164074699556,-1947770.92361421,2839862.11870973
"1.8.1.35",1,8,"1","35",-16.4538644303173,-71.5163411054606,-1947780.1471157,2839868.70607993
"1.8.1.36",1,8,"1","36",-16.4539227539791,-71.5162848853925,-1947787.70931948,2839874.31455346
"1.8.1.37",1,8,"1","37",-16.4539719356903,-71.5162051040273,-1947794.49563166,2839882.71364989
"1.8.1.38",1,8,"1","38",-16.4540401244359,-71.5161402629418,-1947803.32571751,2839889.1700601
"1.8.1.39",1,8,"1","39",-16.4541071330932,-71.5160718927722,-1947812.06182322,2839896.04197209
"1.8.1.40",1,8,"1","40",-16.4541679689152,-71.5159931095167,-1947820.20452737,2839904.17516612
"1.8.1.41",1,8,"1","41",-16.4542214435029,-71.5159300454079,-1947827.28371688,2839910.62297843
"1.8.1.42",1,8,"1","42",-16.4542911882924,-71.515857610719,-1947836.3926652,2839917.91974573
"1.8.1.43",1,8,"1","43",-16.4543474115141,-71.5157857828228,-1947843.9055918,2839925.32494783
"1.8.1.44",1,8,"1","44",-16.4544097168295,-71.5157154660003,-1947852.11386871,2839932.47913766
"1.8.1.45",1,8,"1","45",-16.4544584485834,-71.5156431445663,-1947858.75304374,2839940.03846585
"1.8.1.46",1,8,"1","46",-16.4545265810487,-71.5155835779112,-1947867.50987326,2839945.8976723
"1.8.1.47",1,8,"1","47",-16.4545889354064,-71.5155096195758,-1947875.76999547,2839953.46398797
"1.8.1.48",1,8,"1","48",-16.4546474598943,-71.5154390609929,-1947883.53723615,2839960.69511514
"1.8.1.49",1,8,"1","49",-16.4547353566713,-71.515386267452,-1947894.53010482,2839965.52746802
"1.8.1.50",1,8,"1","50",-16.4547748669119,-71.5153282822961,-1947899.90474797,2839971.58254102
"1.8.1.51",1,8,"1","51",-16.4548401420589,-71.5152506421371,-1947908.5545756,2839979.52790288
"1.8.1.52",1,8,"1","52",-16.4548921953024,-71.515171779438,-1947915.66671747,2839987.78514985
"1.8.1.53",1,8,"1","53",-16.4549649594351,-71.5151100888714,-1947924.99454219,2839993.82435506
"1.8.1.54",1,8,"1","54",-16.4550521860467,-71.5150520078361,-1947935.97560726,2839999.26481655
"1.8.1.55",1,8,"1","55",-16.4551175651954,-71.5149776895726,-1947944.59567165,2840006.83222954
"1.8.1.56",1,8,"1","56",-16.4548335957937,-71.5150098763971,-1947910.83099348,2840006.90592989
"1.8.1.57",1,8,"1","57",-16.450337393786,-71.5144972987273,-1947389.14792913,2840123.93944958
"1.8.1.58",1,8,"1","58",-16.4504050102496,-71.5144937006155,-1947397.13632969,2840123.46122505
"1.8.1.59",1,8,"1","59",-16.4504802162847,-71.5144879441535,-1947406.04357108,2840123.12820536
