ident;lat;long;y_proj;x_proj;new_seg
1.11.18-5; ; ;-1.516416327;20763369.87; 
1.11.18-5;-16.38196677;-71.51294153;-1939376.889;2841194.599;False
1.11.18-5;-16.38151731;-71.51256811;-1939328.791;2841242.816;False
1.11.18-5;-16.38097411;-71.51333951;-1939255.254;2841162.421;False
1.11.18-5;-16.38101158;-71.51337968;-1939259.15;2841157.376;False
1.11.18-5;-16.3810876;-71.51338332;-1939268.035;2841155.972;False
1.11.18-5;-16.38119015;-71.51338061;-1939280.117;2841154.94;False
1.11.18-5;-16.38143854;-71.51343045;-1939308.67;2841146.045;False
1.11.18-5;-16.38152666;-71.51345292;-1939318.739;2841142.346;False
1.11.18-5;-16.38159955;-71.51343141;-1939327.574;2841143.835;False
1.11.18-6; ; ;-1.516416327;20763369.87; 
1.11.18-6;-16.3814454;-71.51250484;-1939321.14;2841250.931;False
1.11.18-6;-16.38101886;-71.51213841;-1939275.646;2841298.056;False
1.11.18-6;-16.38041101;-71.51306853;-1939192.514;2841200.504;False
1.11.18-6;-16.38083926;-71.51334818;-1939239.303;2841163.198;False
1.11.18-7; ; ;-1.516416327;20763369.87; 
1.11.18-7;-16.38152711;-71.51236297;-1939332.528;2841265.954;False
1.11.18-7;-16.3822423;-71.51134288;-1939429.406;2841372.308;False
1.11.18-7;-16.38179813;-71.51097221;-1939381.895;2841420.145;False
1.11.18-7;-16.38107106;-71.51199404;-1939283.599;2841313.748;False
1.11.18-8; ; ;-1.516416327;20763369.87; 
1.11.18-8;-16.38205312;-71.51281;-1939388.691;2841208.389;False
1.11.18-8;-16.3827587;-71.51178658;-1939484.482;2841315.245;False
1.11.18-8;-16.38230908;-71.51140232;-1939436.502;2841364.695;False
1.11.18-8;-16.38161491;-71.51243592;-1939341.923;2841256.535;False
1.11.18-17; ; ;-1.516416327;20763369.87; 
1.11.18-17;-16.38284663;-71.51166448;-1939496.35;2841327.944;False
1.11.18-17;-16.38332146;-71.51096293;-1939560.978;2841401.309;False
1.11.18-17;-16.38358784;-71.51052306;-1939597.817;2841447.717;False
1.11.18-17;-16.38314911;-71.51014892;-1939550.989;2841495.878;False
1.11.18-17;-16.38238881;-71.51128957;-1939447.29;2841376.441;False
1.11.18-18; ; ;-1.516416327;20763369.87; 
1.11.18-18;-16.38231477;-71.51121392;-1939439.545;2841385.987;False
1.11.18-18;-16.38284956;-71.51043318;-1939512.214;2841467.551;False
1.11.18-18;-16.38306859;-71.51008468;-1939542.339;2841504.215;False
1.11.18-18;-16.38261677;-71.50970555;-1939494.036;2841553.113;False
1.11.18-18;-16.38187019;-71.51084983;-1939391.903;2841433.084;False
1.11.18-19; ; ;-1.516416327;20763369.87; 
1.11.18-19;-16.38178474;-71.51077334;-1939382.828;2841442.875;False
