ident;lat;long;y_proj;x_proj
1.4.203-1; ; ;-1.516416327;20763369.87
1.4.203-1;-16.33805509;-71.5822667;-1933348.021;2833904.109
1.4.203-1;-16.3382038;-71.58209857;-1933367.592;2833921.247
1.4.203-1;-16.33824272;-71.5819261;-1933374.323;2833940.299
1.4.203-1;-16.33812509;-71.58180242;-1933362.057;2833955.85
1.4.203-1;-16.3378795;-71.58204741;-1933330.147;2833931.254
1.4.203-2; ; ;-1.516416327;20763369.87
1.4.203-2;-16.33801383;-71.58177454;-1933349.339;2833960.455
1.4.203-2;-16.33610544;-71.57995338;-1933148.019;2834191.728
1.4.203-2;-16.33588791;-71.58026472;-1933118.572;2834159.243
1.4.203-2;-16.33690433;-71.58102486;-1933228.425;2834059.86
1.4.203-2;-16.33789557;-71.5818893;-1933334.014;2833948.975
1.4.203-3; ; ;-1.516416327;20763369.87
1.4.203-3;-16.33604537;-71.579925;-1933141.318;2834195.726
1.4.203-3;-16.33490329;-71.5788536;-1933020.605;2834332.04
1.4.203-3;-16.3345767;-71.57926534;-1932977.092;2834289.582
1.4.203-3;-16.33587045;-71.58022182;-1933117.058;2834164.335
1.4.203-4; ; ;-1.516416327;20763369.87
1.4.203-4;-16.33485388;-71.57880907;-1933015.36;2834337.729
1.4.203-4;-16.33462093;-71.57859064;-1932990.736;2834365.522
1.4.203-4;-16.33426251;-71.57907859;-1932942.53;2834314.835
1.4.203-4;-16.3345068;-71.5792705;-1932968.817;2834289.903
1.4.203-5; ; ;-1.516416327;20763369.87
1.4.203-5;-16.33421508;-71.57904172;-1932937.422;2834319.632
1.4.203-5;-16.33457463;-71.57853483;-1932985.997;2834372.452
1.4.203-5;-16.33433144;-71.57830202;-1932960.351;2834402.008
1.4.203-5;-16.33398004;-71.57885085;-1932912.207;2834344.325
1.4.203-6; ; ;-1.516416327;20763369.87
1.4.203-6;-16.33393671;-71.57880496;-1932907.693;2834350.091
1.4.203-6;-16.33429359;-71.5782715;-1932956.288;2834405.959
1.4.203-6;-16.33408196;-71.57805969;-1932934.085;2834432.725
1.4.203-6;-16.3336745;-71.57863972;-1932878.967;2834372.231
1.4.203-7; ; ;-1.516416327;20763369.87
1.4.203-7;-16.33363656;-71.57859102;-1932875.12;2834378.245
1.4.203-7;-16.33403235;-71.57801932;-1932928.765;2834437.946
1.4.203-7;-16.33380599;-71.57780801;-1932904.826;2834464.846
1.4.203-7;-16.33338486;-71.57840873;-1932847.843;2834402.183
1.4.203-8; ; ;-1.516416327;20763369.87
1.4.203-8;-16.3337549;-71.57776588;-1932899.353;2834470.286
1.4.203-8;-16.33328218;-71.5773189;-1932849.431;2834527.108
1.4.203-8;-16.33305633;-71.57763251;-1932818.978;2834494.471
1.4.203-8;-16.33347899;-71.57815845;-1932862.032;2834429.345
1.4.203-9; ; ;-1.516416327;20763369.87
1.4.203-9;-16.33333021;-71.57835937;-1932842.042;2834408.489
1.4.203-9;-16.33344855;-71.5782181;-1932857.71;2834422.975
1.4.203-9;-16.33302929;-71.57771336;-1932814.791;2834485.653
1.4.203-9;-16.33279933;-71.57792333;-1932785.153;2834464.824
1.4.203-9;-16.33311286;-71.57828551;-1932817.44;2834419.684
1.4.203-10; ; ;-1.516416327;20763369.87
1.4.203-10;-16.33392668;-71.57941242;-1932898.908;2834281.333
1.4.203-10;-16.33416542;-71.5791017;-1932930.838;2834313.473
1.4.203-10;-16.33302186;-71.57830749;-1932806.477;2834418.372
1.4.203-10;-16.33283708;-71.57850722;-1932782.275;2834398.117
1.4.203-11; ; ;-1.516416327;20763369.87
1.4.203-11;-16.33575224;-71.58030969;-1933102.075;2834155.903
1.4.203-11;-16.33419612;-71.57915511;-1932933.774;2834307.018
1.4.203-11;-16.33401109;-71.5794217;-1932908.705;2834279.185
1.4.203-11;-16.33560352;-71.58055831;-1933081.494;2834129.638
