"ident","lat","long","y_proj","x_proj"
"1.4.25-1",NA,NA,-1.516416327,20763369.87
"1.4.25-1",-16.3913449,-71.55943976,-1939893.159,2835799.72
"1.4.25-1",-16.39089535,-71.55958524,-1939838.531,2835789.083
"1.4.25-1",-16.39073181,-71.56035434,-1939809.653,2835704.017
"1.4.25-1",-16.39101846,-71.56043946,-1939842.249,2835690.632
"1.4.25-1",-16.39121051,-71.56052128,-1939863.776,2835678.854
"1.4.25-1",-16.3915289,-71.56061837,-1939899.95,2835663.7
"1.4.25-1",-16.39164776,-71.55942666,-1939928.895,2835797.261
"1.4.25-1",-16.39156915,-71.55924747,-1939921.916,2835818.6
"1.4.25-1",-16.39132643,-71.55928956,-1939892.879,2835816.99
"1.4.25-2",NA,NA,-1.516416327,20763369.87
"1.4.25-2",-16.39226598,-71.56050207,-1939987.981,2835667.283
"1.4.25-2",-16.39242713,-71.56044833,-1940007.584,2835671.277
"1.4.25-2",-16.39271322,-71.56032321,-1940042.759,2835681.735
"1.4.25-2",-16.39293508,-71.56016511,-1940070.803,2835696.77
"1.4.25-2",-16.39314317,-71.56001344,-1940097.151,2835711.254
"1.4.25-2",-16.39326256,-71.55991752,-1940112.379,2835720.573
"1.4.25-2",-16.39340429,-71.55979367,-1940130.583,2835732.768
"1.4.25-2",-16.39348003,-71.55970445,-1940140.6,2835741.896
"1.4.25-2",-16.39352288,-71.55961897,-1940146.709,2835751.029
"1.4.25-2",-16.39354061,-71.55950375,-1940150.239,2835763.861
"1.4.25-2",-16.39308497,-71.55966189,-1940094.736,2835751.868
"1.4.25-2",-16.39276228,-71.55920658,-1940062.562,2835807.692
"1.4.25-2",-16.39169538,-71.55945053,-1939934.188,2835793.933
"1.4.25-2",-16.3915677,-71.56053626,-1939905.539,2835672.503
"1.4.25-2",-16.39211104,-71.56052798,-1939969.457,2835666.364
"1.4.25-3",NA,NA,-1.516416327,20763369.87
"1.4.25-3",-16.39193934,-71.55911491,-1939967.061,2835828.806
"1.4.25-3",-16.39198766,-71.55883802,-1939976.218,2835859.569
"1.4.25-3",-16.39160492,-71.55878115,-1939931.981,2835871.003
"1.4.25-3",-16.3916057,-71.55915272,-1939927.399,2835828.866
"1.4.25-3",-16.39169059,-71.55937689,-1939934.551,2835802.345
"1.4.25-3",-16.3919347,-71.55930831,-1939964.084,2835806.94
"1.4.25-4",NA,NA,-1.516416327,20763369.87
"1.4.25-4",-16.3923328,-71.55836694,-1940022.679,2835908.481
"1.4.25-4",-16.39216953,-71.55837532,-1940003.398,2835909.658
"1.4.25-4",-16.39211851,-71.55862543,-1939994.26,2835881.967
"1.4.25-4",-16.39207953,-71.55880236,-1939987.457,2835862.415
"1.4.25-4",-16.39237177,-71.55886395,-1940021.006,2835851.625
"1.4.25-5",NA,NA,-1.516416327,20763369.87
"1.4.25-5",-16.39258066,-71.55882974,-1940045.97,2835852.783
"1.4.25-5",-16.39258571,-71.55873995,-1940047.693,2835862.896
"1.4.25-5",-16.39257296,-71.55863521,-1940047.513,2835874.938
"1.4.25-5",-16.39255941,-71.55851076,-1940047.486,2835889.223
"1.4.25-5",-16.39256572,-71.55840754,-1940049.525,2835900.844
"1.4.25-5",-16.39255454,-71.55831026,-1940049.436,2835912.018
"1.4.25-5",-16.39249495,-71.55811487,-1940044.894,2835934.947
"1.4.25-5",-16.39233008,-71.5578093,-1940029.373,2835971.739
"1.4.25-5",-16.39221936,-71.55789249,-1940015.322,2835963.75
"1.4.25-5",-16.39239239,-71.55834379,-1940029.969,2835910.329
"1.4.25-5",-16.39242475,-71.55882537,-1940027.713,2835855.309
"1.4.25-5",-16.39248263,-71.55919793,-1940029.826,2835812.316
"1.4.25-5",-16.39272465,-71.55915078,-1940058.844,2835814.509
