ident;lat;long;y_proj;x_proj
6.92.25-1; ; ;-1.516416327;20763369.87
6.92.25-1;-16.32427777;-72.17157863;-1924478.655;2767359.067
6.92.25-1;-16.32177185;-72.17012196;-1924202.931;2767555.119
6.92.25-1;-16.32038196;-72.17071191;-1924033.094;2767505.839
6.92.25-1;-16.32370479;-72.17251542;-1924400.252;2767260.352
6.92.25-2; ; ;-1.516416327;20763369.87
6.92.25-2;-16.32496108;-72.16825723;-1924598.827;2767725.954
6.92.25-2;-16.32589277;-72.16645051;-1924729.755;2767918.511
6.92.25-2;-16.32411759;-72.16549336;-1924533.528;2768048.953
6.92.25-2;-16.32324437;-72.16730998;-1924409.325;2767854.542
6.92.25-3; ; ;-1.516416327;20763369.87
6.92.25-3;-16.32677191;-72.16467702;-1924854.133;2768107.969
6.92.25-3;-16.32505944;-72.16363521;-1924666.272;2768247.199
6.92.25-3;-16.32417957;-72.16543417;-1924541.5;2768054.868
6.92.25-3;-16.32588285;-72.16641005;-1924729.083;2767923.208
6.92.25-4; ; ;-1.516416327;20763369.87
6.92.25-4;-16.32594733;-72.16179708;-1924792.461;2768443.858
6.92.25-4;-16.32507577;-72.16360317;-1924668.571;2768250.616
6.92.25-4;-16.32680604;-72.16455103;-1924859.653;2768121.782
6.92.25-4;-16.32768921;-72.16276562;-1924984.651;2768312.536
6.92.25-5; ; ;-1.516416327;20763369.87
6.92.25-5;-16.32860066;-72.16091709;-1925113.729;2768510.069
6.92.25-5;-16.32685708;-72.15995759;-1924921.231;2768640.394
6.92.25-5;-16.32594457;-72.16177221;-1924792.439;2768446.704
6.92.25-5;-16.32768138;-72.16274697;-1924983.961;2768314.742
6.92.25-6; ; ;-1.516416327;20763369.87
6.92.25-6;-16.3285956;-72.1609001;-1925113.342;2768512.054
6.92.25-6;-16.32946821;-72.15910021;-1925237.289;2768704.575
6.92.25-6;-16.32772468;-72.15813788;-1925044.83;2768835.223
6.92.25-6;-16.32687544;-72.15991481;-1924923.897;2768645
6.92.25-7; ; ;-1.516416327;20763369.87
6.92.25-7;-16.32948634;-72.15906724;-1925239.81;2768708.075
6.92.25-7;-16.33037828;-72.15729358;-1925365.706;2768897.388
6.92.25-7;-16.32863179;-72.15629772;-1925173.306;2769031.867
6.92.25-7;-16.32775843;-72.15809101;-1925049.349;2768840.098
6.92.25-8; ; ;-1.516416327;20763369.87
6.92.25-8;-16.33040099;-72.15722669;-1925369.175;2768904.664
6.92.25-8;-16.33128021;-72.15544391;-1925493.696;2769095.167
6.92.25-8;-16.32956251;-72.15447317;-1925304.363;2769226.449
6.92.25-8;-16.32867779;-72.15623949;-1925179.397;2769037.872
6.92.25-9; ; ;-1.516416327;20763369.87
6.92.25-9;-16.33129024;-72.15542567;-1925495.091;2769097.103
6.92.25-9;-16.33222893;-72.15360478;-1925627.04;2769291.167
6.92.25-9;-16.33046678;-72.15262306;-1925432.637;2769424.251
6.92.25-9;-16.32958631;-72.15442987;-1925307.673;2769231.045
6.92.25-10; ; ;-1.516416327;20763369.87
6.92.25-10;-16.33373496;-72.15047671;-1925841.253;2769625.878
6.92.25-10;-16.33467752;-72.14861945;-1925974.108;2769824.002
6.92.25-10;-16.33306888;-72.14732712;-1925801.44;2769990.285
6.92.25-10;-16.33214733;-72.14915441;-1925671.408;2769795.282
6.92.25-11; ; ;-1.516416327;20763369.87
6.92.25-11;-16.33564846;-72.14681159;-1926109.691;2770016.184
6.92.25-11;-16.33399193;-72.14554407;-1925931.117;2770180.268
6.92.25-11;-16.33310026;-72.14728092;-1925805.674;2769995.113
6.92.25-11;-16.33467507;-72.14854951;-1925974.669;2769831.94
6.92.25-12; ; ;-1.516416327;20763369.87
6.92.25-12;-16.32743844;-72.17214206;-1924841.826;2767255.782
6.92.25-12;-16.32444222;-72.17138594;-1924500.237;2767378.788
6.92.25-12;-16.32389051;-72.17241481;-1924423.208;2767269.398
6.92.25-12;-16.3268475;-72.17321693;-1924759.648;2767141.688
6.92.25-13; ; ;-1.516416327;20763369.87
6.92.25-13;-16.32720711;-72.17041095;-1924835.692;2767454.359
6.92.25-13;-16.32473461;-72.16907031;-1924562.478;2767636.882
6.92.25-13;-16.32390641;-72.16936772;-1924461.93;2767613.639
6.92.25-13;-16.32366667;-72.1698377;-1924428.18;2767563.515
6.92.25-13;-16.32670794;-72.17142919;-1924764.939;2767345.514
6.92.25-14; ; ;-1.516416327;20763369.87
6.92.25-14;-16.32723883;-72.17038089;-1924839.768;2767457.359
6.92.25-14;-16.32850712;-72.16782351;-1925019.181;2767730.545
6.92.25-14;-16.32481078;-72.16907072;-1924571.39;2767635.881
6.92.25-15; ; ;-1.516416327;20763369.87
6.92.25-15;-16.32544607;-72.16850926;-1924652.551;2767691.388
6.92.25-15;-16.32896328;-72.16726829;-1925079.299;2767787.588
6.92.25-15;-16.32632291;-72.16573963;-1924788.711;2767993.477
6.92.25-15;-16.32501561;-72.16827347;-1924605.014;2767723.435
6.92.25-16; ; ;-1.516416327;20763369.87
6.92.25-16;-16.33050716;-72.16676818;-1925266.082;2767824.767
6.92.25-16;-16.32686353;-72.16468037;-1924864.818;2768106.441
6.92.25-16;-16.32632852;-72.16567888;-1924790.103;2768000.274
6.92.25-16;-16.32909096;-72.16728694;-1925094.02;2767783.88
6.92.25-17; ; ;-1.516416327;20763369.87
6.92.25-17;-16.32937655;-72.16379588;-1925169.708;2768174.922
6.92.25-17;-16.32773251;-72.16277804;-1924989.57;2768310.59
6.92.25-17;-16.32683983;-72.16457104;-1924863.366;2768119.097
6.92.25-17;-16.32852423;-72.16557188;-1925048.434;2767984.85
6.92.25-18; ; ;-1.516416327;20763369.87
6.92.25-18;-16.33027884;-72.16189636;-1925298.331;2768378.331
6.92.25-18;-16.32863283;-72.16095384;-1925117.05;2768505.512
6.92.25-18;-16.32776908;-72.16274233;-1924994.283;2768314.168
6.92.25-18;-16.32942315;-72.16371112;-1925176.189;2768183.92
6.92.25-19; ; ;-1.516416327;20763369.87
6.92.25-19;-16.33120259;-72.16011891;-1925427.992;2768567.67
6.92.25-19;-16.32948916;-72.15912206;-1925239.477;2768701.842
6.92.25-19;-16.32863717;-72.16089778;-1925118.237;2768511.794
6.92.25-19;-16.33028875;-72.16184607;-1925300.099;2768383.892
6.92.25-20; ; ;-1.516416327;20763369.87
6.92.25-20;-16.33119781;-72.16006859;-1925428.042;2768573.419
