ident;lat;long;y_proj;x_proj
AMPLIACION_PAUCARPATA; ; ;-1.516416327;20763369.87
AMPLIACION_PAUCARPATA;-16.41542336;-71.51534308;-1943277.026;2840485.122
AMPLIACION_PAUCARPATA;-16.41601743;-71.51538346;-1943346.305;2840472.774
AMPLIACION_PAUCARPATA;-16.41755549;-71.51576756;-1943522.14;2840409.107
AMPLIACION_PAUCARPATA;-16.41903305;-71.51619199;-1943690.357;2840341.659
AMPLIACION_PAUCARPATA;-16.42035899;-71.51660558;-1943840.898;2840277.422
AMPLIACION_PAUCARPATA;-16.42248728;-71.51636772;-1944093.919;2840276.549
AMPLIACION_PAUCARPATA;-16.42407687;-71.51572258;-1944288.798;2840328.898
AMPLIACION_PAUCARPATA;-16.42487599;-71.51539254;-1944386.842;2840355.861
AMPLIACION_PAUCARPATA;-16.42504671;-71.51527822;-1944408.34;2840366.588
AMPLIACION_PAUCARPATA;-16.42534699;-71.51512583;-1944445.54;2840379.937
AMPLIACION_PAUCARPATA;-16.42563941;-71.51494455;-1944482.181;2840396.664
AMPLIACION_PAUCARPATA;-16.4272581;-71.51408137;-1944683.237;2840473.346
AMPLIACION_PAUCARPATA;-16.42788543;-71.51370513;-1944761.685;2840507.792
AMPLIACION_PAUCARPATA;-16.42831106;-71.51352811;-1944813.921;2840522.291
AMPLIACION_PAUCARPATA;-16.42886464;-71.51333716;-1944881.364;2840536.694
AMPLIACION_PAUCARPATA;-16.42904892;-71.51317003;-1944905.124;2840553.231
AMPLIACION_PAUCARPATA;-16.43058962;-71.51234801;-1945096.502;2840626.259
AMPLIACION_PAUCARPATA;-16.43173613;-71.51151566;-1945241.705;2840705.617
AMPLIACION_PAUCARPATA;-16.43229529;-71.51117095;-1945311.748;2840737.377
AMPLIACION_PAUCARPATA;-16.43291124;-71.51070788;-1945389.958;2840781.813
AMPLIACION_PAUCARPATA;-16.43297767;-71.51065269;-1945398.461;2840787.2
AMPLIACION_PAUCARPATA;-16.4331439;-71.51059515;-1945418.716;2840791.547
AMPLIACION_PAUCARPATA;-16.43359921;-71.5106065;-1945472.059;2840784.298
