ident;lat;long;y_proj;x_proj
CIUDAD_DE_DIOS_02; ; ;-1.516416327;20763369.87
CIUDAD_DE_DIOS_02;-16.2780188;-71.63909829;-1925588.614;2828235.229
CIUDAD_DE_DIOS_02;-16.27811948;-71.63906746;-1925600.819;2828237.429
CIUDAD_DE_DIOS_02;-16.27824078;-71.63903287;-1925615.492;2828239.789
CIUDAD_DE_DIOS_02;-16.27840293;-71.63912394;-1925633.397;2828227.372
CIUDAD_DE_DIOS_02;-16.2785141;-71.63909561;-1925646.803;2828229.152
CIUDAD_DE_DIOS_02;-16.27862563;-71.63902534;-1925660.772;2828235.685
CIUDAD_DE_DIOS_02;-16.27916117;-71.63898656;-1925724.135;2828233.183
CIUDAD_DE_DIOS_02;-16.27933482;-71.6391918;-1925741.971;2828207.67
CIUDAD_DE_DIOS_02;-16.27949152;-71.6397628;-1925753.264;2828140.897
CIUDAD_DE_DIOS_02;-16.27958433;-71.64007144;-1925760.32;2828104.699
CIUDAD_DE_DIOS_02;-16.27989401;-71.64051796;-1925791.125;2828050.071
CIUDAD_DE_DIOS_02;-16.28016341;-71.64076546;-1925819.677;2828018.533
CIUDAD_DE_DIOS_02;-16.2807213;-71.6412374;-1925879.308;2827957.825
CIUDAD_DE_DIOS_02;-16.2812309;-71.64147691;-1925936.161;2827924.099
CIUDAD_DE_DIOS_02;-16.28223267;-71.64161999;-1926052.001;2827894.967
CIUDAD_DE_DIOS_02;-16.28333553;-71.64185021;-1926178.625;2827854.65
CIUDAD_DE_DIOS_02;-16.28444523;-71.64185636;-1926308.841;2827839.654
CIUDAD_DE_DIOS_02;-16.2848026;-71.64231115;-1926345.14;2827783.477
CIUDAD_DE_DIOS_02;-16.28538925;-71.64299229;-1926405.543;2827698.676
CIUDAD_DE_DIOS_02;-16.28546265;-71.64334696;-1926409.747;2827657.51
CIUDAD_DE_DIOS_02;-16.28552674;-71.64365301;-1926413.462;2827621.979
CIUDAD_DE_DIOS_02;-16.28567404;-71.64399022;-1926426.561;2827581.842
CIUDAD_DE_DIOS_02;-16.28587484;-71.64427784;-1926446.557;2827546.639
CIUDAD_DE_DIOS_02;-16.28606954;-71.64441104;-1926467.759;2827529.026
CIUDAD_DE_DIOS_02;-16.28638324;-71.64443588;-1926504.281;2827522.166
