ident;lat;long;y_proj;x_proj
ZAMACOLA_04; ; ;-1.516416327;20763369.87
ZAMACOLA_04;-16.32653554;-71.6064909;-1931692.155;2831306.429
ZAMACOLA_04;-16.32751863;-71.60491801;-1931827.259;2831472.058
ZAMACOLA_04;-16.3290186;-71.60313776;-1932025.655;2831654.507
ZAMACOLA_04;-16.32992392;-71.60249314;-1932140.027;2831715.88
ZAMACOLA_04;-16.33021957;-71.60206541;-1932180.093;2831760.554
ZAMACOLA_04;-16.33208607;-71.60151663;-1932406.141;2831798.609
ZAMACOLA_04;-16.33246947;-71.60112571;-1932456.052;2831837.971
ZAMACOLA_04;-16.33269345;-71.60057509;-1932489.24;2831897.506
ZAMACOLA_04;-16.33620297;-71.59622006;-1932955.851;2832345.865
ZAMACOLA_04;-16.33728414;-71.59702771;-1933072.711;2832240.275
ZAMACOLA_04;-16.34035577;-71.59260527;-1933488.771;2832701.929
ZAMACOLA_04;-16.34024969;-71.58934018;-1933517.187;2833073.541
ZAMACOLA_04;-16.33999713;-71.58902148;-1933491.517;2833112.954
ZAMACOLA_04;-16.33958869;-71.58751203;-1933462.448;2833289.414
ZAMACOLA_04;-16.3364164;-71.58818203;-1933081.509;2833254.568
ZAMACOLA_04;-16.33489817;-71.58823014;-1932902.608;2833268.795
ZAMACOLA_04;-16.33276589;-71.58791341;-1932656.158;2833332.35
ZAMACOLA_04;-16.33193259;-71.58800382;-1932557.163;2833332.899
ZAMACOLA_04;-16.33094753;-71.58774865;-1932444.672;2833374.602
ZAMACOLA_04;-16.32981679;-71.58729177;-1932317.595;2833441.068
ZAMACOLA_04;-16.32763136;-71.58704016;-1932064.084;2833497.922
ZAMACOLA_04;-16.32665264;-71.58645477;-1931956.466;2833576.99
ZAMACOLA_04;-16.32507349;-71.58613874;-1931774.961;2833633.292
ZAMACOLA_04;-16.3225631;-71.58580312;-1931484.334;2833703.878
ZAMACOLA_04;-16.32065966;-71.58576604;-1931261.252;2833732.743
ZAMACOLA_04;-16.31922388;-71.58597048;-1931090.072;2833728.155
ZAMACOLA_04;-16.31841186;-71.58595135;-1930994.945;2833740.842
ZAMACOLA_04;-16.31681192;-71.58590892;-1930807.572;2833766.376
ZAMACOLA_04;-16.31513276;-71.58485659;-1930623.526;2833907.471
ZAMACOLA_04;-16.31425641;-71.5846884;-1930522.707;2833937.896
ZAMACOLA_04;-16.31385429;-71.58443538;-1930478.644;2833971.799
ZAMACOLA_04;-16.31366153;-71.58402816;-1930461.097;2834020.481
ZAMACOLA_04;-16.31355584;-71.58337238;-1930456.885;2834096.226
ZAMACOLA_04;-16.31160925;-71.58267148;-1930237.032;2834200.928
ZAMACOLA_04;-16.31001586;-71.58205866;-1930057.555;2834291.067
ZAMACOLA_04;-16.30912521;-71.58126147;-1929962.92;2834393.019
ZAMACOLA_04;-16.30977435;-71.58351216;-1930011.016;2834129.338
ZAMACOLA_04;-16.31079264;-71.58524089;-1930108.995;2833920.084
ZAMACOLA_04;-16.31111013;-71.58659257;-1930129.383;2833762.67
ZAMACOLA_04;-16.31128246;-71.58767286;-1930136.117;2833637.915
ZAMACOLA_04;-16.31270996;-71.59029145;-1930271.031;2833322.451
ZAMACOLA_04;-16.31323262;-71.59052362;-1930329.511;2833289.354
ZAMACOLA_04;-16.31477887;-71.59049258;-1930511.492;2833272.857
ZAMACOLA_04;-16.31516979;-71.59177541;-1930541.364;2833122.309
ZAMACOLA_04;-16.31529653;-71.59291799;-1930541.966;2832991.089
ZAMACOLA_04;-16.31478461;-71.59486411;-1930457.521;2832777.007
ZAMACOLA_04;-16.31395221;-71.59493916;-1930358.828;2832779.269
ZAMACOLA_04;-16.31425798;-71.59651112;-1930375.09;2832597.037
ZAMACOLA_04;-16.31380062;-71.59841661;-1930297.568;2832386.858
ZAMACOLA_04;-16.3129177;-71.5999664;-1930174.518;2832222.525
ZAMACOLA_04;-16.31197685;-71.60067148;-1930055.22;2832154.735
ZAMACOLA_04;-16.31750942;-71.60338602;-1930671.015;2831775.318
ZAMACOLA_04;-16.31828834;-71.60404402;-1930754.263;2831690.622
ZAMACOLA_04;-16.31807796;-71.60436564;-1930725.539;2831656.872
ZAMACOLA_04;-16.31930449;-71.6053776;-1930856.928;2831526.247
ZAMACOLA_04;-16.32100132;-71.60634068;-1931044.154;2831395.081
ZAMACOLA_04;-16.31950262;-71.60941649;-1930829.738;2831065.684
ZAMACOLA_04;-16.31796523;-71.61175287;-1930620.026;2830820.634
ZAMACOLA_04;-16.31728324;-71.6128127;-1930526.706;2830709.272
ZAMACOLA_04;-16.31683651;-71.61361512;-1930464.229;2830624.058
ZAMACOLA_04;-16.32007608;-71.61645692;-1930809.148;2830259.929
