ident;lat;long;y_proj;x_proj
DTO_Cayma; ; ;-1.516416327;20763369.87
DTO_Cayma;-16.36657038;-71.5516004;-1937081.827;2837011.171
DTO_Cayma;-16.3667978;-71.55162;-1937108.294;2837005.989
DTO_Cayma;-16.36691495;-71.55183933;-1937119.298;2836979.593
DTO_Cayma;-16.36701804;-71.55186136;-1937131.13;2836975.753
DTO_Cayma;-16.36711602;-71.55176373;-1937143.866;2836985.549
DTO_Cayma;-16.36719485;-71.55155598;-1937155.735;2837008.082
DTO_Cayma;-16.36742595;-71.55152892;-1937183.219;2837008.142
DTO_Cayma;-16.36772303;-71.55174774;-1937215.365;2836979.463
DTO_Cayma;-16.36799872;-71.55189909;-1937245.845;2836958.712
DTO_Cayma;-16.36820947;-71.55197939;-1937269.591;2836946.863
DTO_Cayma;-16.36841134;-71.55204355;-1937292.496;2836936.96
DTO_Cayma;-16.36830001;-71.55107127;-1937291.636;2837048.663
DTO_Cayma;-16.3683664;-71.55090399;-1937301.536;2837066.768
DTO_Cayma;-16.36892367;-71.55107248;-1937364.875;2837040.408
DTO_Cayma;-16.3694164;-71.5513419;-1937419.365;2837003.443
DTO_Cayma;-16.37058949;-71.55116028;-1937559.436;2837008.768
DTO_Cayma;-16.37121354;-71.55124728;-1937631.643;2836990.779
DTO_Cayma;-16.3713626;-71.5513469;-1937647.899;2836977.542
DTO_Cayma;-16.37202082;-71.55149582;-1937723.341;2836952.087
DTO_Cayma;-16.37209851;-71.55166823;-1937730.3;2836931.526
DTO_Cayma;-16.37375314;-71.55290065;-1937909.159;2836770.237
DTO_Cayma;-16.37484808;-71.55348751;-1938030.391;2836689.438
DTO_Cayma;-16.37529014;-71.55390409;-1938077.078;2836636.446
DTO_Cayma;-16.37709969;-71.55426031;-1938285.142;2836572.496
DTO_Cayma;-16.37748964;-71.55452317;-1938327.639;2836537.614
DTO_Cayma;-16.37777711;-71.55455552;-1938360.998;2836530.202
DTO_Cayma;-16.37833074;-71.55423818;-1938430.013;2836558.976
DTO_Cayma;-16.37912475;-71.55362111;-1938531.031;2836618.605
DTO_Cayma;-16.37946292;-71.55342288;-1938573.242;2836636.678
DTO_Cayma;-16.38012456;-71.55316203;-1938654.235;2836657.639
DTO_Cayma;-16.38042277;-71.55299986;-1938691.3;2836672.144
DTO_Cayma;-16.38054907;-71.55294518;-1938706.822;2836676.699
DTO_Cayma;-16.38084031;-71.55285306;-1938742.188;2836683.351
DTO_Cayma;-16.38131414;-71.55274514;-1938799.2;2836689.417
DTO_Cayma;-16.38142558;-71.55270044;-1938812.85;2836693.034
DTO_Cayma;-16.38179554;-71.55232865;-1938860.979;2836730.371
DTO_Cayma;-16.38246622;-71.55200275;-1938943.852;2836758.588
DTO_Cayma;-16.38278607;-71.55198715;-1938981.617;2836756.19
DTO_Cayma;-16.38295756;-71.55195561;-1939002.156;2836757.533
DTO_Cayma;-16.38323244;-71.55201632;-1939033.678;2836747.068
DTO_Cayma;-16.38337786;-71.55200974;-1939050.841;2836745.92
DTO_Cayma;-16.38350817;-71.55198378;-1939066.474;2836747.166
DTO_Cayma;-16.38433287;-71.55212187;-1939161.602;2836720.766
DTO_Cayma;-16.3847088;-71.55226028;-1939204.017;2836700.175
DTO_Cayma;-16.38482784;-71.55227857;-1939217.769;2836696.55
DTO_Cayma;-16.38558845;-71.55218866;-1939308.237;2836696.836
DTO_Cayma;-16.38567713;-71.55220371;-1939318.464;2836693.975
DTO_Cayma;-16.38581234;-71.55228008;-1939333.385;2836683.553
DTO_Cayma;-16.3861123;-71.55261784;-1939364.369;2836641.349
DTO_Cayma;-16.38622325;-71.55267028;-1939376.741;2836633.958
DTO_Cayma;-16.38664681;-71.55265929;-1939426.628;2836629.686
DTO_Cayma;-16.38676832;-71.5526383;-1939441.164;2836630.483
DTO_Cayma;-16.38693636;-71.55256866;-1939461.777;2836636.19
DTO_Cayma;-16.38729039;-71.55213274;-1939508.842;2836681.003
DTO_Cayma;-16.38794828;-71.55190853;-1939588.935;2836697.852
DTO_Cayma;-16.38808512;-71.55186123;-1939605.602;2836701.432
DTO_Cayma;-16.38829863;-71.55176594;-1939631.878;2836709.454
DTO_Cayma;-16.38882027;-71.55138475;-1939697.942;2836745.877
DTO_Cayma;-16.38942009;-71.55118384;-1939770.922;2836760.84
DTO_Cayma;-16.38968201;-71.55106373;-1939803.197;2836771.045
DTO_Cayma;-16.38984129;-71.55104144;-1939822.186;2836771.497
DTO_Cayma;-16.38999779;-71.5510947;-1939839.897;2836763.419
DTO_Cayma;-16.39015105;-71.55122944;-1939856.203;2836746.144
DTO_Cayma;-16.39107079;-71.55131505;-1939963.154;2836724.451
DTO_Cayma;-16.3913096;-71.55101841;-1939994.935;2836754.972
DTO_Cayma;-16.39154084;-71.55084302;-1940024.302;2836771.844
DTO_Cayma;-16.39172236;-71.55083211;-1940045.761;2836770.716
DTO_Cayma;-16.39219522;-71.55088971;-1940100.575;2836758.021
DTO_Cayma;-16.39243734;-71.55087547;-1940129.193;2836756.481
DTO_Cayma;-16.3925882;-71.55077214;-1940148.212;2836766.229
DTO_Cayma;-16.39275175;-71.55060127;-1940169.571;2836783.471
DTO_Cayma;-16.39309188;-71.55004833;-1940216.48;2836841.729
DTO_Cayma;-16.3931526;-71.55000104;-1940224.206;2836846.3
DTO_Cayma;-16.39322386;-71.54992064;-1940233.588;2836854.487
DTO_Cayma;-16.39327942;-71.54973442;-1940242.457;2836874.875
DTO_Cayma;-16.39335403;-71.54923148;-1940257.549;2836930.927
DTO_Cayma;-16.39320857;-71.54861292;-1940248.248;2837002.955
DTO_Cayma;-16.39238496;-71.54712234;-1940170.267;2837182.696
DTO_Cayma;-16.39218958;-71.5461937;-1940159.004;2837290.534
DTO_Cayma;-16.39150007;-71.54586276;-1940082.18;2837337.047
DTO_Cayma;-16.39139538;-71.54583679;-1940070.211;2837341.356
DTO_Cayma;-16.39061558;-71.5461783;-1939974.318;2837312.8
DTO_Cayma;-16.38996627;-71.54628911;-1939896.657;2837308.7
DTO_Cayma;-16.38618305;-71.54494556;-1939469.189;2837510.353
DTO_Cayma;-16.38651461;-71.54406479;-1939519.216;2837605.899
DTO_Cayma;-16.38616691;-71.54379072;-1939481.822;2837641.508
DTO_Cayma;-16.38570856;-71.54375489;-1939428.435;2837651.545
DTO_Cayma;-16.38487595;-71.54359424;-1939332.657;2837680.613
DTO_Cayma;-16.38436297;-71.54367982;-1939271.326;2837677.595
DTO_Cayma;-16.38432326;-71.5435819;-1939267.893;2837689.216
DTO_Cayma;-16.38379144;-71.54352703;-1939206.116;2837702.369
DTO_Cayma;-16.38363336;-71.54356738;-1939187.04;2837699.854
DTO_Cayma;-16.38284549;-71.54353383;-1939094.918;2837713.926
DTO_Cayma;-16.3828222;-71.54359485;-1939091.414;2837707.311
DTO_Cayma;-16.38192392;-71.54336524;-1938988.789;2837745.053
DTO_Cayma;-16.3821696;-71.54250458;-1939028.475;2837839.443
DTO_Cayma;-16.38316697;-71.54247964;-1939145.942;2837829.273
DTO_Cayma;-16.38347417;-71.54236718;-1939183.441;2837838.021
DTO_Cayma;-16.38371318;-71.54221388;-1939213.444;2837852.288
DTO_Cayma;-16.38401828;-71.54184322;-1939253.946;2837890.342
DTO_Cayma;-16.38427659;-71.54002276;-1939307.195;2838093.401
DTO_Cayma;-16.38120917;-71.53916991;-1938957.615;2838230.092
DTO_Cayma;-16.38108853;-71.53728761;-1938967.13;2838445.11
DTO_Cayma;-16.3817997;-71.5346975;-1939083.266;2838729.55
DTO_Cayma;-16.37892293;-71.53429921;-1938750.35;2838812.22
DTO_Cayma;-16.37839082;-71.53385342;-1938693.454;2838869.71
DTO_Cayma;-16.37763902;-71.53341064;-1938610.713;2838929.722
DTO_Cayma;-16.37727679;-71.53344387;-1938567.744;2838930.675
DTO_Cayma;-16.37690713;-71.53384944;-1938519.217;2838889.502
DTO_Cayma;-16.37656507;-71.53385566;-1938478.958;2838893.255
DTO_Cayma;-16.3755385;-71.5331927;-1938366.709;2838981.818
DTO_Cayma;-16.37496006;-71.53315029;-1938299.295;2838994.166
DTO_Cayma;-16.37403552;-71.53359394;-1938185.107;2838955.904
DTO_Cayma;-16.3729231;-71.53457075;-1938042.142;2838859.627
DTO_Cayma;-16.37126813;-71.53526182;-1937839.042;2838802.822
DTO_Cayma;-16.37022185;-71.53506524;-1937718.61;2838838.747
