ident;lat;long;y_proj;x_proj
DTO_JLByR; ; ;-1.516416327;20763369.87
DTO_JLByR;-16.43551204;-71.53417677;-1945399.059;2838087.189
DTO_JLByR;-16.43547537;-71.5338538;-1945398.828;2838124.279
DTO_JLByR;-16.43536074;-71.5335939;-1945388.644;2838155.241
DTO_JLByR;-16.43530869;-71.53348151;-1945383.95;2838168.661
DTO_JLByR;-16.43516591;-71.53293037;-1945374.136;2838233.005
DTO_JLByR;-16.43463351;-71.53136661;-1945331.34;2838417.237
DTO_JLByR;-16.43539406;-71.53107687;-1945424.332;2838440.133
DTO_JLByR;-16.43545765;-71.53079142;-1945435.405;2838471.66
DTO_JLByR;-16.43607717;-71.53052036;-1945511.596;2838494.283
DTO_JLByR;-16.43632869;-71.53029085;-1945544.038;2838517.01
DTO_JLByR;-16.43672803;-71.52938912;-1945602.331;2838614.005
DTO_JLByR;-16.43714187;-71.52854902;-1945661.55;2838703.825
DTO_JLByR;-16.43728047;-71.52823488;-1945681.797;2838737.623
DTO_JLByR;-16.4373905;-71.52780213;-1945700.186;2838785.239
DTO_JLByR;-16.43750769;-71.52736156;-1945719.516;2838833.649
DTO_JLByR;-16.43844416;-71.52779164;-1945824.085;2838772.642
DTO_JLByR;-16.43859659;-71.52786037;-1945841.122;2838762.855
DTO_JLByR;-16.4384145;-71.52831624;-1945813.975;2838713.561
DTO_JLByR;-16.43854957;-71.52833154;-1945829.648;2838710.059
DTO_JLByR;-16.43980675;-71.52782379;-1945983.732;2838751.166
DTO_JLByR;-16.43959683;-71.52717875;-1945967.221;2838827.034
DTO_JLByR;-16.44035101;-71.5260079;-1946070.598;2838949.89
DTO_JLByR;-16.44034931;-71.52595961;-1946071.009;2838955.387
DTO_JLByR;-16.44027787;-71.52572968;-1946065.522;2838982.386
DTO_JLByR;-16.44121525;-71.52541162;-1946179.648;2839006.173
DTO_JLByR;-16.44164146;-71.52524062;-1946231.872;2839019.977
DTO_JLByR;-16.44222347;-71.52502669;-1946302.94;2839036.609
