ident;lat;long;y_proj;x_proj
DTO_Miraflores; ; ;-1.516416327;20763369.87
DTO_Miraflores;-16.39113674;-71.52819392;-1940261.967;2839345.241
DTO_Miraflores;-16.39114495;-71.52844408;-1940259.782;2839316.767
DTO_Miraflores;-16.39120111;-71.52890345;-1940260.592;2839263.944
DTO_Miraflores;-16.39120985;-71.52917121;-1940258.245;2839233.467
DTO_Miraflores;-16.39126208;-71.52953826;-1940259.758;2839191.164
DTO_Miraflores;-16.39128828;-71.52972249;-1940260.514;2839169.932
DTO_Miraflores;-16.39128827;-71.52973054;-1940260.413;2839169.02
DTO_Miraflores;-16.39136811;-71.52999968;-1940266.401;2839137.458
DTO_Miraflores;-16.39147975;-71.53023323;-1940276.573;2839109.518
DTO_Miraflores;-16.39173729;-71.53065149;-1940301.557;2839058.73
DTO_Miraflores;-16.39345043;-71.53057706;-1940503.735;2839044.815
DTO_Miraflores;-16.39362478;-71.53059011;-1940524.051;2839041.06
DTO_Miraflores;-16.39538468;-71.53123009;-1940722.721;2838945.525
DTO_Miraflores;-16.39561751;-71.53046434;-1940759.718;2839029.314
DTO_Miraflores;-16.3962411;-71.5296808;-1940842.842;2839110.021
DTO_Miraflores;-16.3963201;-71.52944613;-1940855.079;2839135.599
DTO_Miraflores;-16.39629839;-71.52835547;-1940866.271;2839259.554
DTO_Miraflores;-16.3963455;-71.52827656;-1940872.799;2839267.886
DTO_Miraflores;-16.39649836;-71.52833406;-1940890.03;2839259.371
DTO_Miraflores;-16.39705408;-71.52893486;-1940947.741;2839183.991
DTO_Miraflores;-16.39730474;-71.52928787;-1940972.737;2839140.692
DTO_Miraflores;-16.39804481;-71.53031931;-1941046.675;2839014.077
DTO_Miraflores;-16.39849292;-71.53070627;-1941094.437;2838964.351
DTO_Miraflores;-16.39890805;-71.5310228;-1941139.213;2838923.042
DTO_Miraflores;-16.39909665;-71.53124204;-1941158.605;2838895.721
DTO_Miraflores;-16.39900213;-71.53144694;-1941144.921;2838873.722
DTO_Miraflores;-16.3997713;-71.53175925;-1941231.337;2838828.269
DTO_Miraflores;-16.40005646;-71.53147921;-1941268.363;2838856.299
DTO_Miraflores;-16.40111944;-71.53074962;-1941402.421;2838925.148
DTO_Miraflores;-16.4019451;-71.52990563;-1941510.045;2839010.065
DTO_Miraflores;-16.40241631;-71.52944869;-1941571.157;2839055.722
DTO_Miraflores;-16.40381223;-71.52808433;-1941752.33;2839192.192
DTO_Miraflores;-16.40396915;-71.52779481;-1941774.412;2839222.971
DTO_Miraflores;-16.40430686;-71.52739523;-1941819.12;2839263.867
DTO_Miraflores;-16.4029311;-71.52579071;-1941677.738;2839463.766
DTO_Miraflores;-16.40081406;-71.52317157;-1941462.067;2839788.399
DTO_Miraflores;-16.39994787;-71.52211314;-1941373.657;2839919.729
DTO_Miraflores;-16.39977054;-71.52187419;-1941355.838;2839949.14
