ident;lat;long;y_proj;x_proj
DTO_Pedregal; ; ;-1.516416327;20763369.87
DTO_Pedregal;-16.38917112;-72.27752085;-1930792.758;2754577.586
DTO_Pedregal;-16.39359362;-72.27124806;-1931385.817;2755230.659
DTO_Pedregal;-16.39567735;-72.271644;-1931624.804;2755159.889
DTO_Pedregal;-16.39978621;-72.27542987;-1932059.771;2754680.997
DTO_Pedregal;-16.40480112;-72.27999694;-1932591.284;2754102.584
DTO_Pedregal;-16.42290708;-72.27246207;-1934800.339;2754726.718
DTO_Pedregal;-16.4327134;-72.27061594;-1935969.814;2754812.28
DTO_Pedregal;-16.43418512;-72.27330496;-1936109.45;2754490.253
DTO_Pedregal;-16.4360344;-72.28470191;-1936187.957;2753180.471
DTO_Pedregal;-16.44506593;-72.28865973;-1937196.519;2752620.559
DTO_Pedregal;-16.4626047;-72.29540317;-1939166.361;2751639.611
DTO_Pedregal;-16.47029778;-72.27293905;-1940338.198;2754078.486
DTO_Pedregal;-16.47388535;-72.25619907;-1940960.85;2755922.89
DTO_Pedregal;-16.4682597;-72.24810374;-1940400.95;2756907.444
DTO_Pedregal;-16.44546729;-72.24132236;-1937816.643;2757959.541
DTO_Pedregal;-16.43794065;-72.23751473;-1936982.197;2758484.02
DTO_Pedregal;-16.43869011;-72.23067145;-1937152.864;2759247.321
DTO_Pedregal;-16.44681043;-72.21204386;-1938329.119;2761248.636
DTO_Pedregal;-16.42809246;-72.1838982;-1936480.61;2764663.048
DTO_Pedregal;-16.39540026;-72.16841809;-1932842.256;2766823.371
DTO_Pedregal;-16.36508942;-72.15770674;-1929424.176;2768414.912
DTO_Pedregal;-16.35798687;-72.15032081;-1928682.324;2769338.941
DTO_Pedregal;-16.34674483;-72.14659506;-1927411.406;2769901.319
DTO_Pedregal;-16.34023178;-72.14441389;-1926675.35;2770229.683
DTO_Pedregal;-16.33622079;-72.14170098;-1926238.654;2770586.735
DTO_Pedregal;-16.32662609;-72.13732799;-1925168.328;2771201.581
DTO_Pedregal;-16.32285632;-72.13549389;-1924749.186;2771456.266
DTO_Pedregal;-16.31946416;-72.13437459;-1924365.584;2771625.393
DTO_Pedregal;-16.31435596;-72.13288878;-1923785.494;2771857.493
