ident;lat;long;y_proj;x_proj
DTO_Socabaya; ; ;-1.516416327;20763369.87
DTO_Socabaya;-16.43246313;-71.53764904;-1944997.119;2837733.447
DTO_Socabaya;-16.43263678;-71.53812896;-1945011.46;2837676.774
DTO_Socabaya;-16.43291202;-71.53844447;-1945039.807;2837637.41
DTO_Socabaya;-16.43338778;-71.53882739;-1945090.858;2837587.783
DTO_Socabaya;-16.43375016;-71.53898254;-1945131.464;2837565.459
DTO_Socabaya;-16.43511497;-71.53946281;-1945285.709;2837493.173
DTO_Socabaya;-16.43548219;-71.53963339;-1945326.689;2837469.036
DTO_Socabaya;-16.43579354;-71.53986575;-1945360.327;2837438.626
DTO_Socabaya;-16.43612595;-71.53995429;-1945398.253;2837424.243
DTO_Socabaya;-16.43636313;-71.53990513;-1945426.731;2837426.715
DTO_Socabaya;-16.43661183;-71.53980393;-1945457.218;2837434.935
DTO_Socabaya;-16.43681395;-71.53943862;-1945485.569;2837473.701
DTO_Socabaya;-16.43682176;-71.53935863;-1945487.495;2837482.666
DTO_Socabaya;-16.43675319;-71.53876825;-1945486.892;2837550.484
DTO_Socabaya;-16.43654107;-71.53783417;-1945473.766;2837659.14
DTO_Socabaya;-16.43652201;-71.53763325;-1945474.062;2837682.165
DTO_Socabaya;-16.43668625;-71.53699268;-1945501.438;2837752.629
DTO_Socabaya;-16.43730778;-71.53718147;-1945572.058;2837723.101
DTO_Socabaya;-16.43904658;-71.53759836;-1945771.03;2837653.103
DTO_Socabaya;-16.4405719;-71.53779559;-1945947.698;2837610.796
DTO_Socabaya;-16.44251947;-71.53815249;-1946171.947;2837544.865
DTO_Socabaya;-16.4435903;-71.53835494;-1946295.165;2837507.91
DTO_Socabaya;-16.44476387;-71.53857533;-1946430.225;2837467.576
DTO_Socabaya;-16.44550871;-71.53874405;-1946515.579;2837438.707
DTO_Socabaya;-16.4462683;-71.53892804;-1946602.473;2837407.914
DTO_Socabaya;-16.44808942;-71.53937939;-1946810.672;2837332.927
DTO_Socabaya;-16.44835608;-71.5419177;-1946809.943;2837041.735
DTO_Socabaya;-16.44850641;-71.5436387;-1946805.873;2836844.705
DTO_Socabaya;-16.44858706;-71.54460286;-1946803.174;2836734.371
DTO_Socabaya;-16.44835101;-71.54493378;-1946771.273;2836699.951
DTO_Socabaya;-16.447811;-71.54545938;-1946701.215;2836647.442
DTO_Socabaya;-16.44755466;-71.54587279;-1946665.889;2836603.938
DTO_Socabaya;-16.44718642;-71.54730036;-1946604.621;2836446.951
DTO_Socabaya;-16.44772568;-71.54718435;-1946669.422;2836453.048
DTO_Socabaya;-16.44839417;-71.54698594;-1946750.439;2836466.793
DTO_Socabaya;-16.44886095;-71.54695761;-1946805.619;2836463.899
DTO_Socabaya;-16.44925947;-71.54700137;-1946851.873;2836453.726
DTO_Socabaya;-16.44948617;-71.5471192;-1946877.01;2836437.406
