ident;lat;long;y_proj;x_proj
DTO_Yanahuara; ; ;-1.516416327;20763369.87
DTO_Yanahuara;-16.41582714;-71.55006456;-1942886.613;2836543.338
DTO_Yanahuara;-16.41577155;-71.5497375;-1942884.205;2836581.14
DTO_Yanahuara;-16.41580113;-71.54954324;-1942890.126;2836602.775
DTO_Yanahuara;-16.41583399;-71.54941427;-1942895.611;2836616.967
DTO_Yanahuara;-16.41584597;-71.54914799;-1942900.372;2836646.997
DTO_Yanahuara;-16.41579137;-71.54894445;-1942896.524;2836670.784
DTO_Yanahuara;-16.41581913;-71.54874062;-1942902.352;2836693.529
DTO_Yanahuara;-16.41589569;-71.548581;-1942913.355;2836710.623
DTO_Yanahuara;-16.41592826;-71.54838132;-1942919.697;2836732.835
DTO_Yanahuara;-16.41464539;-71.54722991;-1942783.526;2836880.111
DTO_Yanahuara;-16.41271204;-71.54562531;-1942576.661;2837087.254
DTO_Yanahuara;-16.41215194;-71.54515504;-1942516.799;2837147.88
DTO_Yanahuara;-16.4082061;-71.54198412;-1942093.282;2837558.874
DTO_Yanahuara;-16.40574357;-71.54008851;-1941827.917;2837805.93
DTO_Yanahuara;-16.40667495;-71.53946321;-1941945.195;2837864.667
DTO_Yanahuara;-16.40683119;-71.53937747;-1941964.627;2837872.35
DTO_Yanahuara;-16.40763292;-71.53865758;-1942067.87;2837943.501
DTO_Yanahuara;-16.40704039;-71.53840002;-1942001.516;2837980.438
DTO_Yanahuara;-16.40732889;-71.53796968;-1942040.826;2838025.462
DTO_Yanahuara;-16.40586238;-71.53568649;-1941897.337;2838303.471
DTO_Yanahuara;-16.40591633;-71.53559573;-1941904.818;2838313.057
DTO_Yanahuara;-16.40593316;-71.53550712;-1941907.912;2838322.884
DTO_Yanahuara;-16.40592489;-71.5354321;-1941907.886;2838331.497
DTO_Yanahuara;-16.40588285;-71.53537083;-1941903.72;2838338.993
DTO_Yanahuara;-16.40577256;-71.5353405;-1941891.147;2838343.872
DTO_Yanahuara;-16.40569908;-71.53532788;-1941882.675;2838346.262
DTO_Yanahuara;-16.40563728;-71.53534907;-1941875.149;2838344.667
DTO_Yanahuara;-16.40494234;-71.53434275;-1941806.201;2838467.836
DTO_Yanahuara;-16.40510737;-71.53385257;-1941831.762;2838521.259
DTO_Yanahuara;-16.40091839;-71.53224527;-1941359.958;2838758.187
DTO_Yanahuara;-16.39897542;-71.5314553;-1941141.678;2838873.122
DTO_Yanahuara;-16.399067;-71.53123505;-1941155.21;2838896.9
DTO_Yanahuara;-16.39889657;-71.53104376;-1941137.601;2838920.815
DTO_Yanahuara;-16.39847372;-71.53072028;-1941092.006;2838963.013
DTO_Yanahuara;-16.39802792;-71.5303379;-1941044.457;2839012.19
DTO_Yanahuara;-16.39703204;-71.52894327;-1940945.045;2839183.326
DTO_Yanahuara;-16.39648936;-71.52834797;-1940888.798;2839257.911
DTO_Yanahuara;-16.39635392;-71.5282942;-1940873.566;2839265.776
DTO_Yanahuara;-16.39631842;-71.52836192;-1940868.542;2839258.561
DTO_Yanahuara;-16.39633651;-71.5294493;-1940856.966;2839135.025
DTO_Yanahuara;-16.39625724;-71.52968537;-1940844.68;2839109.292
DTO_Yanahuara;-16.39563575;-71.53047349;-1940761.746;2839028.039
DTO_Yanahuara;-16.39539386;-71.53127792;-1940723.197;2838939.982
DTO_Yanahuara;-16.39488535;-71.53285946;-1940643.541;2838767.288
DTO_Yanahuara;-16.39435939;-71.53441117;-1940562.214;2838598.204
DTO_Yanahuara;-16.39393455;-71.53565789;-1940496.609;2838462.384
