ident;lat;long;y_proj;x_proj
MR_Buenos_Aires; ; ;-1.516416327;20763369.87
MR_Buenos_Aires;-16.36458217;-71.55093892;-1936856.605;2837112.056
MR_Buenos_Aires;-16.36399042;-71.55090953;-1936787.467;2837123.089
MR_Buenos_Aires;-16.36376717;-71.55090155;-1936761.345;2837126.899
MR_Buenos_Aires;-16.36318725;-71.55071933;-1936695.516;2837155.109
MR_Buenos_Aires;-16.36288552;-71.55080997;-1936658.937;2837148.756
MR_Buenos_Aires;-16.36244251;-71.55075408;-1936607.604;2837160.859
MR_Buenos_Aires;-16.36203514;-71.55086195;-1936558.399;2837153.926
MR_Buenos_Aires;-16.3618401;-71.55094007;-1936534.509;2837147.605
MR_Buenos_Aires;-16.36171409;-71.5508923;-1936520.307;2837154.662
MR_Buenos_Aires;-16.36138943;-71.55067706;-1936484.876;2837183.295
MR_Buenos_Aires;-16.36085704;-71.5506279;-1936422.959;2837195.796
MR_Buenos_Aires;-16.36025389;-71.55082011;-1936349.698;2837181.846
MR_Buenos_Aires;-16.36009494;-71.55071539;-1936332.344;2837195.79
MR_Buenos_Aires;-16.36003699;-71.55053576;-1936327.793;2837216.914
MR_Buenos_Aires;-16.35998642;-71.55039524;-1936323.618;2837233.507
MR_Buenos_Aires;-16.35977851;-71.55044645;-1936298.554;2837230.405
MR_Buenos_Aires;-16.35938291;-71.55048569;-1936251.594;2837231.101
MR_Buenos_Aires;-16.35895984;-71.55046048;-1936202.216;2837239.464
MR_Buenos_Aires;-16.35878886;-71.55039088;-1936183.006;2837249.582
MR_Buenos_Aires;-16.35882969;-71.54995207;-1936193.314;2837298.813
MR_Buenos_Aires;-16.35815614;-71.54975294;-1936116.699;2837330.158
MR_Buenos_Aires;-16.35695461;-71.54935422;-1935980.573;2837391.005
MR_Buenos_Aires;-16.35635942;-71.54938153;-1935910.318;2837395.651
MR_Buenos_Aires;-16.35617084;-71.5490807;-1935891.945;2837432.22
MR_Buenos_Aires;-16.35615927;-71.54889216;-1935892.954;2837453.752
