ident;lat;long;y_proj;x_proj
MR_Ciudad_de_Dios; ; ;-1.516416327;20763369.87
MR_Ciudad_de_Dios;-16.38371302;-71.65879911;-1937751.406;2824636.864
MR_Ciudad_de_Dios;-16.3832064;-71.65827376;-1937698.503;2824702.955
MR_Ciudad_de_Dios;-16.38283353;-71.65792156;-1937659.136;2824747.694
MR_Ciudad_de_Dios;-16.3817417;-71.65724351;-1937539.445;2824838.666
MR_Ciudad_de_Dios;-16.37427539;-71.65365543;-1936707.83;2825341.934
MR_Ciudad_de_Dios;-16.37316046;-71.65288717;-1936586.548;2825443.431
MR_Ciudad_de_Dios;-16.37248472;-71.6523579;-1936513.837;2825512.159
MR_Ciudad_de_Dios;-16.37213193;-71.65201159;-1936476.749;2825555.973
MR_Ciudad_de_Dios;-16.37138796;-71.65103867;-1936401.571;2825675.864
MR_Ciudad_de_Dios;-16.37081054;-71.64997483;-1936347.081;2825803.905
MR_Ciudad_de_Dios;-16.37037728;-71.64893013;-1936309.274;2825927.912
MR_Ciudad_de_Dios;-16.36669586;-71.63768559;-1936017.637;2827250.011
MR_Ciudad_de_Dios;-16.36624363;-71.63806099;-1935959.851;2827213.319
MR_Ciudad_de_Dios;-16.36561792;-71.6381614;-1935885.136;2827210.04
MR_Ciudad_de_Dios;-16.36509664;-71.63783431;-1935828.027;2827253.865
MR_Ciudad_de_Dios;-16.36509065;-71.63778716;-1935827.913;2827259.286
MR_Ciudad_de_Dios;-16.36474465;-71.63744319;-1935791.593;2827302.753
MR_Ciudad_de_Dios;-16.36450852;-71.63731186;-1935765.511;2827320.697
MR_Ciudad_de_Dios;-16.36384321;-71.63747236;-1935685.396;2827311.119
MR_Ciudad_de_Dios;-16.36355397;-71.63776891;-1935647.733;2827281.252
MR_Ciudad_de_Dios;-16.36320632;-71.63792839;-1935604.924;2827267.677
MR_Ciudad_de_Dios;-16.36291147;-71.63764331;-1935573.872;2827303.808
MR_Ciudad_de_Dios;-16.36260311;-71.63749912;-1935539.472;2827324.143
MR_Ciudad_de_Dios;-16.36230957;-71.63761123;-1935503.608;2827315.237
MR_Ciudad_de_Dios;-16.361993;-71.63749162;-1935467.937;2827332.892
MR_Ciudad_de_Dios;-16.36155903;-71.63709646;-1935421.927;2827383.301
MR_Ciudad_de_Dios;-16.36019725;-71.6367485;-1935266.399;2827440.371
MR_Ciudad_de_Dios;-16.35969963;-71.63663981;-1935209.335;2827459.134
MR_Ciudad_de_Dios;-16.35838302;-71.63573526;-1935066.066;2827578.708
MR_Ciudad_de_Dios;-16.35733586;-71.63516401;-1934950.264;2827657.015
MR_Ciudad_de_Dios;-16.35672381;-71.63449039;-1934886.825;2827741.295
MR_Ciudad_de_Dios;-16.35623767;-71.63440349;-1934830.836;2827757.439
MR_Ciudad_de_Dios;-16.3557938;-71.63402178;-1934783.494;2827806.452
MR_Ciudad_de_Dios;-16.35515338;-71.63373493;-1934711.89;2827847.257
MR_Ciudad_de_Dios;-16.35452802;-71.6339696;-1934635.536;2827828.751
MR_Ciudad_de_Dios;-16.35382913;-71.63372804;-1934556.501;2827865.18
MR_Ciudad_de_Dios;-16.35314139;-71.63358603;-1934477.531;2827890.179
MR_Ciudad_de_Dios;-16.35210141;-71.6331399;-1934361.005;2827954.211
MR_Ciudad_de_Dios;-16.35138009;-71.63291345;-1934279.147;2827989.216
MR_Ciudad_de_Dios;-16.35035715;-71.63295698;-1934158.502;2827997.521
