ident;lat;long;y_proj;x_proj
MR_15_de_Agosto; ; ;-1.516416327;20763369.87
MR_15_de_Agosto;-16.41240974;-71.51218937;-1942962.806;2840882.125
MR_15_de_Agosto;-16.41311931;-71.51134248;-1943056.855;2840968.872
MR_15_de_Agosto;-16.41350321;-71.51073541;-1943109.618;2841032.687
MR_15_de_Agosto;-16.41392612;-71.5101115;-1943167.178;2841097.9
MR_15_de_Agosto;-16.41485058;-71.50869452;-1943293.674;2841246.478
MR_15_de_Agosto;-16.41614183;-71.50681695;-1943469.08;2841442.481
MR_15_de_Agosto;-16.41689003;-71.50565054;-1943571.71;2841564.95
MR_15_de_Agosto;-16.41766322;-71.50452284;-1943676.79;2841682.702
MR_15_de_Agosto;-16.41836802;-71.50347551;-1943772.822;2841792.235
MR_15_de_Agosto;-16.41898316;-71.50254887;-1943856.796;2841889.255
MR_15_de_Agosto;-16.41964678;-71.50153602;-1943947.558;2841995.416
MR_15_de_Agosto;-16.42029884;-71.50058754;-1944036.149;2842094.428
MR_15_de_Agosto;-16.42125764;-71.49916073;-1944166.824;2842243.661
MR_15_de_Agosto;-16.42000237;-71.49775157;-1944037.157;2842419.887
MR_15_de_Agosto;-16.4197078;-71.49714212;-1944010.252;2842492.851
MR_15_de_Agosto;-16.41827979;-71.49528801;-1943865.913;2842721.797
MR_15_de_Agosto;-16.41749389;-71.4942727;-1943786.411;2842847.221
MR_15_de_Agosto;-16.41686465;-71.49347169;-1943722.606;2842946.293
MR_15_de_Agosto;-16.41646594;-71.4926059;-1943686.704;2843049.695
MR_15_de_Agosto;-16.41610457;-71.4920875;-1943650.799;2843113.213
MR_15_de_Agosto;-16.41582464;-71.49192705;-1943619.938;2843135.074
MR_15_de_Agosto;-16.41560162;-71.49175378;-1943595.926;2843157.643
MR_15_de_Agosto;-16.41540593;-71.49152865;-1943575.78;2843185.735
MR_15_de_Agosto;-16.41520352;-71.49109913;-1943557.427;2843237.094
MR_15_de_Agosto;-16.41480767;-71.49085665;-1943513.983;2843269.775
MR_15_de_Agosto;-16.41468431;-71.4906312;-1943502.339;2843296.957
MR_15_de_Agosto;-16.41458605;-71.49041661;-1943493.506;2843322.579
MR_15_de_Agosto;-16.41427502;-71.49011237;-1943460.809;2843361.153
MR_15_de_Agosto;-16.41404199;-71.48987812;-1943436.39;2843390.77
MR_15_de_Agosto;-16.41377498;-71.4894153;-1943410.869;2843446.751
MR_15_de_Agosto;-16.41364317;-71.48930082;-1943396.829;2843461.46
MR_15_de_Agosto;-16.41355734;-71.48918595;-1943388.197;2843475.61
MR_15_de_Agosto;-16.41349742;-71.48900718;-1943383.417;2843496.668
MR_15_de_Agosto;-16.41347775;-71.48883262;-1943383.311;2843516.722
MR_15_de_Agosto;-16.41341109;-71.48859597;-1943378.471;2843544.431
MR_15_de_Agosto;-16.41355865;-71.48822402;-1943400.51;2843584.68
MR_15_de_Agosto;-16.41358394;-71.4879338;-1943407.149;2843617.261
MR_15_de_Agosto;-16.41347453;-71.48707958;-1943405.094;2843715.565
MR_15_de_Agosto;-16.41337719;-71.4868577;-1943396.461;2843742.003
MR_15_de_Agosto;-16.41314148;-71.48656275;-1943372.495;2843778.54
MR_15_de_Agosto;-16.41297133;-71.4863512;-1943355.178;2843804.759
MR_15_de_Agosto;-16.41280075;-71.48626457;-1943336.231;2843816.818
MR_15_de_Agosto;-16.41270787;-71.48597023;-1943329.039;2843851.413
MR_15_de_Agosto;-16.41268138;-71.48566872;-1943329.738;2843885.954
MR_15_de_Agosto;-16.41278388;-71.48521092;-1943347.569;2843936.529
MR_15_de_Agosto;-16.41289366;-71.48471441;-1943366.745;2843991.398
MR_15_de_Agosto;-16.41286471;-71.48371023;-1943376.04;2844105.658
MR_15_de_Agosto;-16.41258466;-71.4831773;-1943349.872;2844169.765
MR_15_de_Agosto;-16.41230335;-71.48268008;-1943323.106;2844229.839
MR_15_de_Agosto;-16.41226299;-71.4823133;-1943323.002;2844271.964
MR_15_de_Agosto;-16.41267772;-71.48152104;-1943381.749;2844356.38
MR_15_de_Agosto;-16.41270777;-71.4811306;-1943390.217;2844400.266
MR_15_de_Agosto;-16.41256661;-71.48076525;-1943378.251;2844443.55
MR_15_de_Agosto;-16.41244246;-71.48035449;-1943368.858;2844491.76
MR_15_de_Agosto;-16.41232136;-71.48001708;-1943358.895;2844531.612
MR_15_de_Agosto;-16.41221403;-71.47970005;-1943350.293;2844568.973
MR_15_de_Agosto;-16.41184122;-71.47915171;-1943313.422;2844636.045
MR_15_de_Agosto;-16.41154993;-71.47893513;-1943281.936;2844664.424
MR_15_de_Agosto;-16.41139749;-71.47881696;-1943265.518;2844679.823
MR_15_de_Agosto;-16.41102466;-71.47833118;-1943227.854;2844739.801
MR_15_de_Agosto;-16.41109178;-71.47759688;-1943245.027;2844822.2
MR_15_de_Agosto;-16.41114407;-71.47704675;-1943258.128;2844883.907
MR_15_de_Agosto;-16.41045764;-71.47604301;-1943190.167;2845006.739
MR_15_de_Agosto;-16.41046455;-71.47541536;-1943198.917;2845077.834
MR_15_de_Agosto;-16.41040547;-71.47464252;-1943201.749;2845166.259
MR_15_de_Agosto;-16.41021057;-71.47401306;-1943186.811;2845240.203
MR_15_de_Agosto;-16.41019228;-71.47350986;-1943191.025;2845297.514
MR_15_de_Agosto;-16.41054581;-71.47269786;-1943242.839;2845384.975
MR_15_de_Agosto;-16.41020739;-71.47227628;-1943208.406;2845437.224
MR_15_de_Agosto;-16.41007312;-71.47176496;-1943199.097;2845496.976
MR_15_de_Agosto;-16.41038873;-71.4711048;-1943244.533;2845567.713
MR_15_de_Agosto;-16.41041016;-71.4706437;-1943252.885;2845619.729
MR_15_de_Agosto;-16.41012615;-71.47056304;-1943220.533;2845632.599
MR_15_de_Agosto;-16.40996668;-71.46971967;-1943212.464;2845730.344
MR_15_de_Agosto;-16.40996305;-71.46889445;-1943222.478;2845823.987
MR_15_de_Agosto;-16.40995944;-71.46791216;-1943234.483;2845935.444
MR_15_de_Agosto;-16.40940557;-71.46743353;-1943175.454;2845996.992
MR_15_de_Agosto;-16.40870079;-71.46749023;-1943091.92;2845999.799
MR_15_de_Agosto;-16.40799746;-71.46769673;-1943006.661;2845985.596
MR_15_de_Agosto;-16.40744775;-71.46781228;-1942940.604;2845979.696
MR_15_de_Agosto;-16.40679116;-71.46736966;-1942869.049;2846038.506
MR_15_de_Agosto;-16.40651586;-71.46732331;-1942837.285;2846047.37
MR_15_de_Agosto;-16.405322;-71.46829141;-1942684.75;2845953.213
MR_15_de_Agosto;-16.40472455;-71.46735804;-1942626.351;2846066.909
MR_15_de_Agosto;-16.40467574;-71.46706309;-1942624.347;2846101.003
MR_15_de_Agosto;-16.40374912;-71.46539763;-1942536.528;2846302.052
MR_15_de_Agosto;-16.40289858;-71.46432886;-1942450.103;2846434.426
MR_15_de_Agosto;-16.40236906;-71.46361641;-1942396.891;2846522.178
MR_15_de_Agosto;-16.40169682;-71.46415273;-1942311.111;2846470.155
MR_15_de_Agosto;-16.40196121;-71.46464749;-1942335.921;2846410.57
MR_15_de_Agosto;-16.40201696;-71.46498756;-1942338.17;2846371.266
MR_15_de_Agosto;-16.40192151;-71.46516583;-1942324.698;2846352.296
MR_15_de_Agosto;-16.40199092;-71.46544433;-1942329.332;2846319.797
MR_15_de_Agosto;-16.40219556;-71.46565616;-1942350.699;2846293.088
MR_15_de_Agosto;-16.40227787;-71.46579529;-1942358.612;2846276.229
MR_15_de_Agosto;-16.40236246;-71.46597325;-1942366.301;2846254.934
MR_15_de_Agosto;-16.40230006;-71.4661751;-1942356.415;2846232.856
MR_15_de_Agosto;-16.40227953;-71.46637333;-1942351.495;2846210.642
MR_15_de_Agosto;-16.40237127;-71.46661862;-1942359.172;2846181.617
MR_15_de_Agosto;-16.40250301;-71.4668041;-1942372.308;2846158.852
MR_15_de_Agosto;-16.40251672;-71.46681046;-1942373.838;2846157.951
MR_15_de_Agosto;-16.4025989;-71.46700577;-1942381.025;2846134.722
MR_15_de_Agosto;-16.40276685;-71.46720332;-1942398.262;2846110.113
MR_15_de_Agosto;-16.4028733;-71.46762151;-1942405.481;2846061.284
MR_15_de_Agosto;-16.40288144;-71.46820234;-1942399.091;2845995.297
MR_15_de_Agosto;-16.40284336;-71.46863341;-1942389.164;2845946.903
MR_15_de_Agosto;-16.40295506;-71.4689472;-1942398.321;2845909.847
MR_15_de_Agosto;-16.40298806;-71.4692055;-1942398.933;2845880.117
MR_15_de_Agosto;-16.40311744;-71.46975246;-1942407.218;2845816.384
MR_15_de_Agosto;-16.40311214;-71.47012999;-1942401.82;2845773.632
MR_15_de_Agosto;-16.40315117;-71.47052042;-1942401.469;2845728.837
MR_15_de_Agosto;-16.40315121;-71.47053258;-1942401.319;2845727.458
MR_15_de_Agosto;-16.40315174;-71.47072712;-1942398.922;2845705.386
MR_15_de_Agosto;-16.40304404;-71.47085612;-1942384.635;2845692.165
MR_15_de_Agosto;-16.40296072;-71.47098026;-1942373.274;2845679.176
MR_15_de_Agosto;-16.40291577;-71.47115403;-1942365.795;2845660.055
MR_15_de_Agosto;-16.4029229;-71.47138213;-1942363.749;2845634.091
MR_15_de_Agosto;-16.40301384;-71.47153742;-1942372.47;2845615.285
MR_15_de_Agosto;-16.40309082;-71.47162463;-1942380.413;2845604.386
MR_15_de_Agosto;-16.40307843;-71.4717537;-1942377.326;2845589.909
