ident;lat;long;y_proj;x_proj
MR_Mariano_Melgar; ; ;-1.516416327;20763369.87
MR_Mariano_Melgar;-16.39334399;-71.50431862;-1940822.253;2842023.917
MR_Mariano_Melgar;-16.39354521;-71.50497882;-1940837.565;2841946.416
MR_Mariano_Melgar;-16.39354453;-71.50572522;-1940828.069;2841861.777
MR_Mariano_Melgar;-16.39420443;-71.50662898;-1940894.196;2841750.66
MR_Mariano_Melgar;-16.39452393;-71.50760507;-1940919.419;2841635.791
MR_Mariano_Melgar;-16.39518134;-71.50900352;-1940979.015;2841468.608
MR_Mariano_Melgar;-16.39602876;-71.50977958;-1941068.782;2841369.528
MR_Mariano_Melgar;-16.3977758;-71.51085836;-1941260.419;2841224.361
MR_Mariano_Melgar;-16.39855236;-71.51106048;-1941349.1;2841191.293
MR_Mariano_Melgar;-16.39865339;-71.51112695;-1941360.13;2841182.435
MR_Mariano_Melgar;-16.39961453;-71.5118695;-1941463.679;2841085.669
MR_Mariano_Melgar;-16.39980946;-71.51231149;-1941481.004;2841033.001
MR_Mariano_Melgar;-16.40092582;-71.51361885;-1941595.661;2840870.16
MR_Mariano_Melgar;-16.40118593;-71.51384994;-1941623.303;2840840.557
MR_Mariano_Melgar;-16.40225682;-71.51524229;-1941731.546;2840668.675
MR_Mariano_Melgar;-16.40208634;-71.51547817;-1941708.542;2840644.155
MR_Mariano_Melgar;-16.40281738;-71.51635509;-1941783.362;2840535.165
MR_Mariano_Melgar;-16.40154751;-71.51834689;-1941609.063;2840325.899
MR_Mariano_Melgar;-16.39998786;-71.52075338;-1941395.498;2840073.394
MR_Mariano_Melgar;-16.39945002;-71.52157635;-1941321.94;2839987.1
MR_Mariano_Melgar;-16.39957517;-71.52166081;-1941335.577;2839975.888
MR_Mariano_Melgar;-16.39978557;-71.52185167;-1941357.887;2839951.497
MR_Mariano_Melgar;-16.40064393;-71.52292265;-1941445.219;2839818.846
MR_Mariano_Melgar;-16.40189065;-71.5244573;-1941572.326;2839628.548
MR_Mariano_Melgar;-16.40434349;-71.52739221;-1941823.461;2839263.73
MR_Mariano_Melgar;-16.40399384;-71.52781014;-1941777.12;2839220.91
MR_Mariano_Melgar;-16.40383196;-71.52809465;-1941754.518;2839190.765
MR_Mariano_Melgar;-16.40366969;-71.52825643;-1941733.417;2839174.54
MR_Mariano_Melgar;-16.40337087;-71.5285444;-1941694.685;2839145.791
MR_Mariano_Melgar;-16.40303194;-71.52888015;-1941650.639;2839112.147
MR_Mariano_Melgar;-16.40253195;-71.52936131;-1941585.842;2839064.12
MR_Mariano_Melgar;-16.40128583;-71.5306066;-1941423.769;2838939.191
MR_Mariano_Melgar;-16.40114165;-71.5307701;-1941404.772;2838922.536
MR_Mariano_Melgar;-16.40069941;-71.53105402;-1941349.246;2838896.116
MR_Mariano_Melgar;-16.40008154;-71.53149133;-1941271.156;2838854.598
MR_Mariano_Melgar;-16.39978776;-71.53176828;-1941233.157;2838827.031
MR_Mariano_Melgar;-16.4010585;-71.5322791;-1941375.989;2838752.522
MR_Mariano_Melgar;-16.40513032;-71.53384078;-1941834.607;2838522.295
MR_Mariano_Melgar;-16.40496122;-71.5343399;-1941808.454;2838467.913
MR_Mariano_Melgar;-16.40564065;-71.53532974;-1941875.788;2838346.814
MR_Mariano_Melgar;-16.40569474;-71.53531545;-1941882.322;2838347.729
MR_Mariano_Melgar;-16.40577025;-71.53532217;-1941891.107;2838345.98
MR_Mariano_Melgar;-16.40583892;-71.53534387;-1941898.899;2838342.623
MR_Mariano_Melgar;-16.40589406;-71.53535634;-1941905.219;2838340.49
MR_Mariano_Melgar;-16.40593878;-71.53543458;-1941909.486;2838331.035
MR_Mariano_Melgar;-16.40594577;-71.53550863;-1941909.375;2838322.548
MR_Mariano_Melgar;-16.40592943;-71.5355976;-1941906.333;2838312.675
MR_Mariano_Melgar;-16.4058988;-71.53565028;-1941902.072;2838307.101
MR_Mariano_Melgar;-16.40587739;-71.53568748;-1941899.089;2838303.163
MR_Mariano_Melgar;-16.40735088;-71.5379674;-1942043.437;2838025.434
