ident;lat;long;y_proj;x_proj
MR_Mariscal_Castilla; ; ;-1.516416327;20763369.87
MR_Mariscal_Castilla;-16.40456429;-71.56564288;-1941367.712;2834924.244
MR_Mariscal_Castilla;-16.40463141;-71.56612359;-1941369.548;2834868.876
MR_Mariscal_Castilla;-16.40451727;-71.56616574;-1941355.614;2834865.585
MR_Mariscal_Castilla;-16.40416106;-71.56618684;-1941313.513;2834867.835
MR_Mariscal_Castilla;-16.40377195;-71.56630919;-1941266.277;2834859.036
MR_Mariscal_Castilla;-16.40366455;-71.56645512;-1941251.828;2834843.892
MR_Mariscal_Castilla;-16.40328306;-71.56658935;-1941205.335;2834833.648
MR_Mariscal_Castilla;-16.40298312;-71.56660106;-1941169.963;2834836.228
MR_Mariscal_Castilla;-16.40263538;-71.56664538;-1941128.566;2834835.734
MR_Mariscal_Castilla;-16.40244878;-71.56632815;-1941110.64;2834874.128
MR_Mariscal_Castilla;-16.4022845;-71.56609317;-1941094.303;2834902.906
MR_Mariscal_Castilla;-16.40219756;-71.56605855;-1941084.527;2834907.964
MR_Mariscal_Castilla;-16.40206351;-71.56606922;-1941068.649;2834908.502
MR_Mariscal_Castilla;-16.40194885;-71.56601741;-1941055.835;2834915.868
MR_Mariscal_Castilla;-16.40179407;-71.56601365;-1941037.705;2834918.312
MR_Mariscal_Castilla;-16.40163827;-71.56606339;-1941018.781;2834914.702
MR_Mariscal_Castilla;-16.40150989;-71.56609268;-1941003.336;2834913.055
MR_Mariscal_Castilla;-16.40149633;-71.5662479;-1940999.791;2834895.635
MR_Mariscal_Castilla;-16.40140167;-71.56629332;-1940988.102;2834891.72
MR_Mariscal_Castilla;-16.401048;-71.56669591;-1940941.504;2834850.69
MR_Mariscal_Castilla;-16.40085411;-71.56670446;-1940918.625;2834852.246
MR_Mariscal_Castilla;-16.4006866;-71.56668184;-1940899.236;2834856.992
MR_Mariscal_Castilla;-16.40033002;-71.56649168;-1940859.75;2834883.195
MR_Mariscal_Castilla;-16.40028061;-71.56649965;-1940853.847;2834882.936
MR_Mariscal_Castilla;-16.4002815;-71.56682755;-1940849.828;2834845.752
MR_Mariscal_Castilla;-16.40011551;-71.56698317;-1940828.377;2834830.274
MR_Mariscal_Castilla;-16.39989512;-71.5671294;-1940800.654;2834816.567
MR_Mariscal_Castilla;-16.39973053;-71.56710464;-1940781.636;2834821.519
MR_Mariscal_Castilla;-16.39927041;-71.56675839;-1940731.952;2834866.764
MR_Mariscal_Castilla;-16.39948226;-71.56665634;-1940758.115;2834875.574
MR_Mariscal_Castilla;-16.39951769;-71.56658395;-1940763.187;2834883.319
MR_Mariscal_Castilla;-16.39949165;-71.56644707;-1940761.849;2834899.175
MR_Mariscal_Castilla;-16.39938672;-71.56640864;-1940750.01;2834904.899
MR_Mariscal_Castilla;-16.39912656;-71.56638639;-1940719.735;2834910.811
MR_Mariscal_Castilla;-16.39870662;-71.56655325;-1940668.318;2834897.365
MR_Mariscal_Castilla;-16.39859901;-71.56673908;-1940653.343;2834877.7
MR_Mariscal_Castilla;-16.39851796;-71.56679818;-1940643.081;2834872.056
MR_Mariscal_Castilla;-16.39863709;-71.5669084;-1940655.686;2834858.01
MR_Mariscal_Castilla;-16.39848604;-71.56710084;-1940635.527;2834838.161
MR_Mariscal_Castilla;-16.39823191;-71.56764741;-1940598.809;2834779.51
MR_Mariscal_Castilla;-16.39821747;-71.56780087;-1940595.183;2834762.301
MR_Mariscal_Castilla;-16.39793777;-71.56776808;-1940562.747;2834769.661
MR_Mariscal_Castilla;-16.39788411;-71.56797402;-1940553.855;2834747.014
MR_Mariscal_Castilla;-16.39781116;-71.56793767;-1940545.745;2834752.084
MR_Mariscal_Castilla;-16.39764846;-71.56775753;-1940528.902;2834774.625
MR_Mariscal_Castilla;-16.39755407;-71.56740941;-1940522.194;2834815.319
MR_Mariscal_Castilla;-16.39753121;-71.56723621;-1940521.687;2834835.252
MR_Mariscal_Castilla;-16.39741824;-71.56721706;-1940508.66;2834838.895
MR_Mariscal_Castilla;-16.39731945;-71.56727005;-1940496.391;2834834.175
MR_Mariscal_Castilla;-16.39731295;-71.56742369;-1940493.696;2834816.841
MR_Mariscal_Castilla;-16.39730745;-71.56754512;-1940491.523;2834803.147
MR_Mariscal_Castilla;-16.39720559;-71.5676838;-1940477.817;2834788.753
MR_Mariscal_Castilla;-16.39708652;-71.56780458;-1940462.315;2834776.611
MR_Mariscal_Castilla;-16.39695264;-71.56784559;-1940446.075;2834773.706
MR_Mariscal_Castilla;-16.39680649;-71.56774268;-1940430.204;2834787.277
MR_Mariscal_Castilla;-16.39663746;-71.56756979;-1940412.527;2834809.077
MR_Mariscal_Castilla;-16.39650561;-71.56748999;-1940398.046;2834819.842
MR_Mariscal_Castilla;-16.39624729;-71.56746505;-1940368.021;2834826.033
MR_Mariscal_Castilla;-16.3959926;-71.56751416;-1940337.492;2834823.783
MR_Mariscal_Castilla;-16.39565149;-71.56769384;-1940295.172;2834807.856
MR_Mariscal_Castilla;-16.39530607;-71.56802482;-1940250.444;2834774.832
MR_Mariscal_Castilla;-16.39470272;-71.56755251;-1940185.522;2834836.235
MR_Mariscal_Castilla;-16.394632;-71.56744444;-1940178.575;2834849.407
MR_Mariscal_Castilla;-16.39420753;-71.56715711;-1940132.336;2834887.509
MR_Mariscal_Castilla;-16.39417856;-71.56691634;-1940131.96;2834915.182
MR_Mariscal_Castilla;-16.39427326;-71.56645775;-1940148.847;2834965.938
MR_Mariscal_Castilla;-16.39469414;-71.56645089;-1940198.363;2834961.234
MR_Mariscal_Castilla;-16.39492685;-71.56639955;-1940226.339;2834964.023
MR_Mariscal_Castilla;-16.39514136;-71.56629431;-1940252.856;2834973.161
MR_Mariscal_Castilla;-16.39523456;-71.56620192;-1940264.962;2834982.421
MR_Mariscal_Castilla;-16.3951892;-71.56613394;-1940260.491;2834990.718
MR_Mariscal_Castilla;-16.39505495;-71.56607162;-1940245.506;2834999.532
MR_Mariscal_Castilla;-16.39486532;-71.56582639;-1940226.319;2835029.802
MR_Mariscal_Castilla;-16.39477601;-71.56576682;-1940216.58;2835037.72
MR_Mariscal_Castilla;-16.39410614;-71.56579597;-1940137.54;2835043.14
MR_Mariscal_Castilla;-16.39372487;-71.56592326;-1940091.162;2835033.675
MR_Mariscal_Castilla;-16.39333958;-71.56316262;-1940080.619;2835351.666
MR_Mariscal_Castilla;-16.39369106;-71.56321593;-1940121.228;2835341.044
MR_Mariscal_Castilla;-16.39375158;-71.5634574;-1940125.301;2835312.88
MR_Mariscal_Castilla;-16.39386326;-71.56353038;-1940137.5;2835303.151
MR_Mariscal_Castilla;-16.39404854;-71.56353951;-1940159.145;2835299.703
MR_Mariscal_Castilla;-16.39446949;-71.5634168;-1940210.127;2835308.131
MR_Mariscal_Castilla;-16.39473248;-71.56328314;-1940242.694;2835319.859
MR_Mariscal_Castilla;-16.39479783;-71.56316868;-1940251.809;2835331.983
MR_Mariscal_Castilla;-16.39477342;-71.56288011;-1940252.571;2835365.016
MR_Mariscal_Castilla;-16.39430129;-71.56270898;-1940199.273;2835390.568
MR_Mariscal_Castilla;-16.39383437;-71.56234922;-1940148.958;2835437.437
MR_Mariscal_Castilla;-16.39343331;-71.56206212;-1940105.465;2835475.21
MR_Mariscal_Castilla;-16.39336319;-71.56185589;-1940099.823;2835499.505
MR_Mariscal_Castilla;-16.39301556;-71.56159953;-1940062.218;2835533.097
MR_Mariscal_Castilla;-16.39301638;-71.56145283;-1940064.159;2835549.718
MR_Mariscal_Castilla;-16.39357935;-71.5612101;-1940133.33;2835569.902
MR_Mariscal_Castilla;-16.39377398;-71.56125546;-1940155.619;2835562.225
MR_Mariscal_Castilla;-16.3940648;-71.56155545;-1940186.003;2835524.426
MR_Mariscal_Castilla;-16.39502892;-71.56154257;-1940299.398;2835513.326
MR_Mariscal_Castilla;-16.39508492;-71.56175622;-1940303.289;2835488.374
MR_Mariscal_Castilla;-16.39558958;-71.5619515;-1940360.104;2835459.661
MR_Mariscal_Castilla;-16.39604505;-71.5618103;-1940415.373;2835469.735
MR_Mariscal_Castilla;-16.3964552;-71.56170157;-1940464.911;2835476.717
MR_Mariscal_Castilla;-16.39694072;-71.561704;-1940521.904;2835470.117
MR_Mariscal_Castilla;-16.39655869;-71.56102866;-1940485.529;2835551.657
MR_Mariscal_Castilla;-16.39645299;-71.56032517;-1940481.963;2835632.788
MR_Mariscal_Castilla;-16.39620727;-71.55992179;-1940458.178;2835681.722
MR_Mariscal_Castilla;-16.395863;-71.5597984;-1940419.295;2835700.197
MR_Mariscal_Castilla;-16.39491926;-71.5597908;-1940308.55;2835713.355
MR_Mariscal_Castilla;-16.39437322;-71.55993344;-1940242.624;2835704.298
MR_Mariscal_Castilla;-16.39407255;-71.56006204;-1940205.694;2835693.635
MR_Mariscal_Castilla;-16.3938313;-71.56003017;-1940177.76;2835700.392
MR_Mariscal_Castilla;-16.39366468;-71.559803;-1940161.048;2835728.318
MR_Mariscal_Castilla;-16.39357452;-71.55963768;-1940152.538;2835748.234
MR_Mariscal_Castilla;-16.39313607;-71.56007952;-1940095.486;2835703.855
MR_Mariscal_Castilla;-16.39247213;-71.56055602;-1940011.515;2835658.481
MR_Mariscal_Castilla;-16.39226954;-71.56062749;-1939986.822;2835653.018
MR_Mariscal_Castilla;-16.39169316;-71.56065845;-1939918.738;2835657.016
MR_Mariscal_Castilla;-16.39146975;-71.56064312;-1939892.691;2835661.664
MR_Mariscal_Castilla;-16.39133897;-71.56061762;-1939877.652;2835666.259
MR_Mariscal_Castilla;-16.39118399;-71.56056045;-1939860.169;2835674.759
MR_Mariscal_Castilla;-16.39082951;-71.56040603;-1939820.478;2835696.883
MR_Mariscal_Castilla;-16.39069129;-71.56040371;-1939804.272;2835698.947
MR_Mariscal_Castilla;-16.39022403;-71.56046575;-1939748.613;2835697.999
MR_Mariscal_Castilla;-16.38963709;-71.56051311;-1939679.082;2835700.275
MR_Mariscal_Castilla;-16.38927729;-71.5605493;-1939636.37;2835700.858
MR_Mariscal_Castilla;-16.38903213;-71.56065277;-1939606.274;2835692.32
MR_Mariscal_Castilla;-16.38876477;-71.5607612;-1939573.51;2835683.509
MR_Mariscal_Castilla;-16.38851237;-71.56087336;-1939542.456;2835674.08
MR_Mariscal_Castilla;-16.38814436;-71.5611669;-1939495.543;2835645.592
MR_Mariscal_Castilla;-16.38782119;-71.56134793;-1939455.311;2835629.276
MR_Mariscal_Castilla;-16.38755316;-71.56149408;-1939421.994;2835616.197
MR_Mariscal_Castilla;-16.38734055;-71.56154659;-1939396.363;2835613.012
MR_Mariscal_Castilla;-16.3870455;-71.5615669;-1939361.455;2835614.552
MR_Mariscal_Castilla;-16.38681955;-71.56162013;-1939334.248;2835611.458
MR_Mariscal_Castilla;-16.38671356;-71.56168864;-1939320.938;2835605.071
MR_Mariscal_Castilla;-16.38652527;-71.56171999;-1939298.431;2835603.969
MR_Mariscal_Castilla;-16.38643289;-71.56176756;-1939286.983;2835599.779
MR_Mariscal_Castilla;-16.38671329;-71.56243875;-1939311.479;2835520.03
MR_Mariscal_Castilla;-16.38658834;-71.56247319;-1939296.37;2835517.753
MR_Mariscal_Castilla;-16.38636188;-71.56233812;-1939271.47;2835536.015
MR_Mariscal_Castilla;-16.38490801;-71.56258791;-1939097.576;2835526.625
MR_Mariscal_Castilla;-16.384934;-71.56268185;-1939099.448;2835515.636
MR_Mariscal_Castilla;-16.38493118;-71.56278475;-1939097.824;2835504.005
MR_Mariscal_Castilla;-16.38470234;-71.56281017;-1939070.627;2835504.103
MR_Mariscal_Castilla;-16.38459637;-71.56285617;-1939057.603;2835500.267
MR_Mariscal_Castilla;-16.38438162;-71.56299678;-1939030.614;2835487.12
MR_Mariscal_Castilla;-16.38425087;-71.5631066;-1939013.878;2835476.371
MR_Mariscal_Castilla;-16.38410313;-71.56320598;-1938995.277;2835467.027
MR_Mariscal_Castilla;-16.3838476;-71.56328608;-1938964.258;2835461.273
MR_Mariscal_Castilla;-16.38369822;-71.56326666;-1938946.958;2835465.419
MR_Mariscal_Castilla;-16.38357171;-71.56321519;-1938932.747;2835472.901
MR_Mariscal_Castilla;-16.38343688;-71.56314692;-1938917.769;2835482.397
MR_Mariscal_Castilla;-16.38332031;-71.56312087;-1938904.405;2835486.868
MR_Mariscal_Castilla;-16.3831849;-71.56311743;-1938888.545;2835489.021
MR_Mariscal_Castilla;-16.38307695;-71.56314875;-1938875.473;2835486.876
MR_Mariscal_Castilla;-16.38299179;-71.56322879;-1938864.465;2835478.909
MR_Mariscal_Castilla;-16.38287509;-71.56326623;-1938850.289;2835476.184
MR_Mariscal_Castilla;-16.38249671;-71.56326639;-1938805.846;2835481.09
MR_Mariscal_Castilla;-16.38244791;-71.56345734;-1938797.715;2835460.076
MR_Mariscal_Castilla;-16.38202469;-71.56347754;-1938747.755;2835463.296
MR_Mariscal_Castilla;-16.38156239;-71.56354817;-1938692.571;2835461.305
MR_Mariscal_Castilla;-16.382639;-71.56577079;-1938791.089;2835195.295
MR_Mariscal_Castilla;-16.38295381;-71.56618789;-1938822.822;2835143.908
MR_Mariscal_Castilla;-16.38316794;-71.56683116;-1938839.888;2835068.189
MR_Mariscal_Castilla;-16.38379906;-71.5681889;-1938896.952;2834906.041
MR_Mariscal_Castilla;-16.3850042;-71.57080096;-1939005.674;2834594.219
MR_Mariscal_Castilla;-16.38661593;-71.57426071;-1939151.497;2834181.012
MR_Mariscal_Castilla;-16.38851116;-71.57824596;-1939324.014;2833704.557
MR_Mariscal_Castilla;-16.38914442;-71.57972947;-1939379.751;2833528.14
MR_Mariscal_Castilla;-16.39025594;-71.58288228;-1939470.689;2833156.271
MR_Mariscal_Castilla;-16.38921999;-71.58273456;-1939350.889;2833186.493
MR_Mariscal_Castilla;-16.38866131;-71.58248473;-1939288.418;2833222.082
MR_Mariscal_Castilla;-16.38230626;-71.57737339;-1938606.28;2833884.195
MR_Mariscal_Castilla;-16.38222132;-71.57791574;-1938589.495;2833823.814
MR_Mariscal_Castilla;-16.38227434;-71.57813273;-1938592.997;2833798.524
MR_Mariscal_Castilla;-16.38432663;-71.58430556;-1938756.517;2833072.04
MR_Mariscal_Castilla;-16.38351966;-71.58540459;-1938647.958;2832957.943
MR_Mariscal_Castilla;-16.38244838;-71.58519737;-1938524.753;2832995.362
MR_Mariscal_Castilla;-16.38216798;-71.58530401;-1938490.486;2832986.919
MR_Mariscal_Castilla;-16.38230939;-71.58555005;-1938504.005;2832957.187
MR_Mariscal_Castilla;-16.38254812;-71.58601407;-1938526.217;2832901.48
MR_Mariscal_Castilla;-16.38242915;-71.58644461;-1938506.843;2832854.22
MR_Mariscal_Castilla;-16.38180025;-71.58740775;-1938420.903;2832753.209
MR_Mariscal_Castilla;-16.38122166;-71.58854454;-1938338.693;2832631.859
MR_Mariscal_Castilla;-16.38066123;-71.58964977;-1938259.014;2832513.85
MR_Mariscal_Castilla;-16.38056105;-71.58968547;-1938246.802;2832511.105
MR_Mariscal_Castilla;-16.38068795;-71.59098799;-1938245.363;2832361.798
MR_Mariscal_Castilla;-16.38116841;-71.59291699;-1938277.585;2832136.88
MR_Mariscal_Castilla;-16.38243167;-71.5954559;-1938394.08;2831832.656
MR_Mariscal_Castilla;-16.38393016;-71.59677476;-1938553.5;2831663.682
MR_Mariscal_Castilla;-16.38434106;-71.60188441;-1938537.667;2831079.142
MR_Mariscal_Castilla;-16.38347521;-71.60254914;-1938427.661;2831015.039
MR_Mariscal_Castilla;-16.38383693;-71.60364657;-1938456.375;2830885.945
MR_Mariscal_Castilla;-16.38357241;-71.60434223;-1938416.593;2830810.525
MR_Mariscal_Castilla;-16.38419679;-71.60624466;-1938466.057;2830586.775
MR_Mariscal_Castilla;-16.38259899;-71.60783353;-1938258.527;2830427.424
MR_Mariscal_Castilla;-16.3816555;-71.60877374;-1938135.96;2830333.1
MR_Mariscal_Castilla;-16.38157278;-71.60916792;-1938121.307;2830289.495
MR_Mariscal_Castilla;-16.3798281;-71.60777232;-1937933.94;2830470.338
MR_Mariscal_Castilla;-16.37917533;-71.60730334;-1937863.169;2830531.972
MR_Mariscal_Castilla;-16.37855142;-71.60718742;-1937791.363;2830553.212
MR_Mariscal_Castilla;-16.377762;-71.60777406;-1937691.317;2830496.961
MR_Mariscal_Castilla;-16.37587785;-71.60723808;-1937476.796;2830582.174
MR_Mariscal_Castilla;-16.3753098;-71.60923964;-1937385.018;2830362.659
MR_Mariscal_Castilla;-16.37517504;-71.61046988;-1937353.783;2830224.954
MR_Mariscal_Castilla;-16.37479212;-71.61111509;-1937300.738;2830156.787
MR_Mariscal_Castilla;-16.37339854;-71.61169045;-1937129.899;2830109.649
MR_Mariscal_Castilla;-16.37068377;-71.61249662;-1936801.041;2830053.484
MR_Mariscal_Castilla;-16.37164129;-71.61567551;-1936873.663;2829680.722
MR_Mariscal_Castilla;-16.37249753;-71.61845992;-1936939.334;2829353.998
MR_Mariscal_Castilla;-16.37299716;-71.62007228;-1936977.812;2829164.757
MR_Mariscal_Castilla;-16.37315046;-71.62055136;-1936989.813;2829108.466
MR_Mariscal_Castilla;-16.37276952;-71.62152097;-1936932.948;2829003.501
MR_Mariscal_Castilla;-16.37320999;-71.62513849;-1936939.383;2828587.753
