ident;lat;long;y_proj;x_proj
MR_Zamacola; ; ;-1.516416327;20763369.87
MR_Zamacola;-16.31707014;-71.61319586;-1930496.898;2830668.58
MR_Zamacola;-16.31685121;-71.61368036;-1930465.141;2830616.471
MR_Zamacola;-16.31793826;-71.61415947;-1930586.805;2830548.086
MR_Zamacola;-16.31904578;-71.61480533;-1930708.79;2830460.528
MR_Zamacola;-16.31950754;-71.61523071;-1930757.699;2830406.322
MR_Zamacola;-16.31961737;-71.6155937;-1930766.064;2830363.742
MR_Zamacola;-16.3197733;-71.61599874;-1930779.316;2830315.797
MR_Zamacola;-16.32002045;-71.61639696;-1930803.364;2830267.446
MR_Zamacola;-16.3200358;-71.61641136;-1930804.987;2830265.615
MR_Zamacola;-16.32059574;-71.61708484;-1930862.327;2830182.008
MR_Zamacola;-16.32096178;-71.61766034;-1930898.122;2830112.019
MR_Zamacola;-16.32165479;-71.61820453;-1930972.702;2830041.353
MR_Zamacola;-16.32211574;-71.6182288;-1931026.524;2830032.64
MR_Zamacola;-16.32285167;-71.61873716;-1931106.59;2829965.482
MR_Zamacola;-16.32287508;-71.61875953;-1931109.06;2829962.643
MR_Zamacola;-16.32356856;-71.61919022;-1931185.111;2829904.84
MR_Zamacola;-16.32417806;-71.61944164;-1931253.539;2829868.451
MR_Zamacola;-16.32457696;-71.61949586;-1931299.7;2829857.145
MR_Zamacola;-16.32492644;-71.61991778;-1931335.468;2829804.785
MR_Zamacola;-16.32552739;-71.62023679;-1931402.048;2829760.843
MR_Zamacola;-16.32617712;-71.62058958;-1931473.934;2829712.44
MR_Zamacola;-16.32619781;-71.62060987;-1931476.109;2829709.872
MR_Zamacola;-16.32681116;-71.62067611;-1931547.301;2829694.429
MR_Zamacola;-16.32737069;-71.62077968;-1931611.708;2829675.45
MR_Zamacola;-16.32785991;-71.62124957;-1931663.283;2829615.845
MR_Zamacola;-16.3278599;-71.62126899;-1931663.039;2829613.643
MR_Zamacola;-16.32864232;-71.62170734;-1931749.434;2829553.823
MR_Zamacola;-16.32864227;-71.62180292;-1931748.235;2829542.987
MR_Zamacola;-16.32864226;-71.62182203;-1931747.996;2829540.82
MR_Zamacola;-16.32938179;-71.62212996;-1931830.984;2829496.343
MR_Zamacola;-16.32988943;-71.62244112;-1931886.704;2829454.497
MR_Zamacola;-16.33021229;-71.62290768;-1931918.787;2829397.423
MR_Zamacola;-16.33022194;-71.62291826;-1931919.787;2829396.098
MR_Zamacola;-16.33061967;-71.62305624;-1931964.764;2829375.31
MR_Zamacola;-16.33063812;-71.62330274;-1931963.852;2829347.123
MR_Zamacola;-16.33063808;-71.62337502;-1931962.945;2829338.929
MR_Zamacola;-16.33053519;-71.62383426;-1931945.128;2829288.192
MR_Zamacola;-16.33065619;-71.6241807;-1931955.009;2829247.349
MR_Zamacola;-16.3309397;-71.6244817;-1931984.539;2829209.555
MR_Zamacola;-16.33142528;-71.62453536;-1932040.884;2829197.191
MR_Zamacola;-16.33192273;-71.62411282;-1932104.569;2829238.663
MR_Zamacola;-16.33225459;-71.62427022;-1932141.568;2829216.525
MR_Zamacola;-16.33234171;-71.62449468;-1932148.995;2829189.95
MR_Zamacola;-16.33299946;-71.62468929;-1932223.794;2829159.378
MR_Zamacola;-16.33372257;-71.62494294;-1932305.531;2829121.267
MR_Zamacola;-16.33431103;-71.6258429;-1932363.384;2829011.622
MR_Zamacola;-16.33454178;-71.62634269;-1932384.235;2828951.974
MR_Zamacola;-16.33456357;-71.62636573;-1932386.507;2828949.081
MR_Zamacola;-16.33513957;-71.62652104;-1932452.197;2828924.023
MR_Zamacola;-16.33624508;-71.62709825;-1932574.79;2828844.282
MR_Zamacola;-16.33742697;-71.62727716;-1932711.325;2828808.711
MR_Zamacola;-16.33850828;-71.62751004;-1932835.376;2828768.321
MR_Zamacola;-16.33952849;-71.62855882;-1932942.06;2828636.223
MR_Zamacola;-16.34006256;-71.6291806;-1932996.999;2828558.824
MR_Zamacola;-16.34072095;-71.62946598;-1933070.738;2828517.954
MR_Zamacola;-16.34130453;-71.62989502;-1933133.898;2828461.765
MR_Zamacola;-16.34187968;-71.63064393;-1933192.071;2828369.423
MR_Zamacola;-16.34254112;-71.63070615;-1933268.953;2828353.813
MR_Zamacola;-16.34346719;-71.63134938;-1933369.648;2828268.911
MR_Zamacola;-16.34425302;-71.63151919;-1933459.79;2828239.495
MR_Zamacola;-16.34549024;-71.63176694;-1933601.957;2828195.402
MR_Zamacola;-16.3459514;-71.63190352;-1933654.394;2828173.952
MR_Zamacola;-16.34615119;-71.63232245;-1933672.618;2828123.876
MR_Zamacola;-16.34680134;-71.63236754;-1933748.388;2828110.352
MR_Zamacola;-16.34724746;-71.6320002;-1933805.355;2828146.222
