cluster;n_microred;microred;name;lat;long;y_proj;x_proj;;;
22;20;MARITZA CAMPOS;C.S. MARITZA CAMPO DIAZ;-16.35137483;-71.5625246;-1935159.862;2835969.968;;;
26;20;MARITZA CAMPOS;P.S. CIUDAD MUNICIPAL;-16.3254739;-71.59406171;-1931722.877;2832729.607;;;
22;20;MARITZA CAMPOS;P.S. PERUARBO;-16.34531049;-71.60006121;-1933977.297;2831792.294;;;
24;20;MARITZA CAMPOS;P.S. NAZARENO;-16.32817103;-71.54951254;-1932597.555;2837747.16;;;
5;1;FRANCISCO BOLOGNESI;C.S. FRANCISCO BOLOGNESI;-16.35476718;-71.5420922;-1935814.847;2838243.05;;;
5;1;FRANCISCO BOLOGNESI;P.S. RAFAEL BELAUNDE;-16.33205352;-71.5422181;-1933145.124;2838524.125;;;
5;1;FRANCISCO BOLOGNESI;P.S. LA TOMILLA;-16.36189409;-71.5446131;-1936620.339;2837864.408;;;
4;2;BUENOS AIRES DE CAYMA;C.S. BUENOS AIRES;-16.35139213;-71.54936944;-1935327.001;2837461.626;;;
4;2;BUENOS AIRES DE CAYMA;P.S. DEAN VALDIVIA;-16.33344099;-71.54740726;-1933243.003;2837917.503;;;
4;2;BUENOS AIRES DE CAYMA;P.S. SAN JOSE;-16.34812865;-71.55441639;-1934880.318;2836931.678;;;
19;3;CIUDAD DE DIOS;C.S. CIUDAD DE DIOS;-16.30532258;-71.61980052;-1929035.017;2830071.454;;;
1;5;SAN MARTIN DE SOCABAYA;C.S. SAN MARTIN DE SOCABAYA;-16.43893201;-71.53012879;-1945851.875;2838501.321;;;
1;5;SAN MARTIN DE SOCABAYA;C.S. 4 DE OCTUBRE;-16.4474815;-71.52732174;-1946891.568;2838707.613;;;
1;5;SAN MARTIN DE SOCABAYA;P.S. SALAVERRY;-16.43503337;-71.53637301;-1945315.115;2837844.487;;;
1;5;SAN MARTIN DE SOCABAYA;P.S. CIUDAD MI TRABAJO;-16.44758707;-71.53418493;-1946817.267;2837928.279;;;
1;5;SAN MARTIN DE SOCABAYA;P.S. LARA;-16.45350135;-71.52840615;-1947584.962;2838505.865;;;
30;5;SAN MARTIN DE SOCABAYA;P.S. SAN FERNADO;-16.47308124;-71.5281985;-1949887.415;2838272.818;;;
30;5;SAN MARTIN DE SOCABAYA;P.S. HORACIO ZEVALLOS;-16.47853686;-71.49933114;-1950893.835;2841473.074;;;
3;7;VICTOR RAUL HINOJOSA;C.S. VICTOR RAUL HINOJOSA;-16.44481217;-71.51547959;-1946727.68;2840084.979;;;
