ident;lat;long;y_proj;x_proj
1.16.1-1; ; ;-1.516416327;20763369.87
1.16.1-1;-16.55567186;-71.44320468;-1960670.29;2846817.065
1.16.1-1;-16.55548346;-71.44283091;-1960652.924;2846861.917
1.16.1-1;-16.55506657;-71.44298598;-1960601.96;2846849.863
1.16.1-1;-16.55523067;-71.44338272;-1960616.176;2846802.729
1.16.1-2; ; ;-1.516416327;20763369.87
1.16.1-2;-16.5556876;-71.44327235;-1960671.274;2846809.188
1.16.1-2;-16.55524934;-71.44345335;-1960617.468;2846794.478
1.16.1-2;-16.55537647;-71.44395834;-1960625.959;2846735.566
1.16.1-2;-16.5559001;-71.44368951;-1960690.917;2846759.101
1.16.1-3; ; ;-1.516416327;20763369.87
1.16.1-3;-16.55634978;-71.44466888;-1960731.25;2846642.16
1.16.1-3;-16.55591996;-71.4437612;-1960692.336;2846750.713
1.16.1-3;-16.5553934;-71.44402598;-1960627.084;2846727.677
1.16.1-3;-16.55564258;-71.44493466;-1960644.761;2846621.401
1.16.1-4; ; ;-1.516416327;20763369.87
1.16.1-4;-16.5568134;-71.44454549;-1960787.3;2846650.006
1.16.1-4;-16.55667056;-71.44390876;-1960778.647;2846724.054
1.16.1-4;-16.55635677;-71.44347462;-1960747.319;2846777.407
1.16.1-4;-16.55596054;-71.44365075;-1960698.513;2846762.692
1.16.1-4;-16.55642252;-71.44463073;-1960740.284;2846645.52
1.16.1-5; ; ;-1.516416327;20763369.87
1.16.1-5;-16.55686736;-71.44520041;-1960785.279;2846575.072
1.16.1-5;-16.55680269;-71.44461469;-1960785.158;2846642.306
1.16.1-5;-16.55644407;-71.44470744;-1960741.838;2846636.542
1.16.1-5;-16.55659042;-71.44517923;-1960753.01;2846581.139
1.16.1-6; ; ;-1.516416327;20763369.87
1.16.1-6;-16.55640674;-71.44534552;-1960729.304;2846564.726
1.16.1-6;-16.5564997;-71.44506987;-1960743.746;2846594.733
1.16.1-6;-16.55637305;-71.44473696;-1960733.116;2846634.137
1.16.1-6;-16.55571099;-71.44497165;-1960652.328;2846616.304
1.16.1-7; ; ;-1.516416327;20763369.87
1.16.1-7;-16.5568205;-71.44803945;-1960743.53;2846253.963
1.16.1-7;-16.55689618;-71.44707886;-1960764.684;2846361.819
1.16.1-7;-16.55613668;-71.44731114;-1960672.481;2846345.549
1.16.1-7;-16.55621053;-71.44903446;-1960659.16;2846149.279
1.16.1-7;-16.55673612;-71.44897247;-1960721.705;2846149.348
1.16.1-8; ; ;-1.516416327;20763369.87
1.16.1-8;-16.55500514;-71.44510324;-1960567.711;2846610.734
1.16.1-8;-16.55523367;-71.44509419;-1960594.679;2846608.735
1.16.1-8;-16.55552229;-71.44498394;-1960629.999;2846617.409
1.16.1-8;-16.55542582;-71.44454212;-1960624.305;2846668.755
1.16.1-8;-16.55463733;-71.44479652;-1960528.409;2846650.362
1.16.1-8;-16.55430411;-71.44495836;-1960487.19;2846636.432
1.16.1-8;-16.55450524;-71.44530196;-1960506.436;2846594.831
1.16.1-9; ; ;-1.516416327;20763369.87
1.16.1-9;-16.55486316;-71.44467267;-1960556.526;2846661.409
1.16.1-9;-16.5554258;-71.44447935;-1960625.103;2846675.87
1.16.1-9;-16.55533307;-71.44408246;-1960619.274;2846722.074
1.16.1-9;-16.55420413;-71.44448582;-1960481.475;2846691.306
1.16.1-9;-16.55431066;-71.44485657;-1960489.259;2846647.88
1.16.1-10; ; ;-1.516416327;20763369.87
1.16.1-10;-16.55596588;-71.44358053;-1960700.038;2846770.579
1.16.1-10;-16.5563381;-71.44342341;-1960745.78;2846783.458
1.16.1-10;-16.55631342;-71.44329272;-1960744.549;2846798.595
1.16.1-10;-16.55597744;-71.44315438;-1960706.837;2846818.721
1.16.1-10;-16.55577181;-71.44325503;-1960681.39;2846810.037
1.16.1-10;-16.55595039;-71.44359671;-1960698.011;2846768.951
1.16.1-11; ; ;-1.516416327;20763369.87
1.16.1-11;-16.55755429;-71.44519;-1960866.126;2846567.159
1.16.1-11;-16.55746104;-71.44504509;-1960857.019;2846584.815
1.16.1-11;-16.55715057;-71.44470643;-1960824.863;2846627.304
1.16.1-11;-16.55703439;-71.44452299;-1960813.554;2846649.63
1.16.1-11;-16.55690658;-71.44448438;-1960799.029;2846655.697
1.16.1-11;-16.55688685;-71.4445699;-1960795.62;2846646.267
1.16.1-11;-16.5568989;-71.44505046;-1960790.899;2846591.648
1.16.1-11;-16.55725609;-71.44525799;-1960830.22;2846563.401
1.16.1-12; ; ;-1.516416327;20763369.87
1.16.1-12;-16.55782278;-71.44651584;-1960880.745;2846413.356
1.16.1-12;-16.55792885;-71.44594505;-1960900.496;2846476.636
1.16.1-12;-16.55747215;-71.44557337;-1960851.58;2846524.801
1.16.1-12;-16.55719328;-71.44526571;-1960822.741;2846563.358
