ident;lat;long;y_proj;x_proj
1.28.1-1; ; ;-1.516416327;20763369.87
1.28.1-1;-16.56724687;-71.43998473;-1962071.485;2847028.664
1.28.1-1;-16.56817948;-71.4402399;-1962177.806;2846987.393
1.28.1-1;-16.56905451;-71.43989563;-1962285.021;2847014.81
1.28.1-1;-16.56937147;-71.43972848;-1962324.401;2847029.552
1.28.1-1;-16.56980128;-71.44011513;-1962369.961;2846980.041
1.28.1-1;-16.57033278;-71.43983819;-1962435.953;2847004.381
1.28.1-1;-16.57053601;-71.43955955;-1962463.393;2847033.263
1.28.1-1;-16.5704208;-71.43898466;-1962457.203;2847099.934
1.28.1-1;-16.57014398;-71.43876836;-1962427.441;2847128.113
1.28.1-1;-16.56922566;-71.43842678;-1962323.903;2847178.991
1.28.1-1;-16.56812601;-71.43813643;-1962198.403;2847226.465
1.28.1-1;-16.56733541;-71.43752925;-1962113.266;2847305.748
1.28.1-1;-16.56676293;-71.43663937;-1962057.37;2847414.177
1.28.1-1;-16.56695543;-71.43510138;-1962099.647;2847585.915
1.28.1-1;-16.56696297;-71.43428282;-1962110.994;2847678.578
1.28.1-1;-16.56626129;-71.43310681;-1962043.576;2847821.148
1.28.1-1;-16.56625355;-71.43308232;-1962042.979;2847824.025
1.28.1-1;-16.56614492;-71.4327633;-1962034.293;2847861.619
1.28.1-1;-16.56627651;-71.4318304;-1962061.681;2847965.596
1.28.1-1;-16.5662763;-71.43076031;-1962075.335;2848086.868
1.28.1-1;-16.56582381;-71.42902213;-1962044.385;2848289.849
1.28.1-1;-16.56467746;-71.42924097;-1961906.882;2848280.244
1.28.1-1;-16.56439054;-71.4329843;-1961825.318;2847859.824
1.28.1-1;-16.56686352;-71.43954039;-1962032.118;2847084.097
1.28.2-1; ; ;-1.516416327;20763369.87
1.28.2-1;-16.56394705;-71.46031682;-1961424.148;2844768.434
1.28.2-1;-16.5642549;-71.46013908;-1961462.585;2844784.501
1.28.2-1;-16.56421476;-71.45980946;-1961462.076;2844822.38
1.28.2-1;-16.56384894;-71.45995423;-1961417.248;2844810.817
1.28.2-2; ; ;-1.516416327;20763369.87
1.28.2-2;-16.5632284;-71.45935086;-1961352.042;2844887.395
1.28.2-2;-16.56334838;-71.45973077;-1961361.29;2844842.761
1.28.2-2;-16.56357632;-71.45992576;-1961385.582;2844817.65
1.28.2-2;-16.56377068;-71.45977126;-1961410.389;2844832.585
1.28.2-2;-16.56391162;-71.4595448;-1961429.838;2844856.38
1.28.2-2;-16.56373628;-71.45927315;-1961412.703;2844889.48
1.28.2-2;-16.56366363;-71.45908709;-1961406.543;2844911.525
1.28.2-2;-16.56361896;-71.45878311;-1961405.174;2844946.56
1.28.2-2;-16.56364232;-71.45853649;-1961411.065;2844974.195
1.28.2-2;-16.5636848;-71.45836858;-1961418.199;2844992.659
1.28.2-2;-16.56377217;-71.45820913;-1961430.499;2845009.57
1.28.2-2;-16.56332304;-71.45814627;-1961378.534;2845022.636
1.28.2-2;-16.56311575;-71.45872735;-1961346.763;2844959.536
1.28.2-3; ; ;-1.516416327;20763369.87
1.28.2-3;-16.56389847;-71.45812001;-1961446.475;2845017.998
1.28.2-3;-16.56379641;-71.45826798;-1961432.597;2845002.581
1.28.2-3;-16.56370985;-71.45839944;-1961420.749;2844988.83
1.28.2-3;-16.56368425;-71.45863364;-1961414.752;2844962.632
1.28.2-3;-16.56368793;-71.45891125;-1961411.642;2844931.127
1.28.2-3;-16.56378576;-71.45922123;-1961419.179;2844894.71
1.28.2-3;-16.56390138;-71.45940387;-1961430.433;2844872.485
1.28.2-3;-16.56397077;-71.45948282;-1961437.578;2844862.62
1.28.2-3;-16.56420186;-71.45948404;-1961464.713;2844859.424
1.28.2-3;-16.56438581;-71.45902526;-1961492.18;2844908.974
1.28.2-3;-16.56448469;-71.45885997;-1961505.907;2844926.395
1.28.2-3;-16.56451996;-71.45863629;-1961512.905;2844951.273
1.28.2-3;-16.56424948;-71.4584957;-1961482.92;2844970.782
1.28.2-3;-16.5640449;-71.45834634;-1961460.791;2844990.414
1.28.2-4; ; ;-1.516416327;20763369.87
1.28.2-4;-16.56367102;-71.45719968;-1961431.499;2845125.291
1.28.2-4;-16.56368802;-71.45692375;-1961437.017;2845156.332
1.28.2-4;-16.56369817;-71.45672375;-1961440.763;2845178.86
1.28.2-4;-16.56340575;-71.45718241;-1961400.552;2845130.758
1.28.2-4;-16.56344592;-71.45774035;-1961398.151;2845067.005
1.28.2-4;-16.56343504;-71.45809182;-1961392.387;2845027.324
1.28.2-4;-16.5637951;-71.45817325;-1961433.651;2845013.332
1.28.2-4;-16.56385712;-71.45799956;-1961443.154;2845032.193
1.28.2-4;-16.5637653;-71.45759712;-1961437.502;2845079.009
1.28.2-5; ; ;-1.516416327;20763369.87
1.28.2-5;-16.56410847;-71.45609315;-1961497.018;2845244.884
1.28.2-5;-16.56427145;-71.45617181;-1961515.162;2845233.815
1.28.2-5;-16.56458763;-71.45570265;-1961558.299;2845282.791
1.28.2-5;-16.56472241;-71.45538857;-1961578.143;2845316.596
1.28.2-5;-16.56456471;-71.45526368;-1961561.209;2845332.835
1.28.2-5;-16.56428056;-71.45559075;-1961523.649;2845299.534
1.28.2-6; ; ;-1.516416327;20763369.87
1.28.2-6;-16.56387089;-71.45649979;-1961463.914;2845201.952
1.28.2-6;-16.56379235;-71.45670959;-1961452.009;2845179.218
1.28.2-6;-16.56374698;-71.45691694;-1961444.031;2845156.323
1.28.2-6;-16.56372417;-71.45718466;-1961437.934;2845126.29
1.28.2-6;-16.5638206;-71.45755416;-1961444.548;2845083.145
1.28.2-6;-16.56390986;-71.45792285;-1961450.33;2845040.187
1.28.2-6;-16.56395396;-71.45807832;-1961453.527;2845021.987
1.28.2-6;-16.5640788;-71.45830327;-1961465.323;2844994.846
1.28.2-6;-16.56420609;-71.45839909;-1961479.056;2844982.304
1.28.2-6;-16.564907;-71.45741507;-1961573.964;2845084.528
1.28.2-6;-16.56550228;-71.4565713;-1961654.673;2845172.258
1.28.2-6;-16.56555475;-71.45638148;-1961663.261;2845193.072
1.28.2-6;-16.56561458;-71.4561365;-1961673.418;2845220.038
1.28.2-6;-16.56529057;-71.4560553;-1961636.386;2845233.528
1.28.2-6;-16.56494347;-71.45651602;-1961589.724;2845185.917
1.28.2-6;-16.5641054;-71.45615121;-1961495.916;2845238.346
1.28.2-7; ; ;-1.516416327;20763369.87
1.28.2-7;-16.56513254;-71.45429744;-1961640.259;2845434.805
1.28.2-7;-16.56574525;-71.4545648;-1961708.834;2845396.4
1.28.2-7;-16.56609609;-71.45383336;-1961759.392;2845474.636
1.28.2-7;-16.56558112;-71.45357174;-1961702.228;2845511.099
1.28.3-1; ; ;-1.516416327;20763369.87
1.28.3-1;-16.56851654;-71.45054614;-1962085.751;2845815.071
1.28.3-1;-16.56863143;-71.45114075;-1962091.657;2845746.173
1.28.3-1;-16.56897808;-71.45088291;-1962135.678;2845770.799
1.28.3-1;-16.56933236;-71.4505806;-1962181.165;2845800.362
1.28.3-1;-16.56965364;-71.45011861;-1962224.813;2845848.456
1.28.3-1;-16.56941678;-71.449611;-1962203.467;2845909.111
1.28.3-1;-16.56926628;-71.44925465;-1962190.336;2845951.483
1.28.3-1;-16.56864452;-71.44966725;-1962112.013;2845912.965
1.28.3-2; ; ;-1.516416327;20763369.87
