type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.42999527;-71.53642557;-1944722.686;2837904.403;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43033106;-71.53699978;-1944754.883;2837834.92;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43064489;-71.53726466;-1944788.403;2837800.791;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43113673;-71.53759793;-1944841.968;2837756.582;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43135574;-71.53787367;-1944864.214;2837722.462;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43147295;-71.53819259;-1944873.957;2837684.777;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43249911;-71.53762819;-1945001.608;2837735.34;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43260667;-71.53798926;-1945009.687;2837693.004;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43263971;-71.5380322;-1945013.025;2837687.705;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43269707;-71.53814099;-1945018.39;2837674.623;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43310266;-71.53856774;-1945060.644;2837620.945;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43329696;-71.53873103;-1945081.406;2837599.894;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.4335623;-71.53887426;-1945110.764;2837580.189;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43385855;-71.53895863;-1945144.496;2837566.752;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43465078;-71.53925215;-1945233.845;2837523.122;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43540342;-71.53952638;-1945318.787;2837482.196;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.4358003;-71.53979532;-1945362.009;2837446.522;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.4361699;-71.53991361;-1945403.928;2837428.28;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43639649;-71.53987715;-1945431.002;2837429.45;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43660286;-71.53978033;-1945456.463;2837437.726;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43678725;-71.53939592;-1945482.971;2837478.89;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43674053;-71.5387729;-1945485.346;2837550.123;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43652657;-71.53775009;-1945473.123;2837668.86;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43652987;-71.53763926;-1945474.91;2837681.381;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.4367296;-71.53697919;-1945506.699;2837753.591;False; ; ;0; ; ; ; ; ; 
TRACK;Dia 1 - San Martin de Socabaya - Salaverry - 4 de octubre;-16.43896683;-71.53755973;-1945762.15;2837658.525;False; ; ;0; ; ; ; ; ; 
