type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Día 2 - Ciudad Mi Trabajo, , ,-1.516416327,20763369.87, , , , , , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44865001,-71.54457255,-1946810.95,2836736.983,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44784713,-71.54546295,-1946705.413,2836646.565,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44755563,-71.54593044,-1946665.275,2836597.392,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44718778,-71.54728402,-1946604.988,2836448.787,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44823949,-71.54699876,-1946732.11,2836467.363,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44882521,-71.54693018,-1946801.768,2836467.474,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44929983,-71.54698952,-1946856.762,2836454.541,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44968089,-71.54718645,-1946899.031,2836427.237,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44912486,-71.54759202,-1946828.608,2836388.543,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44876607,-71.54799905,-1946781.331,2836347.103,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44911651,-71.5483333,-1946818.271,2836304.636,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44924063,-71.54849661,-1946830.788,2836284.503,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.44969903,-71.54905827,-1946877.537,2836214.851,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45059403,-71.54978736,-1946973.449,2836120.512,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45078278,-71.54982999,-1946995.079,2836113.212,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.4511783,-71.54968972,-1947043.302,2836123.936,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45219288,-71.54938342,-1947166.326,2836145.381,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45240652,-71.54937806,-1947191.486,2836143.194,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.4527231,-71.54954143,-1947226.605,2836120.537,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45306231,-71.54968791,-1947264.594,2836099.499,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45325507,-71.54967036,-1947287.455,2836098.967,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45347331,-71.54965714,-1947313.254,2836097.61,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45360827,-71.54970747,-1947328.469,2836090.141,False, , ,0, , , , , , 
TRACK,Día 2 - Ciudad Mi Trabajo,-16.45370356,-71.54981315,-1947338.326,2836076.916,False, , ,0, , , , , , 
